id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
selea001,TBA200005260,21,8,1,4,4,115,7,1,6,1,0,0,0,30,29,0,0,0,0,TBA,0,1,1
mesaj001,TBA200005260,3,1,1,0,0,17,0,0,0,1,0,0,0,4,3,0,0,0,0,TBA,0,1,0
panij001,TBA200005260,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
tomkb001,TBA200005270,15,3,2,3,3,80,5,1,2,0,0,0,1,21,18,0,0,0,0,TBA,0,1,1
ramsr001,TBA200005270,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,TBA,0,1,0
rodrf001,TBA200005270,6,1,0,0,0,24,1,0,0,1,0,0,0,6,5,0,0,1,0,TBA,0,1,0
rhoda001,TBA200005270,3,0,0,0,0,8,1,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
sasak001,TBA200005270,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
mechg001,TBA200005280,15,9,1,3,3,106,4,1,8,0,0,0,0,25,23,0,1,0,0,TBA,0,1,1
panij001,TBA200005280,3,1,1,0,0,26,0,0,1,0,0,0,0,5,4,0,0,0,0,TBA,0,1,0
rhoda001,TBA200005280,3,0,1,0,0,12,0,0,0,0,0,0,0,3,2,0,0,0,1,TBA,0,1,0
mesaj001,TBA200005280,1,7,2,9,9,34,0,1,4,2,0,0,0,10,8,0,0,0,0,TBA,0,1,0
mabrj001,TBA200005280,2,3,1,2,2,19,0,0,2,1,0,0,0,6,5,0,0,0,0,TBA,0,1,0
abbop001,TBA200009180,19,7,1,3,3,97,2,1,3,3,0,1,2,29,26,0,0,0,0,TBA,0,1,1
rhoda001,TBA200009180,4,0,1,0,0,16,1,0,0,0,0,0,0,4,3,0,0,0,0,TBA,0,1,0
panij001,TBA200009180,4,0,0,0,0,17,2,0,0,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
halaj001,TBA200009190,17,5,2,2,2,76,2,1,4,0,0,0,0,22,19,0,0,1,0,TBA,0,1,1
mesaj001,TBA200009190,3,0,2,0,0,20,0,0,0,0,0,0,0,5,3,0,0,0,0,TBA,0,1,0
panij001,TBA200009190,7,1,0,0,0,32,2,0,1,0,0,0,0,8,8,0,0,0,0,TBA,0,1,0
selea001,TBA200009200,18,9,0,4,4,103,4,2,4,2,1,0,0,26,26,0,0,0,0,TBA,0,1,1
ramsr001,TBA200009200,4,0,1,0,0,23,0,0,0,0,0,0,0,4,3,0,0,0,0,TBA,0,1,0
mesaj001,TBA200009200,2,0,0,0,0,7,1,0,0,0,0,0,0,2,2,0,0,0,0,TBA,0,1,0
sasak001,TBA200009200,3,1,1,0,0,13,0,0,1,0,0,0,0,5,3,0,1,0,1,TBA,0,1,0
tomkb001,KCA200004280,20,8,3,6,6,111,3,0,6,1,1,1,0,31,25,0,2,1,0,KCA,0,1,1
panij001,KCA200004280,4,4,1,2,2,42,1,0,3,1,0,1,1,10,8,0,0,0,0,KCA,0,1,0
selea001,KCA200004290,21,8,2,3,3,105,1,1,5,1,1,0,0,29,26,0,1,0,0,KCA,0,1,1
abbop001,KCA200004290,6,2,0,0,0,23,2,0,1,1,0,0,0,8,8,0,0,0,0,KCA,0,1,0
mechg001,KCA200004300,15,6,3,4,4,82,3,1,4,1,0,0,1,23,19,0,0,0,0,KCA,0,1,1
rodrf001,KCA200004300,9,4,0,2,2,39,0,1,3,0,0,0,0,11,11,0,0,0,0,KCA,0,1,0
moyej001,KCA200006120,20,6,2,3,3,107,5,1,4,1,0,0,0,28,26,0,0,0,0,KCA,0,1,1
panij001,KCA200006120,4,0,0,0,0,11,0,0,0,0,0,0,0,4,4,0,0,0,0,KCA,0,1,0
sasak001,KCA200006120,3,1,0,0,0,17,1,0,1,0,0,0,0,4,4,0,0,0,0,KCA,0,1,0
mechg001,KCA200006130,15,1,1,0,0,62,2,0,0,1,0,0,0,17,16,0,0,0,0,KCA,0,1,1
halaj001,KCA200006140,17,8,5,3,3,94,4,1,6,1,0,0,0,28,23,0,0,0,0,KCA,0,1,1
panij001,KCA200006140,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,KCA,0,1,0
mesaj001,KCA200006140,5,1,1,0,0,23,0,0,1,0,0,0,0,7,6,0,0,0,0,KCA,0,1,0
rhoda001,KCA200006140,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,KCA,0,1,0
sasak001,KCA200006140,3,2,3,2,2,38,1,0,0,1,1,0,0,8,5,0,0,0,1,KCA,0,1,0
moyej001,TOR200004140,15,9,2,4,4,90,1,1,5,3,0,0,0,25,23,0,0,0,0,TOR,0,1,1
abbop001,TOR200004140,9,5,0,3,3,48,1,1,4,0,0,0,0,14,14,0,0,0,0,TOR,0,1,0
sasak001,TOR200004140,3,2,0,2,2,29,2,2,0,0,0,0,0,5,5,0,0,0,0,TOR,0,1,0
