id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
garcf002,CHA200010030,10,6,3,4,4,85,2,1,2,1,2,1,0,19,16,0,0,0,0,CHA,0,3,1
tomkb001,CHA200010030,8,1,1,0,0,38,0,0,1,0,0,1,0,9,8,0,0,0,0,CHA,0,3,0
panij001,CHA200010030,6,1,1,0,0,39,2,0,1,0,0,0,0,8,7,0,0,0,0,CHA,0,3,0
rhoda001,CHA200010030,2,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,1,0,0,CHA,0,3,0
mesaj001,CHA200010030,1,0,1,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,1,CHA,0,3,0
sasak001,CHA200010030,3,1,0,0,0,18,2,0,0,1,0,0,0,4,4,0,0,0,0,CHA,0,3,0
abbop001,CHA200010040,17,5,3,2,1,111,1,0,2,3,0,0,1,25,20,0,0,1,0,CHA,0,3,1
rhoda001,CHA200010040,2,0,2,0,0,20,0,0,0,0,0,0,0,4,2,0,0,0,0,CHA,0,3,0
mesaj001,CHA200010040,5,0,0,0,0,15,2,0,0,0,0,0,0,5,5,0,0,0,0,CHA,0,3,0
sasak001,CHA200010040,3,0,0,0,0,12,3,0,0,0,0,0,0,3,3,0,0,0,0,CHA,0,3,0
selea001,SEA200010060,22,3,3,1,1,97,1,0,2,1,0,0,0,26,21,0,1,1,0,SEA,0,3,1
rhoda001,SEA200010060,4,0,0,0,0,9,2,0,0,0,0,0,0,3,3,0,0,0,0,SEA,0,3,0
panij001,SEA200010060,1,0,1,0,0,12,1,0,0,0,0,0,0,2,1,0,0,0,0,SEA,0,3,0
garcf002,NYA200010100,20,3,2,0,0,103,8,0,2,1,0,0,1,25,22,0,0,0,0,NYA,0,4,1
panij001,NYA200010100,3,1,0,0,0,18,3,0,1,0,0,0,0,4,4,0,0,0,0,NYA,0,4,0
rhoda001,NYA200010100,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,NYA,0,4,0
sasak001,NYA200010100,3,2,0,0,0,27,1,0,2,0,0,0,0,5,5,0,0,0,0,NYA,0,4,0
halaj001,NYA200010110,18,5,3,0,0,85,2,0,4,1,0,0,0,25,22,0,0,0,0,NYA,0,4,1
panij001,NYA200010110,3,1,0,0,0,20,1,0,1,0,0,0,0,4,4,0,0,0,0,NYA,0,4,0
rhoda001,NYA200010110,1,4,0,3,3,27,0,0,3,1,0,0,0,5,4,0,0,1,0,NYA,0,4,0
mesaj001,NYA200010110,2,4,0,4,4,29,0,1,2,1,0,0,0,5,5,0,0,0,0,NYA,0,4,0
selea001,SEA200010130,18,9,0,4,4,90,4,2,6,1,0,0,0,27,27,0,0,0,0,SEA,0,4,1
tomkb001,SEA200010130,7,3,2,4,4,60,3,0,3,0,0,1,0,11,9,0,0,0,0,SEA,0,4,0
ramsr001,SEA200010130,2,1,0,0,0,10,0,0,1,0,0,0,0,3,2,0,0,1,0,SEA,0,4,0
abbop001,SEA200010140,15,3,3,3,3,80,3,1,2,0,0,0,0,21,18,0,0,0,0,SEA,0,4,1
ramsr001,SEA200010140,3,1,0,0,0,14,1,0,1,0,0,0,0,4,4,0,0,0,0,SEA,0,4,0
mesaj001,SEA200010140,6,1,1,2,2,31,0,1,0,0,0,0,0,8,7,0,0,0,0,SEA,0,4,0
panij001,SEA200010140,3,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,0,0,SEA,0,4,0
garcf002,SEA200010150,15,7,2,2,2,96,3,0,4,3,0,0,1,25,22,0,0,0,0,SEA,0,4,1
panij001,SEA200010150,3,0,1,0,0,18,0,0,0,0,0,0,0,4,3,0,0,0,0,SEA,0,4,0
rhoda001,SEA200010150,4,0,3,0,0,33,4,0,0,0,0,0,0,7,4,0,0,0,0,SEA,0,4,0
sasak001,SEA200010150,5,1,1,0,0,32,2,0,1,0,0,1,1,8,6,0,0,0,0,SEA,0,4,0
halaj001,NYA200010170,10,5,2,3,3,66,1,0,4,1,0,0,0,16,14,0,0,0,0,NYA,0,4,1
tomkb001,NYA200010170,8,0,2,0,0,60,1,0,0,0,0,0,0,10,8,0,0,0,1,NYA,0,4,0
panij001,NYA200010170,1,2,0,2,2,12,0,0,2,0,0,0,0,3,2,0,1,0,0,NYA,0,4,0
rhoda001,NYA200010170,0,4,1,4,4,18,0,1,2,1,0,0,0,5,4,0,0,0,1,NYA,0,4,0
mesaj001,NYA200010170,5,0,2,0,0,29,3,0,0,0,0,0,0,7,4,0,0,1,0,NYA,0,4,0
