id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
downs001,0,18,7,1,2,2,85,5,0,4,2,1,0,1,26,24,0,0,0,0
worrt002,0,3,0,0,0,0,10,1,0,0,0,0,0,0,3,3,0,0,0,0
heref001,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
vanpt001,0,2,1,1,0,0,21,0,0,1,0,0,0,0,4,3,0,0,0,0
garid001,0,6,0,2,0,0,33,2,0,0,0,0,0,0,7,4,0,1,0,0
aguir001,0,3,1,0,0,0,11,0,0,1,0,0,0,0,4,4,0,0,0,0
ortir001,1,18,1,7,0,0,120,11,0,0,1,0,0,0,26,19,0,0,0,0
rodrf002,1,3,0,0,0,0,19,2,0,0,0,0,0,0,3,3,0,0,0,0
johnj006,1,6,2,0,2,2,34,1,2,0,0,0,0,0,8,8,0,0,0,0
nen-r001,1,3,0,0,0,0,10,1,0,0,0,0,0,0,3,3,0,0,0,0
fulta001,1,3,1,2,1,1,24,0,0,0,1,0,0,0,6,3,0,0,1,0
