advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,12,1,,,,,0,5,SSBFC,gardm001,1,0,huntb002 strikes out. ,huntb002,0,
,12,1,,,,,1,9,BFCX,gardm001,1,0,,shumt001,0,F
,32,1,,,,,2,16,FBSFBBS,gardm001,1,0,walkl001 strikes out. ,walkl001,0,
,21,1,,,,,3,4,BBCX,karls001,1,0,,murrc001,1,
,10,1,,,,,4,6,BX,karls001,1,0,benam001 grounds out. ,benam001,1,G
,32,1,burke001,,,,5,13,BFCBFBB,karls001,0,0,burke001 walks. ,burke001,1,
burke001 to 2B. ,22,1,kentj001,burke001,,,6,18,CBCBX,karls001,0,0,kentj001 singles. ,kentj001,1,
,21,1,kentj001,burke001,,,7,22,BFBX,karls001,1,0,davir002 grounds out. ,davir002,1,G
,32,2,hammj001,,,,8,26,CSBFBFBFFB,gardm001,0,0,hammj001 walks. ,hammj001,0,
,12,2,,,,heltt001,9,30,FCBB,gardm001,1,0,hammj001 caught stealing. ,heltt001,0,
,22,2,,,,,10,35,FCBBX,gardm001,1,0,,heltt001,0,P
,00,2,cirij001,,,,11,36,X,gardm001,0,0,cirij001 reaches on error. ,cirij001,0,G
cirij001 to 2B. ,01,2,peren001,cirij001,,,12,38,CX,gardm001,0,0,peren001 singles. ,peren001,0,
cirij001 to 3B. peren001 out. ,01,2,servs002,,cirij001,,13,40,CX,gardm001,1,0,servs002 reaches on fielder's choice. ,servs002,0,
,31,2,snowj001,,,,14,27,CBBBB,karls001,0,0,snowj001 walks. ,snowj001,1,
,12,2,snowj001,,,,15,31,CBFC,karls001,1,0,martr003 strikes out. ,martr003,1,
,10,2,snowj001,,,,16,33,BX,karls001,1,0,,mirad001,1,F
,00,2,snowj001,,,,17,34,X,karls001,1,0,gardm001 grounds out. ,gardm001,1,G
,12,3,,,,,18,44,FBSS,gardm001,1,0,karls001 strikes out. ,karls001,0,
,22,3,,,,,19,49,BCBFX,gardm001,1,0,,huntb002,0,P
,32,3,,,,,20,56,BCCBFBX,gardm001,1,0,shumt001 grounds out. ,shumt001,0,G
,00,3,,,,,21,35,X,karls001,1,0,,murrc001,1,F
,01,3,,,,,22,37,CX,karls001,1,0,benam001 grounds out. ,benam001,1,G
,22,3,,,,,23,43,BBFCFX,karls001,1,0,burke001 grounds out. ,burke001,1,G
,12,4,,,,,24,60,FBFX,gardm001,1,0,walkl001 grounds out. ,walkl001,0,G
,00,4,hammj001,,,,25,61,X,gardm001,0,0,hammj001 singles. ,hammj001,0,
hammj001 to 2B. ,22,4,heltt001,hammj001,,,26,66,FBBFX,gardm001,0,0,heltt001 singles. ,heltt001,0,
,00,4,,hammj001,,,27,67,X,gardm001,2,0,Double Play. ,cirij001,0,
,22,4,,,,,28,49,CFBBFX,karls001,1,0,,kentj001,1,F
,10,4,davir002,,,,29,51,BX,karls001,0,0,davir002 singles. ,davir002,1,
davir002 scores. ,32,4,,,,,30,60,BCBBFFFFX,karls001,0,2,snowj001 homers. ,snowj001,1,
,01,4,,,,,31,62,SX,karls001,1,0,martr003 grounds out. ,martr003,1,G
,30,4,mirad001,,,,32,66,BBBB,karls001,0,0,mirad001 walks. ,mirad001,1,
,01,4,mirad001,,,,33,68,CX,karls001,1,0,gardm001 grounds out. ,gardm001,1,G
,22,5,,,,,34,73,BFBCFX,gardm001,1,0,,peren001,0,F
,12,5,,,,,35,78,FFBFC,gardm001,1,0,servs002 strikes out. ,servs002,0,
,01,5,,,,,36,80,CX,gardm001,1,0,,karls001,0,F
,32,5,,,,,38,74,CBFBBS,karls001,1,0,murrc001 strikes out. ,murrc001,1,
,00,5,,,,,39,75,X,karls001,1,0,benam001 grounds out. ,benam001,1,G
,10,5,,,,,40,77,BX,karls001,1,0,burke001 grounds out. ,burke001,1,G
,01,6,,,,,41,82,CX,gardm001,1,0,,huntb002,0,F
,00,6,,shumt001,,,42,83,X,gardm001,0,0,shumt001 doubles. ,shumt001,0,
shumt001 to 2B. ,01,6,bragd001,shumt001,,,43,85,CX,gardm001,0,0,bragd001 singles. ,bragd001,0,
,12,6,bragd001,,,,44,89,BSFX,gardm001,2,0,Double Play. ,hammj001,0,
,22,6,,,,,45,82,BCBFX,karls001,1,0,kentj001 grounds out. ,kentj001,1,G
,31,6,davir002,,,,46,87,BBFBX,karls001,0,0,davir002 singles. ,davir002,1,
,10,6,davir002,,,,47,89,BX,karls001,1,0,,snowj001,1,P
davir002 to 3B. ,02,6,martr003,,davir002,,48,92,CCX,karls001,0,0,martr003 singles. ,martr003,1,
davir002 scores. martr003 to 2B. ,11,6,mirad001,martr003,,,50,3,BCX,tavaj001,0,1,mirad001 singles. ,mirad001,1,
,32,6,mirad001,martr003,,,51,11,CBSFBFBC,tavaj001,1,0,gardm001 strikes out. ,gardm001,1,
,10,7,,,,,52,91,BX,gardm001,1,0,,heltt001,0,L
,11,7,cirij001,,,,53,94,CBX,gardm001,0,0,cirij001 singles. ,cirij001,0,
cirij001 out. ,00,7,peren001,,,,54,95,X,gardm001,1,0,peren001 reaches on fielder's choice. ,peren001,0,
,11,7,peren001,,,,55,98,BFX,gardm001,1,0,,servs002,0,P
,10,7,,,,,56,13,BX,tavaj001,1,0,murrc001 grounds out. ,murrc001,1,G
,32,7,benam001,,,,57,20,CBBBCFX,tavaj001,0,0,benam001 singles. ,benam001,1,
,22,7,,benam001,,burke001,58,25,BBFFB,tavaj001,0,0,benam001 steals 2B. ,burke001,1,
,32,7,burke001,benam001,,,59,31,BBFFBB,tavaj001,0,0,burke001 walks. ,burke001,1,
,00,7,burke001,benam001,,,60,32,X,tavaj001,1,0,,kentj001,1,F
,00,7,burke001,benam001,,,62,33,X,tavaj001,1,0,,muelb001,1,F
,01,8,,,,,66,2,CX,rodrf002,1,0,,goodt001,0,F
,02,8,,,,,67,5,CSX,rodrf002,1,0,huntb002 grounds out. ,huntb002,0,G
,00,8,,,,,68,6,X,rodrf002,1,0,,shumt001,0,P
,12,8,,,,,71,4,BSFS,dejem001,1,0,snowj001 strikes out. ,snowj001,1,
,00,8,,,,,72,5,X,dejem001,1,0,martr003 grounds out. ,martr003,1,G
,10,8,,,,,73,7,BX,dejem001,1,0,,mirad001,1,F
,12,9,,,,,75,4,BCFS,nen-r001,1,0,bragd001 strikes out. ,bragd001,0,
,32,9,,,,,76,10,BBBCFC,nen-r001,1,0,hammj001 strikes out. ,hammj001,0,
,12,9,,,,,77,14,CBFS,nen-r001,1,0,heltt001 strikes out. ,heltt001,0,
