version,2
info,visteam,ATL
info,hometeam,SFN
info,site,SFO03
info,date,2000/08/18
info,number,0
info,starttime,7:35PM
info,daynight,night
info,usedh,false
info,umphome,eddid901
info,ump1b,relic901
info,ump2b,carlm901
info,ump3b,demud901
info,pitches,pitches
info,temp,63
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,129
info,attendance,40930
info,wp,hernl003
info,lp,maddg002
info,save,
start,furcr001,"Rafael Furcal",0,1,6
start,jonea002,"Andruw Jones",0,2,8
start,jonec004,"Chipper Jones",0,3,5
start,surhb001,"B.J. Surhoff",0,4,7
start,galaa001,"Andres Galarraga",0,5,3
start,jordb001,"Brian Jordan",0,6,9
start,lockk001,"Keith Lockhart",0,7,4
start,bakop001,"Paul Bako",0,8,2
start,maddg002,"Greg Maddux",0,9,1
start,benam001,"Marvin Benard",1,1,8
start,muelb001,"Bill Mueller",1,2,5
start,bondb001,"Barry Bonds",1,3,7
start,kentj001,"Jeff Kent",1,4,4
start,snowj001,"J.T. Snow",1,5,3
start,aurir001,"Rich Aurilia",1,6,6
start,riosa001,"Armando Rios",1,7,9
start,estab001,"Bobby Estalella",1,8,2
start,hernl003,"Livan Hernandez",1,9,1
play,1,0,furcr001,01,CX,S
play,1,0,jonea002,02,CFS,K
play,1,0,jonec004,11,BFS,CS2(26)
play,1,0,jonec004,22,BFSBC,K/C
play,1,1,benam001,10,BX,43/G
play,1,1,muelb001,11,CBX,63/G
play,1,1,bondb001,00,X,S7
play,1,1,kentj001,11,CBX,S7/7S.1-2
play,1,1,snowj001,22,BSFBS,K
play,2,0,surhb001,20,BBX,7/F7D
play,2,0,galaa001,21,BSBX,S9
play,2,0,jordb001,00,X,54(1)/FO
play,2,0,lockk001,01,CX,63/G
play,2,1,aurir001,00,X,63/G
play,2,1,riosa001,32,CBBCBS,K
play,2,1,estab001,22,FBBFFS,K
play,3,0,bakop001,32,BBSSBFS,K
play,3,0,maddg002,10,BX,8/F8
play,3,0,furcr001,12,CSBC,K/C
play,3,1,hernl003,02,FSS,K
play,3,1,benam001,01,CX,7/F7
play,3,1,muelb001,10,BX,63/G
play,4,0,jonea002,22,FBBFFFS,K
play,4,0,jonec004,00,X,31/G
play,4,0,surhb001,31,BBCBB,W
play,4,0,galaa001,10,BX,53/G
play,4,1,bondb001,01,CX,13/G
play,4,1,kentj001,22,BSSBS,K
play,4,1,snowj001,12,CBFX,S9
play,4,1,aurir001,10,BX,HR/7.1-H
play,4,1,riosa001,11,CBX,S8/8S
play,4,1,estab001,22,FBBFB,SB2
play,4,1,estab001,32,FBBFBFFFX,13/G
play,5,0,jordb001,22,BFCFBX,13/G
play,5,0,lockk001,00,X,5/L5
play,5,0,bakop001,32,BSBFFBS,K
play,5,1,hernl003,01,FX,53/G
play,5,1,benam001,12,CSBC,K/C
play,5,1,muelb001,00,X,3/G
play,6,0,maddg002,00,X,S9
play,6,0,furcr001,22,CBBSC,K/C
play,6,0,jonea002,22,FBBSFFFFX,8/F8
play,6,0,jonec004,10,BX,43/G
play,6,1,bondb001,32,BCFBBFX,43/G
play,6,1,kentj001,22,BFBCX,8/L8
play,6,1,snowj001,02,SSC,K/C
play,7,0,surhb001,01,CX,7/L7
play,7,0,galaa001,32,BBCSBB,W
play,7,0,jordb001,12,CSBC,K/C
play,7,0,lockk001,00,X,13/G
play,7,1,aurir001,12,CFBC,K/C
play,7,1,riosa001,21,SBBX,7/F7
play,7,1,estab001,31,CBBBB,W
play,7,1,hernl003,01,FX,63/G
play,8,0,bakop001,32,BBCBCX,7/F7
play,8,0,maddg002,00,,NP
sub,joynw001,"Wally Joyner",0,9,11
play,8,0,joynw001,21,BBFX,7/F7
play,8,0,furcr001,32,BBBCCS,K
play,8,1,benam001,00,,NP
sub,mulht001,"Terry Mulholland",0,9,1
play,8,1,benam001,00,X,53/BG
play,8,1,muelb001,22,CBCBX,S
play,8,1,bondb001,10,BX,S8.1-3
play,8,1,kentj001,01,CX,FC5.3XH(52);1-2;B-1#
play,8,1,snowj001,22,CBCBS,K
play,9,0,jonea002,21,BSBX,7/L7
play,9,0,jonec004,00,X,S
play,9,0,surhb001,01,CX,64(1)/FO
play,9,0,galaa001,22,SCFBBC,K/C
data,er,maddg002,2
data,er,mulht001,0
data,er,hernl003,0
