id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
bufod001,0,1,8,4,4,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
mattg002,0,2,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sosas001,0,3,9,4,4,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
gracm001,0,4,3,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
andrs001,0,4,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gutir001,0,5,6,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
vanpt001,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worrt002,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
browr001,0,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reedj001,0,6,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
greew001,0,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nievj002,0,8,4,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
garid001,0,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
husoj001,0,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murrc001,1,1,8,5,4,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
martr003,1,2,4,5,3,3,1,2,0,0,2,1,0,0,0,1,0,0,0,0,1,0
nen-r001,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bondb001,1,3,7,5,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
kentj001,1,4,3,5,4,2,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
burke001,1,5,9,5,2,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
davir002,1,6,5,5,5,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
snowj001,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aurir001,1,7,6,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
estab001,1,8,2,4,3,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
hernl003,1,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muelb001,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
