id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
benam001,SFN200010040,1,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
davir002,SFN200010040,1,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
nen-r001,SFN200010040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
muelb001,SFN200010040,2,5,5,5,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
bondb001,SFN200010040,3,7,4,3,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,NYN,1,3,0
kentj001,SFN200010040,4,4,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
burke001,SFN200010040,5,9,4,3,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,NYN,1,3,0
aurir001,SFN200010040,6,6,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
snowj001,SFN200010040,7,3,4,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NYN,1,3,0
estab001,SFN200010040,8,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
hernl003,SFN200010040,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
rodrf002,SFN200010040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
cresf001,SFN200010040,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
murrc001,SFN200010040,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
murrc001,SFN200010050,1,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
benam001,SFN200010050,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NYN,1,3,0
muelb001,SFN200010050,2,5,5,5,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,NYN,1,3,0
bondb001,SFN200010050,3,7,5,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
kentj001,SFN200010050,4,3,4,4,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,NYN,1,3,0
burke001,SFN200010050,5,9,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
martr003,SFN200010050,6,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
snowj001,SFN200010050,6,11,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,NYN,1,3,0
aurir001,SFN200010050,7,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
estab001,SFN200010050,8,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
estes001,SFN200010050,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
ruetk001,SFN200010050,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
henrd002,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
cresf001,SFN200010050,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
rodrf002,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
riosa001,SFN200010050,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,3,0
benam001,NYN200010070,1,8,7,6,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
muelb001,NYN200010070,2,5,7,6,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,NYN,0,3,0
bondb001,NYN200010070,3,7,7,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NYN,0,3,0
kentj001,NYN200010070,4,4,6,6,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
burke001,NYN200010070,5,9,6,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
fulta001,NYN200010070,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
snowj001,NYN200010070,6,3,6,4,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,NYN,0,3,0
aurir001,NYN200010070,7,6,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
nen-r001,NYN200010070,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
riosa001,NYN200010070,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
mirad001,NYN200010070,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
estab001,NYN200010070,8,2,4,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
cresf001,NYN200010070,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
rodrf002,NYN200010070,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
murrc001,NYN200010070,8,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
ortir001,NYN200010070,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
embra001,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
henrd002,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
martr003,NYN200010070,9,6,3,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
benam001,NYN200010080,1,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
muelb001,NYN200010080,2,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
bondb001,NYN200010080,3,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
kentj001,NYN200010080,4,4,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
burke001,NYN200010080,5,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
snowj001,NYN200010080,6,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
aurir001,NYN200010080,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
mirad001,NYN200010080,8,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
cresf001,NYN200010080,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
estab001,NYN200010080,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
gardm001,NYN200010080,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
henrd002,NYN200010080,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
embra001,NYN200010080,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
davir002,NYN200010080,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
deltm001,NYN200010080,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,3,0
