id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
estes001,PIT200008280,21,5,6,4,3,124,10,0,5,0,0,1,0,29,23,0,0,0,0,PIT,0,1,1
embra001,PIT200008280,3,0,1,0,0,11,0,0,0,0,0,0,0,3,2,0,0,0,0,PIT,0,1,0
nen-r001,PIT200008280,3,1,0,0,0,18,3,0,0,1,0,0,0,4,4,0,0,0,0,PIT,0,1,0
hernl003,PIT200008290,6,7,1,7,7,62,1,1,2,3,1,1,0,13,12,0,0,0,0,PIT,0,1,1
nathj001,PIT200008290,12,3,2,1,1,45,2,0,2,1,0,1,0,16,13,0,1,0,0,PIT,0,1,0
fulta001,PIT200008290,6,0,0,0,0,25,1,0,0,0,0,0,0,6,6,0,0,0,0,PIT,0,1,0
ortir001,PIT200008300,21,4,3,0,0,113,12,0,3,1,0,0,0,28,25,0,0,0,0,PIT,0,1,1
rodrf002,PIT200008300,3,0,0,0,0,13,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
nen-r001,PIT200008300,3,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
ruetk001,PIT200008310,21,7,1,2,2,104,0,1,3,3,0,0,0,29,28,0,0,0,0,PIT,0,1,1
henrd002,PIT200008310,3,1,1,0,0,17,1,0,1,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
embra001,PIT200008310,3,2,1,0,0,31,0,0,2,0,0,0,0,6,5,0,0,0,0,PIT,0,1,0
estes001,LAN200007210,21,6,4,5,5,109,4,0,3,2,1,0,0,30,25,0,0,1,0,LAN,0,1,1
rodrf002,LAN200007210,3,1,0,1,1,14,1,1,0,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
hernl003,LAN200007220,24,5,1,2,2,119,6,1,4,0,0,0,0,28,27,0,0,0,0,LAN,0,1,1
nen-r001,LAN200007220,3,0,1,0,0,20,1,0,0,0,0,0,0,4,3,0,0,0,0,LAN,0,1,0
ortir001,LAN200007230,21,8,3,4,4,118,7,2,5,1,0,0,0,30,27,0,0,0,0,LAN,0,1,1
lines001,LAN200007230,3,2,0,1,1,19,0,1,1,0,0,0,0,5,5,0,0,0,0,LAN,0,1,0
ortir001,LAN200009260,18,7,3,6,6,121,6,1,5,0,1,1,0,28,25,0,0,0,0,LAN,0,1,1
henrd002,LAN200009260,0,0,2,2,1,12,0,0,0,0,0,0,0,2,0,0,0,0,0,LAN,0,1,0
embra001,LAN200009260,3,0,0,0,0,14,0,0,0,0,0,1,0,4,2,0,0,2,0,LAN,0,1,0
zerbc001,LAN200009260,3,2,1,1,1,17,0,1,1,0,0,0,0,5,4,0,0,0,0,LAN,0,1,0
ruetk001,LAN200009270,21,5,0,0,0,91,2,0,3,2,0,0,0,26,26,0,0,0,0,LAN,0,1,1
rodrf002,LAN200009270,3,0,2,0,0,21,1,0,0,0,0,0,0,5,3,0,0,0,0,LAN,0,1,0
nen-r001,LAN200009270,3,1,0,0,0,8,1,0,1,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
estes001,LAN200009280,16,4,4,3,2,104,5,0,4,0,0,1,0,24,20,0,0,0,0,LAN,0,1,1
fulta001,LAN200009280,5,1,0,0,0,19,0,0,0,1,0,0,0,6,5,0,0,1,0,LAN,0,1,0
rodrf002,LAN200009280,3,0,0,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
nen-r001,LAN200009280,3,0,0,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
hernl003,CHN200007280,25,7,3,0,0,115,5,0,6,1,0,0,0,34,31,0,0,0,0,CHN,0,1,1
nen-r001,CHN200007280,2,0,0,0,0,6,2,0,0,0,0,0,0,2,2,0,0,0,0,CHN,0,1,0
ortir001,CHN200007290,12,8,5,6,6,92,3,0,7,1,0,0,1,25,18,0,1,0,0,CHN,0,1,1
lines001,CHN200007290,1,3,2,2,2,28,0,0,3,0,0,0,0,6,4,0,0,0,0,CHN,0,1,0
fulta001,CHN200007290,8,1,0,0,0,37,2,0,1,0,0,0,0,9,9,0,0,0,0,CHN,0,1,0
embra001,CHN200007290,3,1,0,0,0,17,0,0,1,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
ruetk001,CHN200007300,19,7,3,2,1,102,2,0,5,2,0,0,0,28,25,0,0,0,0,CHN,0,1,1
rodrf002,CHN200007300,5,3,0,1,1,27,2,1,2,0,0,0,0,8,8,0,0,0,0,CHN,0,1,0
ortir001,SLN200006200,13,7,5,6,6,109,5,2,5,0,0,0,0,24,18,0,1,0,0,SLN,0,1,1
gardm001,SLN200006200,8,1,0,1,1,25,3,0,1,0,0,0,0,9,7,1,1,1,0,SLN,0,1,0
embra001,SLN200006200,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
ruetk001,SLN200006210,21,4,3,1,1,111,5,0,3,1,0,0,0,27,23,0,1,0,1,SLN,0,1,1
rodrf002,SLN200006210,3,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
nen-r001,SLN200006210,3,1,0,0,0,12,1,0,1,0,0,0,0,4,4,0,0,0,0,SLN,0,1,0
estes001,SLN200006220,12,4,3,5,5,81,4,1,2,1,0,1,0,19,16,0,0,0,0,SLN,0,1,1
johnj006,SLN200006220,6,1,1,1,1,23,2,0,0,0,1,0,0,7,5,0,0,1,0,SLN,0,1,0
fulta001,SLN200006220,2,1,0,1,1,8,0,1,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
rodrf002,SLN200006220,4,4,1,3,3,37,3,1,2,1,0,0,0,9,8,0,0,0,0,SLN,0,1,0
gardm001,SLN200006220,1,2,0,1,1,15,1,0,2,0,0,0,1,4,3,0,0,0,0,SLN,0,1,0
ruetk001,SLN200007070,19,8,1,2,2,109,3,1,7,0,0,0,0,27,25,0,1,0,0,SLN,0,1,1
embra001,SLN200007070,5,1,0,0,0,21,1,0,1,0,0,0,0,5,5,0,0,0,0,SLN,0,1,0
nen-r001,SLN200007070,3,0,1,0,0,19,2,0,0,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
estes001,SLN200007080,15,10,1,5,4,109,5,0,8,2,0,1,0,26,25,0,0,0,0,SLN,0,1,1
fulta001,SLN200007080,2,1,1,0,0,20,0,0,1,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
johnj006,SLN200007080,3,2,0,0,0,19,1,0,2,0,0,0,0,5,5,0,0,0,0,SLN,0,1,0
embra001,SLN200007080,2,0,2,1,1,19,2,0,0,0,0,0,0,4,2,0,0,0,0,SLN,0,1,0
rodrf002,SLN200007080,2,1,1,0,0,25,0,0,1,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
nen-r001,SLN200007080,3,0,1,0,0,16,1,0,0,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
hernl003,SLN200007090,18,8,1,5,4,102,4,1,5,2,0,0,1,29,27,0,0,0,0,SLN,0,1,1
nathj001,SLN200007090,3,2,1,3,3,30,1,2,0,0,0,0,0,6,5,0,0,0,0,SLN,0,1,0
fulta001,SLN200007090,3,0,0,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
hernl003,HOU200006230,24,9,1,2,2,113,6,0,6,3,0,0,0,33,31,0,0,1,0,HOU,0,1,1
embra001,HOU200006230,3,1,0,1,1,14,1,1,0,0,0,0,0,4,4,0,0,0,0,HOU,0,1,0
nathj001,HOU200006240,18,9,4,4,4,115,5,0,8,1,0,0,0,31,27,0,0,0,0,HOU,0,1,1
johnj006,HOU200006240,3,2,0,0,0,13,0,0,2,0,0,0,0,4,4,0,0,0,0,HOU,0,1,0
embra001,HOU200006240,3,1,0,0,0,24,2,0,1,0,0,0,0,4,4,0,0,0,0,HOU,0,1,0
fulta001,HOU200006240,3,0,1,0,0,16,2,0,0,0,0,0,0,4,3,0,0,0,0,HOU,0,1,0
ortir001,HOU200006250,19,6,4,2,2,121,12,1,5,0,0,0,0,27,23,0,0,0,0,HOU,0,1,1
rodrf002,HOU200006250,5,1,1,0,0,31,4,0,1,0,0,0,0,7,6,0,0,0,0,HOU,0,1,0
nen-r001,HOU200006250,3,1,1,0,0,18,1,0,1,0,0,0,0,5,4,0,0,0,0,HOU,0,1,0
nathj001,HOU200009110,7,5,3,6,6,51,0,3,0,1,1,0,0,14,11,0,0,0,0,HOU,0,1,1
deltm001,HOU200009110,8,2,2,1,1,41,1,0,0,1,1,0,1,13,10,0,0,0,1,HOU,0,1,0
johnj006,HOU200009110,6,1,0,0,0,25,0,0,1,0,0,0,0,7,7,0,0,0,0,HOU,0,1,0
rodrf002,HOU200009110,4,1,0,0,0,25,3,0,1,0,0,0,1,6,5,0,0,0,0,HOU,0,1,0
nen-r001,HOU200009110,5,0,0,0,0,18,1,0,0,0,0,0,0,4,4,0,0,0,0,HOU,0,1,0
estes001,HOU200009120,21,9,1,5,5,109,8,1,5,2,1,0,0,29,28,0,0,0,0,HOU,0,1,1
henrd002,HOU200009120,2,1,0,0,0,10,0,0,0,1,0,1,0,3,3,0,0,0,0,HOU,0,1,0
embra001,HOU200009120,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,HOU,0,1,0
nen-r001,HOU200009120,3,1,0,0,0,14,1,0,0,1,0,0,0,4,4,0,0,0,0,HOU,0,1,0
hernl003,HOU200009130,24,7,2,2,0,126,7,0,6,1,0,0,0,34,32,0,0,0,0,HOU,0,1,1
nen-r001,HOU200009130,3,1,0,0,0,18,2,0,1,0,0,0,0,4,4,0,0,0,0,HOU,0,1,0
nathj001,CIN200004180,8,4,5,8,2,75,1,0,3,1,0,1,1,20,13,0,0,1,0,CIN,0,1,1
ruetk001,CIN200004180,7,2,0,0,0,36,1,0,2,0,0,0,0,8,7,0,1,0,0,CIN,0,1,0
rodrf002,CIN200004180,3,2,0,0,0,16,1,0,2,0,0,0,0,5,5,0,0,0,0,CIN,0,1,0
fulta001,CIN200004180,3,0,0,0,0,8,0,0,0,0,0,0,1,4,2,0,1,0,0,CIN,0,1,0
johnj006,CIN200004180,3,0,1,1,1,19,1,0,0,0,0,0,0,4,3,0,0,0,0,CIN,0,1,0
nen-r001,CIN200004180,3,0,0,0,0,10,2,0,0,0,0,0,0,3,3,0,0,0,0,CIN,0,1,0
