id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
hernl003,SFN200010040,23,5,5,1,1,125,5,0,4,1,0,0,0,33,27,0,0,1,0,SFN,0,3,1
rodrf002,SFN200010040,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,SFN,0,3,0
nen-r001,SFN200010040,3,0,0,0,0,17,0,0,0,0,0,0,0,3,3,0,0,0,0,SFN,0,3,0
estes001,SFN200010050,9,3,3,2,2,44,3,0,3,0,0,0,1,16,12,0,0,0,0,SFN,0,3,1
ruetk001,SFN200010050,13,3,1,0,0,71,1,0,2,1,0,0,0,16,15,0,0,0,0,SFN,0,3,0
henrd002,SFN200010050,2,0,1,0,0,9,0,0,0,0,0,0,0,2,1,0,0,0,0,SFN,0,3,0
rodrf002,SFN200010050,6,4,0,3,3,39,3,1,2,1,0,0,0,10,10,0,0,0,0,SFN,0,3,0
ortir001,NYN200010070,16,2,4,1,1,95,4,0,2,0,0,0,0,21,17,0,0,0,1,NYN,0,3,1
embra001,NYN200010070,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,NYN,0,3,0
henrd002,NYN200010070,5,0,0,1,1,18,1,0,0,0,0,0,1,6,5,0,0,0,0,NYN,0,3,0
nen-r001,NYN200010070,4,2,1,0,0,34,3,0,1,1,0,0,0,7,6,0,0,0,0,NYN,0,3,0
rodrf002,NYN200010070,6,2,1,0,0,47,2,0,2,0,0,0,0,9,8,0,0,0,0,NYN,0,3,0
fulta001,NYN200010070,4,3,0,1,1,19,0,1,2,0,0,0,0,6,6,0,0,0,0,NYN,0,3,0
gardm001,NYN200010080,13,4,2,4,4,71,5,1,1,2,0,1,0,20,18,0,0,0,0,NYN,0,3,1
henrd002,NYN200010080,5,1,2,0,0,41,0,0,1,0,0,0,0,7,5,0,0,0,1,NYN,0,3,0
embra001,NYN200010080,3,0,0,0,0,9,0,0,0,0,0,0,0,4,4,0,0,0,0,NYN,0,3,0
deltm001,NYN200010080,3,1,0,0,0,14,2,0,0,1,0,0,1,5,4,0,0,0,0,NYN,0,3,0
