id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
boehb001,0,9,5,5,8,3,77,3,1,4,0,0,0,0,19,14,0,0,0,0
palav001,0,5,5,2,6,4,49,3,2,2,1,0,0,0,13,11,0,0,0,1
walkk001,0,4,2,2,0,0,34,1,0,2,0,0,1,0,8,6,0,0,0,0
cunnw001,0,3,1,1,0,0,23,2,0,1,0,0,0,0,5,4,0,0,0,0
whism001,0,3,1,0,0,0,23,1,0,1,0,0,1,0,4,4,0,0,0,0
ankir001,1,15,2,7,0,0,114,4,0,2,0,0,0,0,23,16,0,0,0,0
stecg001,1,3,1,1,1,1,22,1,0,0,1,0,0,0,5,4,0,0,0,0
mohlm001,1,3,1,1,0,0,19,0,0,1,0,0,0,0,5,4,0,0,0,0
waind001,1,3,2,0,0,0,24,1,0,2,0,0,0,0,5,5,0,0,0,0
jamem001,1,3,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0
