advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,loftk001,,,0,3,BFX,stepg001,0,0,loftk001 doubles. ,loftk001,0,
,12,1,,loftk001,,,1,7,LFBC,stepg001,1,0,vizqo001 strikes out. ,vizqo001,0,
,12,1,,loftk001,,,2,11,BCCS,stepg001,1,0,alomr001 strikes out. ,alomr001,0,
,31,1,thomj002,loftk001,,,3,16,BBCBB,stepg001,0,0,thomj002 walks. ,thomj002,0,
,11,1,thomj002,loftk001,,,4,19,CBX,stepg001,1,0,justd001 grounds out. ,justd001,0,G
,12,1,,,,,5,6,BCFFFX,colob001,1,0,vinaf001 grounds out. ,vinaf001,1,G
,12,1,,,,,6,10,BCSC,colob001,1,0,rente001 strikes out. ,rente001,1,
,32,1,edmoj001,,,,7,17,BBCFFBB,colob001,0,0,edmoj001 walks. ,edmoj001,1,
,12,1,edmoj001,,,,8,21,CSBS,colob001,1,0,mcgwm001 strikes out. ,mcgwm001,1,
,22,2,,,,,9,24,BCBFS,stepg001,1,0,frymt001 strikes out. ,frymt001,0,
,12,2,,,,,10,29,CSFBX,stepg001,1,0,,sexsr001,0,F
,31,2,diaze002,,,,11,34,BBBCX,stepg001,0,0,diaze002 singles. ,diaze002,0,
,12,2,diaze002,,,,12,38,BSSC,stepg001,1,0,colob001 strikes out. ,colob001,0,
,32,2,,,,,13,27,BBSFBX,colob001,1,0,,lankr001,1,L
,22,2,,,,,14,32,BFBFX,colob001,1,0,drewj001 grounds out. ,drewj001,1,G
,22,2,,,,,15,37,BFFBX,colob001,1,0,polap001 grounds out. ,polap001,1,G
,32,3,,loftk001,,,16,46,CCBBBFFX,stepg001,0,0,loftk001 doubles. ,loftk001,0,
loftk001 to 3B. ,10,3,,,loftk001,,17,48,BX,stepg001,1,0,vizqo001 grounds out. ,vizqo001,0,G
loftk001 scores. ,11,3,alomr001,,,,18,51,BFX,stepg001,0,1,alomr001 singles. ,alomr001,0,
,00,3,alomr001,,,,19,52,X,stepg001,1,0,,thomj002,0,F
alomr001 scores. ,00,3,,,,,20,53,X,stepg001,0,2,justd001 homers. ,justd001,0,
,32,3,,,,,21,59,BBCBFX,stepg001,1,0,,frymt001,0,L
,01,3,,,,,22,39,CX,colob001,1,0,mathm001 grounds out. ,mathm001,1,G
,02,3,,,,,23,42,CCC,colob001,1,0,stepg001 strikes out. ,stepg001,1,
,02,3,,,,,24,45,FFS,colob001,1,0,vinaf001 strikes out. ,vinaf001,1,
,11,4,,,,,25,62,BSX,stepg001,0,1,sexsr001 homers. ,sexsr001,0,
,01,4,,,,,26,64,CX,stepg001,1,0,diaze002 grounds out. ,diaze002,0,G
,12,4,,,,,27,69,BFCFS,stepg001,1,0,colob001 strikes out. ,colob001,0,
,32,4,,,,,28,76,BBSFBFX,stepg001,1,0,loftk001 grounds out. ,loftk001,0,G
,00,4,,,,,29,46,X,colob001,1,0,rente001 grounds out. ,rente001,1,G
,22,4,,,,,30,51,BCCBS,colob001,1,0,edmoj001 strikes out. ,edmoj001,1,
,12,4,,,,,31,55,BSSS,colob001,1,0,mcgwm001 strikes out. ,mcgwm001,1,
,21,5,,,,,32,80,CBBX,stepg001,1,0,,vizqo001,0,
,02,5,,,,,33,83,CCX,stepg001,1,0,alomr001 grounds out. ,alomr001,0,G
,12,5,,,,,34,87,CCBS,stepg001,1,0,thomj002 strikes out. ,thomj002,0,
,12,5,,,,,35,61,CSFBFS,colob001,1,0,lankr001 strikes out. ,lankr001,1,
,22,5,,,,,36,66,BBFCX,colob001,1,0,drewj001 grounds out. ,drewj001,1,G
,22,5,polap001,,,,37,72,CFBBFX,colob001,0,0,polap001 reaches on error. ,polap001,1,G
,02,5,polap001,,,,38,75,FFS,colob001,1,0,mathm001 strikes out. ,mathm001,1,
,12,6,justd001,,,,39,92,FBFFX,stepg001,0,0,justd001 singles. ,justd001,0,
justd001 to 2B. ,32,6,frymt001,justd001,,,40,99,FBBFFBB,stepg001,0,0,frymt001 walks. ,frymt001,0,
,02,6,frymt001,justd001,,,42,4,FFFC,sloch001,1,0,sexsr001 strikes out. ,sexsr001,0,
justd001 to 3B. frymt001 to 2B. ,31,6,diaze002,frymt001,justd001,,43,9,BCBBB,sloch001,0,0,diaze002 walks. ,diaze002,0,
,12,6,diaze002,frymt001,justd001,,44,13,BFFS,sloch001,1,0,colob001 strikes out. ,colob001,0,
,10,6,diaze002,frymt001,justd001,,45,15,BX,sloch001,1,0,,loftk001,0,P
,02,6,,,,,47,78,FSC,colob001,1,0,dunss001 strikes out. ,dunss001,1,
,00,6,,,,,48,79,X,colob001,1,0,,vinaf001,1,F
,10,6,,,,,49,81,BX,colob001,1,0,rente001 grounds out. ,rente001,1,G
,12,7,,,,,51,4,BCCS,rodrj001,1,0,vizqo001 strikes out. ,vizqo001,0,
,00,7,,,,,52,5,X,rodrj001,1,0,,alomr001,0,F
,01,7,,,,,53,7,CX,rodrj001,1,0,thomj002 grounds out. ,thomj002,0,G
,32,7,edmoj001,,,,54,89,FBFFBBFB,colob001,0,0,edmoj001 walks. ,edmoj001,1,
edmoj001 to 2B. ,10,7,mcgwm001,edmoj001,,,55,91,BX,colob001,0,0,mcgwm001 singles. ,mcgwm001,1,
edmoj001 to 3B. mcgwm001 out. ,10,7,lankr001,,edmoj001,,56,93,BX,colob001,1,0,lankr001 reaches on fielder's choice. ,lankr001,1,
edmoj001 scores. lankr001 to 2B. ,00,7,drewj001,lankr001,,,57,94,X,colob001,0,1,drewj001 singles. ,drewj001,1,
,12,7,drewj001,lankr001,,,58,99,FFBFC,colob001,1,0,polap001 strikes out. ,polap001,1,
lankr001 scores. drewj001 to 3B. ,00,7,howat001,,drewj001,,60,100,X,colob001,0,1,howat001 singles. ,howat001,1,
howat001 out. ,12,7,marre001,,drewj001,,62,104,BCFX,colob001,1,0,marre001 reaches on fielder's choice. ,marre001,1,
,01,8,,,,,66,2,CX,thomm002,1,0,,justd001,0,
,02,8,,,,,67,5,FFC,thomm002,1,0,frymt001 strikes out. ,frymt001,0,
,32,8,,,,,68,11,BBSFBS,thomm002,1,0,sexsr001 strikes out. ,sexsr001,0,
,01,8,,,,,69,106,FX,colob001,1,0,,vinaf001,1,G
,12,8,,,,,70,111,BFCFS,colob001,1,0,rente001 strikes out. ,rente001,1,
,12,8,,,,,71,115,BCFS,colob001,1,0,edmoj001 strikes out. ,edmoj001,1,
,01,9,diaze002,,,,72,13,FX,thomm002,0,0,diaze002 singles. ,diaze002,0,
diaze002 to 2B. ,00,9,,diaze002,,branr001,74,14,B,thomm002,0,0,Wild Pitch. ,branr001,0,
,32,9,,diaze002,,,75,20,BBCSBS,thomm002,1,0,branr001 strikes out. ,branr001,0,
