version,2
info,visteam,NYN
info,hometeam,SLN
info,site,STL09
info,date,2000/09/02
info,number,0
info,starttime,12:15PM
info,daynight,day
info,usedh,false
info,umphome,diazl901
info,ump1b,coope901
info,ump2b,vanvm901
info,ump3b,kellj901
info,pitches,pitches
info,temp,91
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,159
info,attendance,41483
info,wp,kiled001
info,lp,hampm001
info,save,
start,peret004,"Timoniel Perez",0,1,9
start,bordm001,"Mike Bordick",0,2,6
start,alfoe001,"Edgardo Alfonzo",0,3,4
start,ventr001,"Robin Ventura",0,4,5
start,zeilt001,"Todd Zeile",0,5,3
start,agbab001,"Benny Agbayani",0,6,7
start,paytj001,"Jay Payton",0,7,8
start,pratt001,"Todd Pratt",0,8,2
start,hampm001,"Mike Hampton",0,9,1
start,vinaf001,"Fernando Vina",1,1,4
start,polap001,"Placido Polanco",1,2,5
start,edmoj001,"Jim Edmonds",1,3,8
start,davie001,"Eric Davis",1,4,9
start,paquc001,"Craig Paquette",1,5,3
start,drewj001,"J.D. Drew",1,6,7
start,rente001,"Edgar Renteria",1,7,6
start,mathm001,"Mike Matheny",1,8,2
start,kiled001,"Darryl Kile",1,9,1
play,1,0,peret004,02,CCFX,13/G
play,1,0,bordm001,00,X,7/F7D
play,1,0,alfoe001,21,BFBX,8/L8
play,1,1,vinaf001,00,H,HP
play,1,1,polap001,11,CBX,3/G.1-2
play,1,1,edmoj001,12,CSBX,43/G.2-3
play,1,1,davie001,32,BBFFBB,W
play,1,1,paquc001,20,BBX,8/L8
play,2,0,ventr001,01,CX,5/FL
play,2,0,zeilt001,01,CX,S9
play,2,0,agbab001,21,BCBX,S9.1-2
play,2,0,paytj001,22,CBBFX,64(1)3/GDP
play,2,1,drewj001,10,BX,43/G
play,2,1,rente001,01,CX,S9
play,2,1,mathm001,00,X,64(1)3/GDP
play,3,0,pratt001,11,CBX,S7
play,3,0,hampm001,00,X,13/SH.1-2
play,3,0,peret004,00,X,3/G.2-3
play,3,0,bordm001,00,X,8/F8
play,3,1,kiled001,31,BCBBB,W
play,3,1,vinaf001,00,X,46(1)/FO
play,3,1,polap001,12,CFFBX,46(1)/FO
play,3,1,edmoj001,32,FFBFBFFBS,K
play,4,0,alfoe001,21,BBCX,D7
play,4,0,ventr001,00,X,S/78.2-H
play,4,0,zeilt001,02,CCS,K
play,4,0,agbab001,11,BCX,9/F9
play,4,0,paytj001,10,BB,WP.1-2
play,4,0,paytj001,22,BBFSX,3/P3
play,4,1,davie001,00,X,8/L8
play,4,1,paquc001,01,FX,8/F8D
play,4,1,drewj001,00,X,S5/BG5
play,4,1,rente001,00,B,SB2
play,4,1,rente001,11,BFX,53/G
play,5,0,pratt001,10,BX,8/F8
play,5,0,hampm001,21,CBBX,8/L8
play,5,0,peret004,20,BBX,8/F8S
play,5,1,mathm001,01,CX,43/G
play,5,1,kiled001,12,CFFBS,K
play,5,1,vinaf001,10,BX,163/G
play,6,0,bordm001,22,CBCBX,43/G
play,6,0,alfoe001,11,CBX,7/L7
play,6,0,ventr001,21,BFBX,13/G
play,6,1,polap001,02,CSX,S8/8S
play,6,1,edmoj001,12,SBCX,S8.1-2
play,6,1,davie001,12,BCFFX,46(1)3/GDP.2-3
play,6,1,paquc001,11,FBX,S/78.3-H
play,6,1,drewj001,01,SX,S9/9S.1-3
play,6,1,rente001,32,BBCSBX,63/G
play,7,0,zeilt001,12,CBCC,K/C
play,7,0,agbab001,10,BX,8/F8
play,7,0,paytj001,02,FFFX,9/F9
play,7,1,mathm001,01,FX,S7
play,7,1,kiled001,11,BLX,3/SH.1-2
play,7,1,vinaf001,00,X,43/BG.2-3
play,7,1,polap001,32,BBCBCX,53/G
play,8,0,pratt001,21,FBBX,9/F9
play,8,0,hampm001,21,FBBX,8/F8
play,8,0,peret004,11,LBX,3/FL
play,8,1,edmoj001,22,CBBCS,K
play,8,1,davie001,12,BCCX,63/G
play,8,1,paquc001,10,BX,53/G
play,9,0,bordm001,01,FX,43/G
play,9,0,alfoe001,22,BBFCX,8/F8
play,9,0,ventr001,00,X,43/G
play,9,1,drewj001,12,BFFX,D9
play,9,1,rente001,00,X,13/SH.2-3
play,9,1,mathm001,00,,NP
sub,benia001,"Armando Benitez",0,9,1
play,9,1,mathm001,00,,NP
sub,howat001,"Thomas Howard",1,8,11
play,9,1,howat001,31,BBBCB,W
play,9,1,kiled001,00,,NP
sub,lankr001,"Ray Lankford",1,9,11
play,9,1,lankr001,00,,NP
sub,marre001,"Eli Marrero",1,8,12
play,9,1,lankr001,11,SBS,SB2
play,9,1,lankr001,12,SBSS,K
play,9,1,vinaf001,01,FX,S7/7S.3-H;2-3
data,er,hampm001,2
data,er,benia001,0
data,er,kiled001,1
