id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
ankir001,PIT200005190,8,7,3,7,7,79,2,1,5,1,0,1,0,19,14,0,2,0,0,PIT,0,1,1
holmd001,PIT200005190,10,4,0,2,2,47,2,1,2,1,0,0,1,13,12,0,0,0,0,PIT,0,1,0
mohlm001,PIT200005190,6,4,1,4,3,39,2,0,3,0,1,0,0,12,11,0,0,0,0,PIT,0,1,0
hentp001,PIT200005200,21,7,2,3,3,90,3,1,5,1,0,0,0,27,24,0,0,1,0,PIT,0,1,1
rodrj001,PIT200005200,3,0,1,0,0,16,1,0,0,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
sloch001,PIT200005200,3,2,1,1,0,14,0,0,2,0,0,0,0,6,5,0,0,0,0,PIT,0,1,0
benea001,PIT200005210,21,6,1,3,3,110,5,2,4,0,0,0,0,27,26,0,0,0,0,PIT,0,1,1
jamem001,PIT200005210,1,1,1,1,1,15,0,1,0,0,0,0,0,3,2,0,0,0,0,PIT,0,1,0
rodrj001,PIT200005210,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
vered001,PIT200005210,4,2,0,1,1,23,1,1,0,1,0,0,0,6,6,0,0,0,0,PIT,0,1,0
stepg001,PIT200009110,21,7,4,4,4,121,4,1,5,1,0,0,0,32,28,0,0,0,0,PIT,0,1,1
stecg001,PIT200009110,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
vered001,PIT200009110,3,0,0,0,0,17,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
kiled001,PIT200009120,18,5,3,1,0,113,5,0,1,4,0,1,0,26,23,0,0,0,0,PIT,0,1,1
stecg001,PIT200009120,3,1,1,0,0,17,0,0,1,0,0,0,0,5,4,0,0,0,0,PIT,0,1,0
benea002,PIT200009120,6,1,0,0,0,40,3,0,1,0,0,0,0,7,7,0,0,0,0,PIT,0,1,0
ankir001,PIT200009130,20,7,0,4,2,106,11,0,2,5,0,0,0,27,27,0,0,0,0,PIT,0,1,1
timlm001,PIT200009130,4,3,2,1,1,29,0,0,3,0,0,0,0,8,6,0,0,0,0,PIT,0,1,0
vered001,PIT200009130,3,0,0,0,0,13,0,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
hentp001,LAN200006160,18,7,2,3,3,100,3,1,5,1,0,0,1,26,23,0,0,0,1,LAN,0,1,1
mattm001,LAN200006160,2,0,0,0,0,8,1,0,0,0,0,0,0,2,2,0,0,0,0,LAN,0,1,0
benea002,LAN200006160,4,0,1,0,0,21,1,0,0,0,0,0,0,5,4,0,0,0,0,LAN,0,1,0
vered001,LAN200006160,3,0,0,0,0,16,1,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
benea001,LAN200006170,18,7,2,2,2,115,10,1,5,1,0,0,0,26,24,0,0,0,0,LAN,0,1,1
morrm001,LAN200006170,6,1,0,1,1,19,1,0,0,1,0,0,0,7,7,0,0,0,0,LAN,0,1,0
vered001,LAN200006170,3,0,0,0,0,13,1,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
kiled001,LAN200006180,18,6,3,6,6,111,6,2,3,1,0,0,0,27,23,0,0,1,0,LAN,0,1,1
sloch001,LAN200006180,5,2,1,0,0,28,2,0,2,0,0,0,0,7,6,0,0,0,0,LAN,0,1,0
mattm001,LAN200006180,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,LAN,0,1,0
benea001,CHN200008140,15,6,3,5,5,94,2,1,2,3,0,1,0,23,20,0,0,0,0,CHN,0,1,1
jamem001,CHN200008140,6,2,1,0,0,26,1,0,2,0,0,0,0,8,7,0,0,0,1,CHN,0,1,0
timlm001,CHN200008140,3,3,1,2,2,29,0,0,3,0,0,0,1,8,4,0,1,1,0,CHN,0,1,0
stepg001,CHN200008150,21,6,2,2,2,117,7,1,5,0,0,0,0,29,27,0,0,0,0,CHN,0,1,1
morrm001,CHN200008150,5,1,0,0,0,17,0,0,1,0,0,0,0,6,6,0,0,0,0,CHN,0,1,0
vered001,CHN200008150,1,0,0,0,0,10,1,0,0,0,0,1,0,1,1,0,0,0,0,CHN,0,1,0
kiled001,CHN200008160,27,6,2,1,1,110,4,0,5,1,0,0,0,34,31,0,1,0,0,CHN,0,1,1
kiled001,CHN200009220,21,8,3,4,4,121,2,0,7,1,0,0,1,32,28,0,0,0,0,CHN,0,1,1
chrij002,CHN200009220,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
vered001,CHN200009220,3,2,0,1,1,30,1,0,1,1,0,0,0,5,5,0,0,0,0,CHN,0,1,0
reamb001,CHN200009230,15,2,2,2,0,77,2,0,1,1,0,0,0,20,17,0,0,1,0,CHN,0,1,1
jamem001,CHN200009230,3,1,1,1,1,24,0,0,1,0,0,0,0,6,5,0,0,0,0,CHN,0,1,0
timlm001,CHN200009230,2,1,1,0,0,19,1,0,1,0,0,0,0,4,3,0,0,0,0,CHN,0,1,0
chrij002,CHN200009230,2,1,0,1,0,13,2,0,1,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
morrm001,CHN200009230,5,2,0,1,0,39,1,0,1,1,0,0,0,8,8,0,0,0,0,CHN,0,1,0
hentp001,CHN200009240,15,8,3,6,6,110,2,0,7,1,0,1,1,27,22,0,0,1,1,CHN,0,1,1
jamem001,CHN200009240,3,2,3,3,2,26,0,0,2,0,0,0,0,8,4,0,1,0,1,CHN,0,1,0
benea002,CHN200009240,3,2,0,1,1,28,1,1,0,1,0,0,0,5,5,0,0,0,0,CHN,0,1,0
stecg001,CHN200009240,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
kiled001,SLN200004030,18,2,2,1,1,96,4,0,2,0,0,0,1,22,18,0,0,1,0,SLN,0,1,1
sloch001,SLN200004030,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
thomm002,SLN200004030,3,1,1,0,0,20,0,0,0,1,0,0,0,4,3,0,0,0,0,SLN,0,1,0
vered001,SLN200004030,3,0,0,0,0,10,2,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
hentp001,SLN200004050,17,6,0,3,3,84,1,0,3,3,0,0,0,22,21,0,1,0,0,SLN,0,1,1
orosj001,SLN200004050,1,1,0,0,0,11,0,0,1,0,0,0,1,3,2,0,0,0,0,SLN,0,1,0
ankir001,SLN200004050,6,1,2,0,0,44,2,0,1,0,0,0,0,9,7,0,0,0,0,SLN,0,1,0
waind001,SLN200004050,3,1,0,1,1,14,0,0,1,0,0,0,1,4,3,0,0,0,0,SLN,0,1,0
stepg001,SLN200004060,21,4,1,3,3,103,5,1,2,1,0,0,1,26,24,0,0,0,0,SLN,0,1,1
mohlm001,SLN200004060,6,2,1,0,0,42,1,0,2,0,0,1,0,9,8,0,0,0,0,SLN,0,1,0
benea001,SLN200004070,15,6,2,2,2,84,1,1,4,1,0,0,0,21,19,0,0,0,0,SLN,0,1,1
thomm002,SLN200004070,6,0,1,0,0,27,0,0,0,0,0,0,0,7,6,0,0,0,0,SLN,0,1,0
orosj001,SLN200004070,2,0,1,2,0,16,2,0,0,0,0,0,0,4,3,0,0,0,1,SLN,0,1,0
vered001,SLN200004070,1,3,0,2,2,14,1,0,3,0,0,0,1,5,4,0,0,0,0,SLN,0,1,0
waind001,SLN200004070,3,2,0,3,3,26,0,1,1,0,0,0,1,6,5,0,0,0,0,SLN,0,1,0
kiled001,SLN200004080,16,6,3,4,4,90,6,1,4,1,0,0,2,26,20,0,1,0,0,SLN,0,1,1
sloch001,SLN200004080,2,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,SLN,0,1,0
mohlm001,SLN200004080,2,2,1,3,3,21,1,0,1,1,0,0,0,5,4,0,0,0,0,SLN,0,1,0
thomm002,SLN200004080,0,0,2,0,0,17,0,0,0,0,0,0,1,3,0,0,0,0,0,SLN,0,1,0
orosj001,SLN200004080,2,1,0,1,1,13,0,1,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
vered001,SLN200004080,5,0,0,0,0,20,4,0,0,0,0,0,0,5,5,0,0,0,0,SLN,0,1,0
ankir001,SLN200004090,18,3,3,2,2,102,10,1,1,1,0,0,0,24,21,0,0,0,0,SLN,0,1,1
sloch001,SLN200004090,6,1,1,0,0,26,2,0,1,0,0,0,0,8,7,0,0,0,0,SLN,0,1,0
waind001,SLN200004090,3,2,1,0,0,23,0,0,2,0,0,0,0,6,5,0,0,0,0,SLN,0,1,0
benea001,SLN200004180,18,5,3,3,3,107,6,1,2,2,0,0,0,25,22,0,0,0,0,SLN,0,1,1
sloch001,SLN200004180,5,3,0,1,1,26,1,0,2,1,0,0,0,8,6,0,1,1,0,SLN,0,1,0
vered001,SLN200004180,4,1,1,0,0,29,4,0,0,1,0,0,0,6,5,0,0,0,0,SLN,0,1,0
kiled001,SLN200004190,24,5,0,3,3,102,7,1,3,0,1,0,0,27,27,0,0,0,0,SLN,0,1,1
vered001,SLN200004190,3,1,0,0,0,14,0,0,1,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
ankir001,SLN200004200,15,2,7,0,0,114,4,0,2,0,0,0,0,23,16,0,0,0,0,SLN,0,1,1
stecg001,SLN200004200,3,1,1,1,1,22,1,0,0,1,0,0,0,5,4,0,0,0,0,SLN,0,1,0
mohlm001,SLN200004200,3,1,1,0,0,19,0,0,1,0,0,0,0,5,4,0,0,0,0,SLN,0,1,0
waind001,SLN200004200,3,2,0,0,0,24,1,0,2,0,0,0,0,5,5,0,0,0,0,SLN,0,1,0
jamem001,SLN200004200,3,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
hentp001,SLN200004210,18,8,4,6,4,120,2,1,7,0,0,0,0,31,27,0,0,0,1,SLN,0,1,1
mohlm001,SLN200004210,3,1,0,0,0,21,0,0,1,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
sloch001,SLN200004210,6,1,1,0,0,30,2,0,1,0,0,0,0,8,7,0,0,0,0,SLN,0,1,0
stepg001,SLN200004220,18,8,3,5,4,126,2,0,6,2,0,0,0,29,24,1,0,2,0,SLN,0,1,1
mohlm001,SLN200004220,1,0,1,1,1,9,0,0,0,0,0,0,0,2,1,0,0,0,0,SLN,0,1,0
jamem001,SLN200004220,5,1,0,1,1,33,2,1,0,0,0,0,0,6,6,0,0,0,0,SLN,0,1,0
vered001,SLN200004220,3,2,0,0,0,16,1,0,2,0,0,0,0,5,5,0,0,0,0,SLN,0,1,0
benea001,SLN200004230,18,4,3,3,3,108,9,1,1,1,1,0,0,25,22,0,0,0,0,SLN,0,1,1
sloch001,SLN200004230,3,0,1,0,0,17,1,0,0,0,0,0,0,3,2,0,0,0,0,SLN,0,1,0
kiled001,SLN200004250,21,6,1,2,2,105,10,1,4,1,0,0,0,27,25,0,0,1,0,SLN,0,1,1
sloch001,SLN200004250,2,1,0,0,0,13,1,0,0,1,0,0,0,3,3,0,0,0,0,SLN,0,1,0
mohlm001,SLN200004250,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,SLN,0,1,0
jamem001,SLN200004250,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,SLN,0,1,0
stecg001,SLN200004250,3,0,0,0,0,7,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
ankir001,SLN200004260,21,3,3,0,0,99,4,0,2,1,0,0,1,25,21,0,0,0,0,SLN,0,1,1
waind001,SLN200004260,3,0,0,0,0,10,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
vered001,SLN200004260,3,1,0,0,0,12,1,0,1,0,0,0,0,4,4,0,0,0,0,SLN,0,1,0
hentp001,SLN200004270,18,5,4,4,4,108,4,1,4,0,0,0,0,25,21,0,0,0,0,SLN,0,1,1
stecg001,SLN200004270,6,2,1,2,2,32,0,1,0,1,0,0,0,9,8,0,0,0,0,SLN,0,1,0
waind001,SLN200004270,1,3,0,2,2,24,0,1,1,1,0,0,0,4,4,0,0,0,0,SLN,0,1,0
mohlm001,SLN200004270,2,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0,SLN,0,1,0
ankir001,SLN200005020,18,5,5,4,4,117,4,0,3,2,0,0,0,27,20,0,2,0,0,SLN,0,1,1
sloch001,SLN200005020,3,3,2,3,3,34,0,0,3,0,0,0,0,8,6,0,0,0,0,SLN,0,1,0
mohlm001,SLN200005020,2,2,1,3,3,15,0,0,1,1,0,0,0,5,4,0,0,0,0,SLN,0,1,0
jamem001,SLN200005020,1,1,0,0,0,8,0,0,0,1,0,0,0,2,2,0,0,0,0,SLN,0,1,0
brunj001,SLN200005020,3,2,0,0,0,13,0,0,2,0,0,0,0,5,5,0,0,0,0,SLN,0,1,0
hentp001,SLN200005030,18,7,2,4,4,103,7,2,3,2,0,0,0,26,24,0,0,0,0,SLN,0,1,1
stecg001,SLN200005030,6,5,1,4,4,38,0,0,2,2,1,1,0,11,10,0,0,0,0,SLN,0,1,0
vered001,SLN200005030,3,1,1,0,0,27,1,0,1,0,0,0,0,5,4,0,0,0,0,SLN,0,1,0
stepg001,SLN200005040,23,3,6,0,0,128,6,0,1,2,0,1,0,31,25,0,0,0,0,SLN,0,1,1
jamem001,SLN200005040,4,1,1,0,0,21,1,0,1,0,0,0,0,5,4,0,0,0,0,SLN,0,1,0
kiled001,SLN200005120,17,7,2,8,8,105,4,2,1,4,0,0,1,27,24,0,0,0,0,SLN,0,1,1
holmd001,SLN200005120,7,4,2,3,3,44,2,0,3,0,1,0,0,13,11,0,0,0,0,SLN,0,1,0
brunj001,SLN200005120,3,2,1,2,2,21,1,0,2,0,0,0,0,6,5,1,0,0,0,SLN,0,1,0
ankir001,SLN200005130,21,4,4,0,0,125,9,0,4,0,0,0,0,27,23,1,0,0,0,SLN,0,1,1
mohlm001,SLN200005130,0,1,1,1,1,14,0,0,1,0,0,0,1,3,1,0,0,0,0,SLN,0,1,0
vered001,SLN200005130,6,2,1,2,2,39,1,0,1,1,0,0,0,9,6,0,1,1,0,SLN,0,1,0
hentp001,SLN200005140,13,8,3,6,6,80,3,2,4,2,0,0,0,24,19,0,1,1,0,SLN,0,1,1
sloch001,SLN200005140,5,1,1,2,2,29,0,1,0,0,0,0,0,7,6,0,0,0,0,SLN,0,1,0
jamem001,SLN200005140,3,2,2,2,2,28,1,1,0,1,0,0,0,7,5,0,0,0,0,SLN,0,1,0
stepg001,SLN200005140,3,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
vered001,SLN200005140,3,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
kiled001,SLN200005230,24,4,3,2,2,117,11,1,1,2,0,0,0,31,27,0,0,1,0,SLN,0,1,1
thomm002,SLN200005230,3,1,0,1,1,6,0,1,0,0,0,0,0,4,4,0,0,0,0,SLN,0,1,0
stepg001,SLN200005240,27,5,3,1,1,122,5,0,2,3,0,0,0,34,31,0,0,0,0,SLN,0,1,1
ankir001,SLN200005250,20,7,0,4,4,120,11,2,4,1,0,0,0,27,27,0,0,0,0,SLN,0,1,1
jamem001,SLN200005250,1,3,0,2,2,12,0,2,1,0,0,0,0,4,4,0,0,0,0,SLN,0,1,0
vered001,SLN200005250,6,1,0,0,0,27,2,0,1,0,0,0,0,7,7,0,0,0,0,SLN,0,1,0
hentp001,SLN200005260,18,4,5,2,2,105,4,0,3,1,0,0,0,26,19,0,1,1,0,SLN,0,1,1
thomm002,SLN200005260,2,0,3,2,2,20,0,0,0,0,0,0,0,5,2,0,0,0,0,SLN,0,1,0
mohlm001,SLN200005260,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,SLN,0,1,0
sloch001,SLN200005260,4,3,1,1,1,28,1,0,2,1,0,0,0,8,7,0,0,0,0,SLN,0,1,0
rodrj001,SLN200005260,3,1,0,0,0,12,0,0,0,1,0,0,0,4,3,0,0,1,0,SLN,0,1,0
benea001,SLN200005270,15,11,2,6,6,90,3,3,5,3,0,0,0,28,23,0,3,0,0,SLN,0,1,1
thomm002,SLN200005270,6,1,2,0,0,35,1,0,1,0,0,0,0,9,7,0,0,0,0,SLN,0,1,0
sloch001,SLN200005270,0,0,1,2,1,11,0,0,0,0,0,0,0,2,1,0,0,0,0,SLN,0,1,0
vered001,SLN200005270,3,1,1,2,2,19,1,1,0,0,0,0,0,5,4,0,0,0,0,SLN,0,1,0
rodrj001,SLN200005270,1,1,1,2,0,16,0,0,1,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
holmd001,SLN200005270,2,1,0,0,0,9,1,0,1,0,0,0,0,3,2,0,0,1,0,SLN,0,1,0
kiled001,SLN200005280,21,7,2,5,5,126,7,3,1,3,0,0,0,30,28,0,0,0,0,SLN,0,1,1
benea002,SLN200005280,6,4,0,1,1,35,0,0,4,0,0,0,0,9,9,0,0,0,0,SLN,0,1,0
kiled001,SLN200006020,24,3,3,1,1,131,9,1,2,0,0,1,1,30,25,0,1,0,0,SLN,0,1,1
mattm001,SLN200006020,1,0,1,0,0,9,0,0,0,0,0,0,0,2,1,0,0,0,0,SLN,0,1,0
vered001,SLN200006020,2,0,1,0,0,14,0,0,0,0,0,0,0,3,2,0,0,0,0,SLN,0,1,0
stepg001,SLN200006030,15,7,2,4,4,99,6,2,3,2,0,0,0,24,22,0,0,0,0,SLN,0,1,1
sloch001,SLN200006030,3,0,1,0,0,15,2,0,0,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
rodrj001,SLN200006030,3,0,0,0,0,7,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
thomm002,SLN200006030,4,1,0,0,0,20,3,0,1,0,0,1,0,5,5,0,0,0,0,SLN,0,1,0
mattm001,SLN200006030,2,0,2,0,0,24,1,0,0,0,0,0,0,4,2,0,0,0,0,SLN,0,1,0
ankir001,SLN200006040,15,5,0,2,2,98,11,2,3,0,0,0,0,19,19,0,0,0,0,SLN,0,1,1
morrm001,SLN200006040,9,2,2,1,1,54,4,0,1,1,0,0,0,13,11,0,0,0,0,SLN,0,1,0
vered001,SLN200006040,3,0,0,0,0,13,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
hentp001,SLN200006050,15,7,3,3,2,96,1,1,5,1,0,0,0,25,20,0,1,1,0,SLN,0,1,1
thomm002,SLN200006050,6,2,2,4,2,50,2,0,1,1,0,0,0,11,9,0,0,0,0,SLN,0,1,0
benea002,SLN200006050,6,1,0,0,0,20,0,0,1,0,0,0,0,7,7,0,0,0,0,SLN,0,1,0
benea001,SLN200006060,22,8,1,4,4,116,6,0,4,4,0,0,0,31,30,0,0,0,0,SLN,0,1,1
vered001,SLN200006060,5,2,1,0,0,29,2,0,1,1,0,0,0,8,7,0,0,0,0,SLN,0,1,0
kiled001,SLN200006070,27,7,1,2,2,114,10,0,6,1,0,0,0,34,31,0,1,1,0,SLN,0,1,1
ankir001,SLN200006200,18,3,3,2,2,101,8,1,1,1,0,0,0,21,18,0,0,0,0,SLN,0,1,1
benea002,SLN200006200,6,1,2,0,0,33,3,0,1,0,0,0,0,8,6,0,0,0,0,SLN,0,1,0
stepg001,SLN200006210,22,5,1,3,3,103,7,1,2,2,0,0,1,29,26,0,0,1,0,SLN,0,1,1
orosj001,SLN200006210,1,0,1,0,0,11,1,0,0,0,0,0,1,3,1,0,0,0,1,SLN,0,1,0
