id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
ankir001,SLN200010030,8,4,6,4,4,83,3,0,3,1,0,4,0,16,10,0,0,0,0,SLN,0,3,1
jamem001,SLN200010030,7,1,1,0,0,32,0,0,0,1,0,0,0,8,7,0,0,0,0,SLN,0,3,0
timlm001,SLN200010030,3,2,1,0,0,21,1,0,1,1,0,0,0,6,5,0,0,0,0,SLN,0,3,0
reamb001,SLN200010030,6,0,1,0,0,19,1,0,0,0,0,0,0,7,6,0,0,0,0,SLN,0,3,0
vered001,SLN200010030,3,1,0,1,0,20,2,0,1,0,0,0,1,6,5,0,0,0,0,SLN,0,3,0
kiled001,SLN200010050,21,4,2,2,2,107,6,0,3,1,0,0,0,27,25,0,0,0,0,SLN,0,3,1
chrij002,SLN200010050,1,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,SLN,0,3,0
timlm001,SLN200010050,2,3,0,2,2,12,1,1,1,1,0,0,0,5,5,0,0,0,0,SLN,0,3,0
morrm001,SLN200010050,3,0,1,0,0,13,0,0,0,0,0,0,0,4,3,0,0,0,0,SLN,0,3,0
stepg001,ATL200010070,11,3,2,1,1,58,2,0,3,0,0,0,0,15,13,0,0,0,0,ATL,0,3,1
reamb001,ATL200010070,4,0,2,0,0,28,1,0,0,0,0,0,0,5,3,0,0,0,0,ATL,0,3,0
jamem001,ATL200010070,6,0,0,0,0,16,1,0,0,0,0,0,0,6,6,0,0,0,0,ATL,0,3,0
morrm001,ATL200010070,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,ATL,0,3,0
vered001,ATL200010070,3,0,0,0,0,18,2,0,0,0,0,0,0,3,3,0,0,0,0,ATL,0,3,0
kiled001,SLN200010110,21,5,2,3,3,85,1,0,3,2,0,1,0,28,25,0,0,1,0,SLN,0,4,1
jamem001,SLN200010110,3,3,0,3,3,25,0,2,1,0,0,0,1,7,6,0,0,0,0,SLN,0,4,0
chrij002,SLN200010110,3,0,0,0,0,8,1,0,0,0,0,0,0,2,2,0,0,0,0,SLN,0,4,0
ankir001,SLN200010120,2,1,3,2,2,34,1,0,0,1,0,1,0,6,2,0,0,1,0,SLN,0,4,1
reamb001,SLN200010120,13,3,3,1,1,82,6,1,1,0,1,0,0,20,17,0,0,0,1,SLN,0,4,0
morrm001,SLN200010120,8,3,2,2,2,51,2,0,2,1,0,0,0,13,11,0,0,0,1,SLN,0,4,0
vered001,SLN200010120,1,1,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,SLN,0,4,0
timlm001,SLN200010120,3,1,0,1,0,18,0,0,1,0,0,0,0,5,4,0,1,0,0,SLN,0,4,0
benea001,NYN200010140,24,6,3,2,2,121,5,0,6,0,0,0,0,31,28,0,0,0,0,NYN,0,4,1
jamem001,NYN200010140,0,1,1,0,0,8,0,0,1,0,0,0,0,2,1,0,0,0,0,NYN,0,4,0
vered001,NYN200010140,3,0,0,0,0,13,3,0,0,0,0,0,0,3,3,0,0,0,0,NYN,0,4,0
kiled001,NYN200010150,9,8,3,7,7,73,2,0,2,6,0,0,0,19,16,0,0,0,1,NYN,0,4,1
jamem001,NYN200010150,3,1,0,1,1,10,0,1,0,0,0,0,0,3,3,0,0,0,0,NYN,0,4,0
timlm001,NYN200010150,6,0,1,2,0,29,0,0,0,0,0,0,1,10,6,0,1,1,0,NYN,0,4,0
morrm001,NYN200010150,3,0,0,0,0,14,0,0,0,0,0,0,0,3,3,0,0,0,0,NYN,0,4,0
chrij002,NYN200010150,3,0,0,0,0,14,0,0,0,0,0,0,0,3,3,0,0,0,0,NYN,0,4,0
hentp001,NYN200010160,11,7,5,6,6,97,2,0,5,2,0,0,0,23,18,0,0,0,0,NYN,0,4,1
timlm001,NYN200010160,1,0,1,0,0,10,0,0,0,0,0,0,0,2,1,0,0,0,0,NYN,0,4,0
reamb001,NYN200010160,6,2,1,0,0,36,0,0,2,0,0,0,0,9,8,0,0,0,0,NYN,0,4,0
ankir001,NYN200010160,2,0,2,1,1,24,1,0,0,0,0,2,0,4,1,0,1,0,0,NYN,0,4,0
jamem001,NYN200010160,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,NYN,0,4,0
vered001,NYN200010160,3,1,0,0,0,17,0,0,1,0,0,0,1,5,4,0,0,0,0,NYN,0,4,0
