version,2
info,visteam,ANA
info,hometeam,TBA
info,site,STP01
info,date,2000/04/22
info,number,0
info,starttime,4:15PM
info,daynight,day
info,usedh,true
info,umphome,emmep901
info,ump1b,davig901
info,ump2b,joycj901
info,ump3b,riekr901
info,pitches,pitches
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,205
info,attendance,22042
info,wp,lopea002
info,lp,merck001
info,save,
start,erstd001,"Darin Erstad",0,1,7
start,kenna001,"Adam Kennedy",0,2,4
start,vaugm001,"Mo Vaughn",0,3,3
start,salmt001,"Tim Salmon",0,4,9
start,andeg001,"Garret Anderson",0,5,8
start,glaut001,"Troy Glaus",0,6,5
start,palmo001,"Orlando Palmeiro",0,7,10
start,walbm001,"Matt Walbeck",0,8,2
start,gil-b001,"Benji Gil",0,9,6
start,ortir002,"Ramon Ortiz",0,0,1
start,willg001,"Gerald Williams",1,1,8
start,martd002,"Dave Martinez",1,2,9
start,vaugg001,"Greg Vaughn",1,3,7
start,cansj001,"Jose Canseco",1,4,10
start,mcgrf001,"Fred McGriff",1,5,3
start,castv001,"Vinny Castilla",1,6,5
start,flahj001,"John Flaherty",1,7,2
start,stock001,"Kevin Stocker",1,8,6
start,cairm001,"Miguel Cairo",1,9,4
start,yan-e001,"Esteban Yan",1,0,1
play,1,0,erstd001,12,CBFFX,8/L8
play,1,0,kenna001,01,FH,HP
play,1,0,vaugm001,01,CX,43/G.1-2
play,1,0,salmt001,02,CFX,53/G
play,1,1,willg001,22,FBBFX,4/P4
play,1,1,martd002,22,LFBFFBX,HR/9
play,1,1,vaugg001,01,FX,6/P6
play,1,1,cansj001,11,CBX,63/G
play,2,0,andeg001,11,FBX,43/G
play,2,0,glaut001,32,CBCBBS,K
play,2,0,palmo001,01,CX,4/L4
play,2,1,mcgrf001,00,X,4/P4
play,2,1,castv001,11,CBX,53/G
play,2,1,flahj001,22,BSBFS,K
play,3,0,walbm001,10,BX,S5/BG5
play,3,0,gil-b001,22,BFLBX,341/G.1-2
play,3,0,erstd001,32,BBCBSB,W
play,3,0,kenna001,12,SFBX,D9.2-H;1-H
play,3,0,vaugm001,02,SF2,PO2(E1).2-3
play,3,0,vaugm001,02,SF2X,S7.3-H
play,3,0,salmt001,22,BSSFBC,K/C
play,3,0,andeg001,02,CCS,K
play,3,1,stock001,32,BBLBCX,D7
play,3,1,cairm001,01,CX,13/SH.2-3
play,3,1,willg001,10,BX,5/L5
play,3,1,martd002,32,BSBCBC,K/C
play,4,0,glaut001,31,BBBCB,W
play,4,0,palmo001,22,FCFBBX,5/P5
play,4,0,walbm001,10,BS,CS2(243)
play,4,0,walbm001,11,BSX,43/G
play,4,1,vaugg001,32,SBBFBB,W
play,4,1,cansj001,22,BSCBS,K
play,4,1,mcgrf001,10,BX,HR/8.1-H
play,4,1,castv001,30,BBBB,W
play,4,1,flahj001,02,FCX,8/F8
play,4,1,stock001,10,BB,WP.1-3
play,4,1,stock001,30,BBBB,W
play,4,1,cairm001,12,BSFFS,K
play,5,0,gil-b001,00,X,D7
play,5,0,erstd001,00,X,FC6.2-3;B-1
play,5,0,kenna001,00,B,SB2.3-H(E6)
play,5,0,kenna001,22,BFBFFX,3/G.2-3
play,5,0,vaugm001,00,X,8/SF.3-H
play,5,0,salmt001,02,CSH,HP
play,5,0,andeg001,00,X,S9.1-3
play,5,0,glaut001,31,BCBBX,S8.3-H;1-2
play,5,0,palmo001,00,,NP
sub,whitr002,"Rick White",1,0,1
play,5,0,palmo001,31,BBBCX,7/F7
play,5,1,willg001,32,CBFBFFFFBB,W
play,5,1,martd002,22,LBBFX,8/F8
play,5,1,vaugg001,00,X,S.1-2
play,5,1,cansj001,01,FX,HR/8.2-H;1-H
play,5,1,mcgrf001,00,X,43/G
play,5,1,castv001,01,SX,63/G
play,6,0,walbm001,21,BBFX,8/F8
play,6,0,gil-b001,01,CX,63/G
play,6,0,erstd001,12,CBFX,S
play,6,0,kenna001,11,FBX,7/F7
play,6,1,flahj001,00,X,7/F7
play,6,1,stock001,11,BFX,13/BG
play,6,1,cairm001,00,X,43/G
play,7,0,vaugm001,12,SSBX,7/F7
play,7,0,salmt001,20,BBX,53/G
play,7,0,andeg001,01,CX,3/G
play,7,1,willg001,00,,NP
sub,hases001,"Shigetoshi Hasegawa",0,0,1
play,7,1,willg001,00,X,6/P6
play,7,1,martd002,11,CBX,S7
play,7,1,vaugg001,12,CBFS,K
play,7,1,cansj001,12,BFFX,S7.1-2
