id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
longt002,0,1,8,5,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
velar001,0,2,4,5,4,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
giamj001,0,3,3,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
staim001,0,4,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saeno001,0,4,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
chrir001,0,4,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
grieb001,0,5,7,5,4,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
tejam001,0,6,6,5,4,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
giamj002,0,7,10,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hernr002,0,8,2,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
chave001,0,9,5,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
willg001,1,1,8,5,5,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
castv001,1,2,5,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
vaugg001,1,3,7,4,3,2,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0
mcgrf001,1,4,3,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cansj001,1,5,10,4,4,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
guilj001,1,6,9,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
flahj001,1,7,2,4,4,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
stock001,1,8,6,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cairm001,1,9,4,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
