version,2
info,visteam,TOR
info,hometeam,TBA
info,site,STP01
info,date,2000/06/28
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,true
info,umphome,culbf901
info,ump1b,froeb901
info,ump2b,wintm901
info,ump3b,welkb901
info,pitches,pitches
info,temp,72
info,winddir,torf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,156
info,attendance,15308
info,wp,welld001
info,lp,yan-e001
info,save,
start,stews002,"Shannon Stewart",0,1,7
start,grebc001,"Craig Grebeck",0,2,4
start,mondr002,"Raul Mondesi",0,3,9
start,delgc001,"Carlos Delgado",0,4,3
start,fullb001,"Brad Fullmer",0,5,10
start,batit001,"Tony Batista",0,6,5
start,cruzj004,"Jose Cruz",0,7,8
start,casta001,"Alberto Castillo",0,8,2
start,woodc001,"Chris Woodward",0,9,6
start,welld001,"David Wells",0,0,1
start,winnr001,"Randy Winn",1,1,8
start,cairm001,"Miguel Cairo",1,2,10
start,tramb001,"Bubba Trammell",1,3,7
start,mcgrf001,"Fred McGriff",1,4,3
start,flahj001,"John Flaherty",1,5,2
start,smitr003,"Bobby Smith",1,6,4
start,guilj001,"Jose Guillen",1,7,9
start,johnr006,"Russ Johnson",1,8,5
start,martf001,"Felix Martinez",1,9,6
start,yan-e001,"Esteban Yan",1,0,1
play,1,0,stews002,12,CFFFBFX,43/G
play,1,0,grebc001,21,CBBX,7/F7
play,1,0,mondr002,32,SFBBBB,W
play,1,0,delgc001,00,B,SB2
play,1,0,delgc001,10,BX,7/F7
play,1,1,winnr001,02,CFX,43/G
play,1,1,cairm001,10,BX,6/P6
play,1,1,tramb001,00,X,8/F8
play,2,0,fullb001,01,CX,8/F8
play,2,0,batit001,10,BX,7/F7
play,2,0,cruzj004,00,X,HR/9
play,2,0,casta001,00,X,43/G
play,2,1,mcgrf001,00,X,31/G
play,2,1,flahj001,02,CSX,53/G
play,2,1,smitr003,02,CSFS,K
play,3,0,woodc001,12,BSCC,K/C
play,3,0,stews002,20,BBX,S8/8S
play,3,0,grebc001,00,X,46(1)/FO
play,3,0,mondr002,21,BBSX,64(1)/FO
play,3,1,guilj001,00,X,53/G
play,3,1,johnr006,22,FBFBX,HR/7
play,3,1,martf001,00,X,53/G
play,3,1,winnr001,02,CFX,7/F7
play,4,0,delgc001,20,BBX,S9
play,4,0,fullb001,01,CX,S9.1-3
play,4,0,batit001,22,BFFFFBX,S7.3-H;1-2
play,4,0,cruzj004,00,X,D9.2-H;1-3
play,4,0,casta001,00,X,63/G.3-H
play,4,0,woodc001,10,BX,E6/G.2-H(UR)
play,4,0,stews002,12,FBCS,K
play,4,0,grebc001,00,X,54(1)/FO
play,4,1,cairm001,22,BCFBX,4/P4
play,4,1,tramb001,01,FX,D/78
play,4,1,mcgrf001,02,CCB,WP.2-3
play,4,1,mcgrf001,12,CCBX,31/G.3-H
play,4,1,flahj001,02,SSX,13/G
play,5,0,mondr002,30,BBBB,W
play,5,0,delgc001,00,,NP
sub,creed001,"Doug Creek",1,0,1
play,5,0,delgc001,31,BBFBX,8/F8
play,5,0,fullb001,00,X,6/P6
play,5,0,batit001,20,BBX,3/FL
play,5,1,smitr003,12,SBFFFX,63/G
play,5,1,guilj001,01,CX,9/F9
play,5,1,johnr006,31,BBBCX,S7/7S
play,5,1,martf001,12,CBCS,K
play,6,0,cruzj004,32,BFBBCS,K
play,6,0,casta001,32,CSBBFBC,K/C
play,6,0,woodc001,02,CCS,K
play,6,1,winnr001,21,BBCX,S8/8S
play,6,1,cairm001,02,FFX,64(1)/FO
play,6,1,tramb001,02,CFS,K
play,6,1,mcgrf001,12,FCBS,K
play,7,0,stews002,22,BSFFFBFFS,K
play,7,0,grebc001,32,CSBBFBX,3/FL
play,7,0,mondr002,32,BBFBFFS,K
play,7,1,flahj001,00,X,8/F8
play,7,1,smitr003,00,X,9/F9
play,7,1,guilj001,12,BSSX,8/F8
play,8,0,delgc001,00,,NP
sub,cox-s001,"Steve Cox",1,4,3
play,8,0,delgc001,32,BBCSFBX,S8
play,8,0,fullb001,11,SBX,8/F8
play,8,0,batit001,00,X,9/F9
play,8,0,cruzj004,02,CCFX,8/F8
play,8,1,johnr006,11,BCX,63/G
play,8,1,martf001,02,FSX,63/G
play,8,1,winnr001,12,CFFFBFFFFX,7/F7
play,9,0,casta001,00,,NP
sub,hernr001,"Roberto Hernandez",1,0,1
play,9,0,casta001,00,X,63/G
play,9,0,woodc001,22,CCBFBX,63/G
play,9,0,stews002,22,BFSBX,53/G
play,9,1,cairm001,32,CBFBBFX,4/P4
play,9,1,tramb001,11,BCX,63/G
play,9,1,cox-s001,10,BX,S8/8S
play,9,1,flahj001,12,CFBFC,K/C
data,er,welld001,2
data,er,yan-e001,4
data,er,creed001,0
data,er,hernr001,0
