advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,22,1,,,,,0,5,CBCBS,lopea002,1,0,loftk001 strikes out. ,loftk001,0,
,22,1,,,,,1,11,CCFBBS,lopea002,1,0,vizqo001 strikes out. ,vizqo001,0,
,11,1,alomr001,,,,2,14,BFX,lopea002,0,0,alomr001 singles. ,alomr001,0,
,22,1,alomr001,,,,3,19,CBFBC,lopea002,1,0,ramim002 strikes out. ,ramim002,0,
,01,1,,,,,4,2,CX,berej002,1,0,willg001 grounds out. ,willg001,1,G
,11,1,,,,,5,5,FBX,berej002,1,0,,johnr006,1,F
,21,1,vaugg001,,,,6,9,CBBX,berej002,0,0,vaugg001 singles. ,vaugg001,1,
,22,1,vaugg001,,,,7,14,SBBSC,berej002,1,0,mcgrf001 strikes out. ,mcgrf001,1,
,00,2,thomj002,,,,8,20,X,lopea002,0,0,thomj002 singles. ,thomj002,0,
thomj002 to 2B. ,01,2,cordw001,thomj002,,,9,22,CX,lopea002,0,0,cordw001 reaches on error. ,cordw001,0,G
,32,2,cordw001,thomj002,,,10,29,CFBFBBS,lopea002,1,0,segud001 strikes out. ,segud001,0,
thomj002 scores. cordw001 to 2B. ,32,2,frymt001,cordw001,,,11,36,BFBSFBX,lopea002,0,1,frymt001 singles. ,frymt001,0,
cordw001 to 3B. frymt001 to 2B. ,00,2,aloms001,frymt001,cordw001,,12,37,X,lopea002,0,0,aloms001 singles. ,aloms001,0,
cordw001 scores. frymt001 to 3B. aloms001 out. ,00,2,loftk001,,frymt001,,13,38,X,lopea002,1,1,loftk001 reaches on fielder's choice. ,loftk001,0,
,00,2,loftk001,,frymt001,,14,39,X,lopea002,1,0,vizqo001 grounds out. ,vizqo001,0,G
,31,2,cansj001,,,,15,19,BCBBB,berej002,0,0,cansj001 walks. ,cansj001,1,
,12,2,,cansj001,,,16,23,CBFS,berej002,1,0,cox-s001 strikes out. cansj001 steals 2B. ,cox-s001,1,
cansj001 to 3B. ,12,2,,,cansj001,,17,27,FFBX,berej002,1,0,,flahj001,1,F
,12,2,,,cansj001,,18,32,FBFFX,berej002,1,0,,huffa001,1,P
,31,3,,,,,19,44,BBBCX,lopea002,1,0,alomr001 grounds out. ,alomr001,0,G
,12,3,,,,,20,48,BCSS,lopea002,1,0,ramim002 strikes out. ,ramim002,0,
,12,3,,,,,21,53,FCBFC,lopea002,1,0,thomj002 strikes out. ,thomj002,0,
,01,3,,,,,22,34,CX,berej002,1,0,martf001 grounds out. ,martf001,1,G
,12,3,,,,,23,39,CSFBS,berej002,1,0,willg001 strikes out. ,willg001,1,
,20,3,johnr006,,,,24,42,BBX,berej002,0,0,johnr006 singles. ,johnr006,1,
,22,3,johnr006,,,,25,47,SSBBS,berej002,1,0,vaugg001 strikes out. ,vaugg001,1,
,31,4,cordw001,,,,26,58,BBBCB,lopea002,0,0,cordw001 walks. ,cordw001,0,
cordw001 to 2B. ,01,4,segud001,cordw001,,,27,60,FX,lopea002,0,0,segud001 singles. ,segud001,0,
cordw001 to 3B. segud001 to 2B. ,02,4,frymt001,segud001,cordw001,,28,64,FFFX,lopea002,0,0,frymt001 singles. ,frymt001,0,
cordw001 scores. segud001 to 3B. frymt001 to 2B. ,11,4,aloms001,frymt001,segud001,,29,67,FBX,lopea002,0,1,aloms001 singles. ,aloms001,0,
segud001 scores. frymt001 to 3B. ,00,4,,,frymt001,,30,68,X,lopea002,2,1,Double Play. ,loftk001,0,
,21,4,,,frymt001,,31,72,CBBX,lopea002,1,0,vizqo001 grounds out. ,vizqo001,0,G
,32,4,,,,,32,54,FBCBFBX,berej002,1,0,mcgrf001 grounds out. ,mcgrf001,1,G
,32,4,,,,,33,61,BSBSFBX,berej002,1,0,,cansj001,1,F
,01,4,,,,,34,63,CX,berej002,1,0,,cox-s001,1,F
,12,5,,,,,35,76,CBFX,lopea002,1,0,,alomr001,0,L
,32,5,,ramim002,,,36,84,BBFFFFBX,lopea002,0,0,ramim002 doubles. ,ramim002,0,
ramim002 to 3B. ,21,5,,,ramim002,,37,88,BBSX,lopea002,1,0,thomj002 grounds out. ,thomj002,0,G
,10,5,,,ramim002,,38,90,BX,lopea002,1,0,,cordw001,0,F
,00,5,flahj001,,,,39,64,X,berej002,0,0,flahj001 singles. ,flahj001,1,
,00,5,,,,,40,65,X,berej002,2,0,Double Play. ,huffa001,1,
,02,5,,,,,41,68,SFS,berej002,1,0,martf001 strikes out. ,martf001,1,
,32,6,segud001,,,,42,96,BBBCFB,lopea002,0,0,segud001 walks. ,segud001,0,
,22,6,segud001,,,,43,101,CBSBX,lopea002,1,0,,frymt001,0,P
,10,6,,,,,44,103,BX,lopea002,2,0,Double Play. ,aloms001,0,
,02,6,,,,,45,71,CFX,berej002,1,0,willg001 grounds out. ,willg001,1,G
,32,6,,,,,46,79,CBBBCFFX,berej002,0,1,johnr006 homers. ,johnr006,1,
,32,6,vaugg001,,,,47,87,BBFSFBFB,berej002,0,0,vaugg001 walks. ,vaugg001,1,
,10,6,,,,,48,89,BX,berej002,2,0,Double Play. ,mcgrf001,1,
,10,7,,,,,49,105,BX,lopea002,1,0,loftk001 grounds out. ,loftk001,0,G
,01,7,,,,,50,107,LX,lopea002,1,0,,vizqo001,0,P
,32,7,alomr001,,,,51,113,CBBBFB,lopea002,0,0,alomr001 walks. ,alomr001,0,
,02,7,alomr001,,,,52,118,FSFFS,lopea002,1,0,ramim002 strikes out. ,ramim002,0,
,12,7,,,,,54,94,CCFBX,berej002,1,0,cansj001 grounds out. ,cansj001,1,G
,22,7,,,,,55,99,BCFBS,berej002,1,0,cox-s001 strikes out. ,cox-s001,1,
,12,7,,,,,56,104,CFFBS,berej002,1,0,flahj001 strikes out. ,flahj001,1,
,32,8,,,,,58,6,BSBFBS,yan-e001,1,0,thomj002 strikes out. ,thomj002,0,
,22,8,,,,,59,11,BSFBX,yan-e001,1,0,,cordw001,0,P
,11,8,,,,,60,14,SBX,yan-e001,1,0,segud001 grounds out. ,segud001,0,G
,02,8,,,,,61,107,CFX,berej002,1,0,,huffa001,1,F
,22,8,,,,,63,112,BBCCC,berej002,1,0,cairm001 strikes out. ,cairm001,1,
,00,8,,,,,64,113,X,berej002,1,0,willg001 grounds out. ,willg001,1,G
,12,9,,,,,67,18,BCCC,yan-e001,1,0,frymt001 strikes out. ,frymt001,0,
,22,9,,,,,68,24,BSBFFX,yan-e001,0,1,aloms001 homers. ,aloms001,0,
,12,9,,,,,69,28,CCBX,yan-e001,1,0,,loftk001,0,F
,02,9,,,,,70,31,SSS,yan-e001,1,0,cabrj002 strikes out. ,cabrj002,0,
,11,9,johnr006,,,,72,3,BCX,wickb001,0,0,johnr006 singles. ,johnr006,1,
,22,9,,,,,73,8,CCBBX,wickb001,2,0,Double Play. ,vaugg001,1,
,20,9,mcgrf001,,,,74,11,BBX,wickb001,0,0,mcgrf001 singles. ,mcgrf001,1,
,10,9,mcgrf001,,,,75,13,BX,wickb001,1,0,cansj001 grounds out. ,cansj001,1,G
