version,2
info,visteam,BAL
info,hometeam,TBA
info,site,STP01
info,date,2000/08/05
info,number,0
info,starttime,4:15PM
info,daynight,day
info,usedh,true
info,umphome,eddid901
info,ump1b,relic901
info,ump2b,carlm901
info,ump3b,demud901
info,pitches,pitches
info,temp,72
info,winddir,fromlf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,191
info,attendance,18471
info,wp,hernr001
info,lp,tromm001
info,save,
start,andeb001,"Brady Anderson",0,1,7
start,moram002,"Melvin Mora",0,2,6
start,deshd001,"Delino DeShields",0,3,4
start,bellj002,"Albert Belle",0,4,10
start,conij001,"Jeff Conine",0,5,9
start,richc001,"Chris Richard",0,6,3
start,fordb001,"Brook Fordyce",0,7,2
start,coffi001,"Ivanon Coffie",0,8,5
start,matol001,"Luis Matos",0,9,8
start,ponss001,"Sidney Ponson",0,0,1
start,willg001,"Gerald Williams",1,1,8
start,johnr006,"Russ Johnson",1,2,4
start,vaugg001,"Greg Vaughn",1,3,7
start,mcgrf001,"Fred McGriff",1,4,3
start,cansj001,"Jose Canseco",1,5,10
start,guilj001,"Jose Guillen",1,6,9
start,huffa001,"Aubrey Huff",1,7,5
start,difem001,"Mike DiFelice",1,8,2
start,guilo001,"Ozzie Guillen",1,9,6
start,sturt001,"Tanyon Sturtze",1,0,1
play,1,0,andeb001,22,CCBBS,K
play,1,0,moram002,01,CX,63/G
play,1,0,deshd001,00,X,S9/9S
play,1,0,bellj002,00,B,SB2
play,1,0,bellj002,21,BBCB,WP.2-3
play,1,0,bellj002,31,BBCBX,E5/G.3-H(NR)(UR)
play,1,0,conij001,32,BCFFBBX,7/L7
play,1,1,willg001,12,FCBX,S7/7S
play,1,1,johnr006,02,FCX,64(1)3/GDP
play,1,1,vaugg001,12,CBCS,K
play,2,0,richc001,32,BBBCCB,W
play,2,0,fordb001,12,CBFB,SB2
play,2,0,fordb001,32,CBFBFFBFX,D8/8D.2-H
play,2,0,coffi001,02,CFC,K/C
play,2,0,matol001,20,BBX,63/G
play,2,0,andeb001,22,CBBSS,K
play,2,1,mcgrf001,00,X,D7
play,2,1,cansj001,00,X,8/F8.2-3
play,2,1,guilj001,11,BFX,E6/TH.3-H
play,2,1,huffa001,00,X,8/F8
play,2,1,difem001,31,CBBBB,W.1-2
play,2,1,guilo001,10,BX,4(1)/FO/G.B-3
play,3,0,moram002,10,BX,7/F7
play,3,0,deshd001,22,CBSBX,63/G
play,3,0,bellj002,11,BSX,3/G
play,3,1,willg001,22,FBCFBX,T9/9D
play,3,1,johnr006,31,CBBBB,W
play,3,1,vaugg001,32,BSBFBS,K+SB2
play,3,1,mcgrf001,32,BBCBFX,9/SF.3-H;2-3
play,3,1,cansj001,02,CFS,K
play,4,0,conij001,32,BSBBCX,8/F8
play,4,0,richc001,11,SBX,S9
play,4,0,fordb001,11,CBB,CS2(24)
play,4,0,fordb001,21,CBBX,63/G
play,4,1,guilj001,00,X,S
play,4,1,huffa001,22,CBBFX,D9/9D.1-H;B-3(E9/THH)
play,4,1,difem001,01,CX,63/G
play,4,1,guilo001,30,BBBB,W
play,4,1,willg001,00,X,7/F7.1-2
play,4,1,johnr006,11,BFX,53/G
play,5,0,coffi001,22,BSFBFFS,K
play,5,0,matol001,32,BBCCFFBX,S7/7S
play,5,0,andeb001,22,SBSFFBFFFFB,SB2
play,5,0,andeb001,32,SBSFFBFFFFBFFX,HR/8.2-H
play,5,0,moram002,02,CFFC,K/C
play,5,0,deshd001,00,X,D/78D
play,5,0,bellj002,31,BFBBB,W
play,5,0,conij001,32,FBBSBC,K/C
play,5,1,vaugg001,30,BBBX,HR/7
play,5,1,mcgrf001,10,BX,43/G
play,5,1,cansj001,12,CBCS,K
play,5,1,guilj001,10,BX,S9
play,5,1,huffa001,02,CFFFB,SB2
play,5,1,huffa001,12,CFFFBS,K
play,6,0,richc001,00,,NP
sub,creed001,"Doug Creek",1,0,1
play,6,0,richc001,12,CFBX,6/P6
play,6,0,fordb001,00,X,9/F9
play,6,0,coffi001,12,SCBC,K/C
play,6,1,difem001,00,X,8/F8
play,6,1,guilo001,11,BCX,53/G
play,6,1,willg001,12,CFFFBS,K
play,7,0,matol001,22,BCBSC,K/C
play,7,0,andeb001,01,CX,43/G
play,7,0,moram002,32,BFFFBFBX,1/P1
play,7,1,johnr006,10,BX,63/G
play,7,1,vaugg001,22,BCSBS,K
play,7,1,mcgrf001,30,BBBX,S8/8S
play,7,1,cansj001,01,FX,8/F8D
play,8,0,deshd001,02,FCS,K
play,8,0,bellj002,32,BBBCFFB,W
play,8,0,conij001,02,FCX,46(1)3/GDP
play,8,1,guilj001,10,BX,63/G
play,8,1,huffa001,02,SSC,K/C
play,8,1,difem001,22,BBFFC,K/C
play,9,0,richc001,00,,NP
sub,johnr006,"Russ Johnson",1,2,5
play,9,0,richc001,00,,NP
sub,cairm001,"Miguel Cairo",1,7,4
play,9,0,richc001,00,,NP
sub,hernr001,"Roberto Hernandez",1,0,1
