id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
baldj002,0,21,7,3,3,3,90,2,2,3,2,0,0,0,27,24,0,0,0,0
howrb001,0,2,0,1,1,1,14,0,0,0,0,0,0,0,3,2,0,0,0,0
wunsk001,0,1,1,1,0,0,10,0,0,1,0,0,0,0,3,2,0,0,0,0
buehm001,0,3,1,0,0,0,9,0,0,1,0,0,0,0,4,4,0,0,0,0
foulk001,0,3,1,0,0,0,15,0,0,1,0,0,0,0,3,3,0,0,0,0
rekab001,1,12,8,1,4,4,81,3,1,5,2,0,0,0,20,18,0,0,1,0
lidlc001,1,10,2,1,0,0,43,2,0,2,0,0,0,0,13,12,0,0,0,0
creed001,1,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,1
yan-e001,1,5,0,0,0,0,32,2,0,0,0,0,0,0,5,5,0,0,0,0
hernr001,1,3,1,0,1,0,17,0,0,1,0,0,0,1,5,3,1,0,1,0
