id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
wellk001,0,13,4,6,4,4,96,6,1,2,1,0,0,0,23,17,0,0,0,0
lowes001,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
simab001,0,1,3,0,3,3,8,0,1,1,1,0,0,0,4,3,0,1,0,0
wunsk001,0,0,2,1,3,2,9,0,0,1,1,0,0,0,3,2,0,0,0,1
sturt001,0,2,0,1,1,0,16,0,0,0,0,0,0,0,4,3,0,0,0,0
foulk001,0,3,1,0,0,0,13,2,0,1,0,0,0,0,4,4,0,0,0,0
howrb001,0,3,2,2,1,1,28,1,0,2,0,0,0,0,7,5,0,0,0,0
hellr001,1,10,7,0,4,4,60,2,0,3,3,1,0,0,17,17,0,0,0,0
venam002,1,4,2,0,1,1,22,0,0,2,0,0,0,1,7,6,0,0,0,0
cordf002,1,4,3,1,2,2,38,0,0,2,1,0,0,0,8,7,0,0,0,0
munom001,1,1,1,1,1,1,13,0,1,0,0,0,0,0,3,2,0,0,0,0
crabt001,1,5,1,0,0,0,30,2,0,0,1,0,0,0,6,6,0,0,0,0
wettj001,1,3,0,0,0,0,17,2,0,0,0,0,0,0,3,3,0,0,0,0
