advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,,,0,6,BBFBCS,hellr001,1,0,durhr001 strikes out. ,durhr001,0,
,10,1,,,,,1,8,BX,hellr001,1,0,,valej003,0,F
,10,1,,,,,2,10,BX,hellr001,1,0,,thomf001,0,F
,30,1,clayr001,,,,3,4,BBBB,wellk001,0,0,clayr001 walks. ,clayr001,1,
,12,1,clayr001,,,,4,8,BSFC,wellk001,1,0,greer001 strikes out. ,greer001,1,
clayr001 to 2B. ,32,1,rodri001,clayr001,,,5,14,BCBBFB,wellk001,0,0,rodri001 walks. ,rodri001,1,
clayr001 scores. rodri001 scores. ,01,1,,,,,6,16,CX,wellk001,0,3,palmr001 homers. ,palmr001,1,
,12,1,,,,,7,20,BFCX,wellk001,1,0,,mater001,1,F
,22,1,,,,,8,25,BFFBS,wellk001,1,0,segud001 strikes out. ,segud001,1,
,12,2,,,,,9,14,CFBC,hellr001,1,0,ordom001 strikes out. ,ordom001,0,
,22,2,konep001,,,,10,19,BSBFX,hellr001,0,0,konep001 singles. ,konep001,0,
konep001 out. ,21,2,singc001,,,,11,23,BBFX,hellr001,1,0,singc001 reaches on fielder's choice. ,singc001,0,
,01,2,singc001,,,,12,25,CX,hellr001,1,0,,lee-c001,0,G
,21,2,kaplg001,,,,13,29,BBCX,wellk001,0,0,kaplg001 singles. ,kaplg001,1,
,00,2,,kaplg001,,cataf001,14,30,B,wellk001,0,0,kaplg001 steals 2B. ,cataf001,1,
,31,2,,kaplg001,,,15,35,BBCBX,wellk001,1,0,cataf001 grounds out. ,cataf001,1,G
,01,2,,kaplg001,,,16,37,CX,wellk001,1,0,,evant001,1,P
,32,2,,kaplg001,,,17,44,BCBBCFX,wellk001,1,0,,clayr001,1,F
,02,3,,,,,18,28,CFX,hellr001,1,0,abboj002 grounds out. ,abboj002,0,G
,01,3,,,,,19,30,SX,hellr001,1,0,,johnm003,0,F
,12,3,,,,,20,34,CCBX,hellr001,1,0,,durhr001,0,F
,02,3,,,,,21,48,CFFS,wellk001,1,0,greer001 strikes out. ,greer001,1,
,02,3,,rodri001,,,22,51,FSX,wellk001,0,0,rodri001 doubles. ,rodri001,1,
,12,3,,rodri001,,,23,55,CCBS,wellk001,1,0,palmr001 strikes out. ,palmr001,1,
,00,3,,rodri001,,,24,56,X,wellk001,1,0,mater001 grounds out. ,mater001,1,G
,32,4,,valej003,,,25,41,BFBFFBX,hellr001,0,0,valej003 doubles. ,valej003,0,
,00,4,,valej003,,,26,42,X,hellr001,1,0,,thomf001,0,F
valej003 scores. ,21,4,,ordom001,,,27,46,BBFX,hellr001,0,1,ordom001 doubles. ,ordom001,0,
ordom001 scores. ,00,4,,konep001,,,28,47,X,hellr001,0,1,konep001 doubles. ,konep001,0,
konep001 scores. ,32,4,,,singc001,,29,53,FBBBFX,hellr001,0,1,singc001 triples. ,singc001,0,
singc001 scores. ,32,4,lee-c001,,,,30,59,BBBCCX,hellr001,0,1,lee-c001 singles. ,lee-c001,0,
lee-c001 to 2B. ,00,4,abboj002,lee-c001,,,31,60,X,hellr001,0,0,abboj002 singles. ,abboj002,0,
lee-c001 to 3B. abboj002 out. ,12,4,johnm003,,lee-c001,,33,4,CBSX,venam002,1,0,johnm003 reaches on fielder's choice. ,johnm003,0,
johnm003 out. ,12,4,durhr001,,lee-c001,,34,8,BCCX,venam002,1,0,durhr001 reaches on fielder's choice. ,durhr001,0,
,22,4,,,,,35,61,FBBSS,wellk001,1,0,segud001 strikes out. ,segud001,1,
,12,4,,,,,36,65,CBSX,wellk001,1,0,,kaplg001,1,F
,31,4,cataf001,,,,37,70,BBBCB,wellk001,0,0,cataf001 walks. ,cataf001,1,
cataf001 to 2B. ,31,4,evant001,cataf001,,,38,75,CBBBB,wellk001,0,0,evant001 walks. ,evant001,1,
,11,4,evant001,cataf001,,,39,78,BCX,wellk001,1,0,,clayr001,1,L
,32,5,,,,,40,14,CFBBBX,venam002,1,0,,valej003,0,F
,12,5,,,,,41,18,BCFX,venam002,1,0,,thomf001,0,F
,00,5,ordom001,,,,42,19,X,venam002,0,0,ordom001 singles. ,ordom001,0,
ordom001 to 2B. ,00,5,konep001,ordom001,,,43,20,H,venam002,0,0,konep001 hit by pitch. ,konep001,0,
ordom001 scores. konep001 to 3B. singc001 to 2B. ,10,5,,singc001,konep001,,44,22,BX,venam002,0,1,singc001 singles. ,singc001,0,
,12,5,,singc001,konep001,,46,4,CBFX,cordf002,1,0,,lee-c001,0,F
,32,5,greer001,,,,47,84,BCBBFB,wellk001,0,0,greer001 walks. ,greer001,1,
,22,5,greer001,,,,48,90,BCFFBC,wellk001,1,0,rodri001 strikes out. ,rodri001,1,
greer001 to 2B. ,30,5,palmr001,greer001,,,49,94,BBBB,wellk001,0,0,palmr001 walks. ,palmr001,1,
