version,2
info,visteam,TOR
info,hometeam,TEX
info,site,ARL02
info,date,2000/04/08
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,relic901
info,ump1b,eddid901
info,ump2b,carlm901
info,ump3b,demud901
info,pitches,pitches
info,temp,56
info,winddir,torf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,172
info,attendance,37128
info,wp,welld001
info,lp,rogek001
info,save,
start,stews002,"Shannon Stewart",0,1,7
start,grebc001,"Craig Grebeck",0,2,4
start,mondr002,"Raul Mondesi",0,3,9
start,delgc001,"Carlos Delgado",0,4,3
start,batit001,"Tony Batista",0,5,5
start,cordm001,"Marty Cordova",0,6,10
start,cruzj004,"Jose Cruz",0,7,8
start,gonza001,"Alex S. Gonzalez",0,8,6
start,casta001,"Alberto Castillo",0,9,2
start,welld001,"David Wells",0,0,1
start,clayr001,"Royce Clayton",1,1,6
start,greer001,"Rusty Greer",1,2,7
start,rodri001,"Ivan Rodriguez",1,3,2
start,palmr001,"Rafael Palmeiro",1,4,3
start,mater001,"Ruben Mateo",1,5,8
start,segud001,"David Segui",1,6,10
start,curtc001,"Chad Curtis",1,7,9
start,alicl001,"Luis Alicea",1,8,4
start,evant001,"Tom Evans",1,9,5
start,rogek001,"Kenny Rogers",1,0,1
play,1,0,stews002,11,BCX,143/G
play,1,0,grebc001,21,BFBX,S9
play,1,0,mondr002,10,BX,54(1)/FO
play,1,0,delgc001,32,BBFFBX,D9.1-H
play,1,0,batit001,12,SSBS,K
play,1,1,clayr001,01,CX,43/G
play,1,1,greer001,01,CX,D/78
play,1,1,rodri001,10,BX,9/F9S
play,1,1,palmr001,00,X,43/G
play,2,0,cordm001,11,BFX,53/G
play,2,0,cruzj004,01,CX,43/G
play,2,0,gonza001,22,BCBFC,K/C
play,2,1,mater001,10,BX,53/G
play,2,1,segud001,00,X,7/F7
play,2,1,curtc001,12,CCBX,43/G
play,3,0,casta001,11,CBX,E5/TH1
play,3,0,stews002,00,X,9/F9
play,3,0,grebc001,21,CBBX,S7.1-2
play,3,0,mondr002,00,X,S9.2-3;1-2
play,3,0,delgc001,21,CBBX,7/SF.3-H(UR)
play,3,0,batit001,12,FFBFS,K
play,3,1,alicl001,00,X,S
play,3,1,evant001,10,BX,7/F7D
play,3,1,clayr001,00,X,13/SH.1-2
play,3,1,greer001,12,CBFFX,53/G
play,4,0,cordm001,31,BBFBX,63/G
play,4,0,cruzj004,11,CBX,8/F8D
play,4,0,gonza001,11,CBX,D7
play,4,0,casta001,00,X,1/G
play,4,1,rodri001,20,BBX,3/G
play,4,1,palmr001,00,X,31/G
play,4,1,mater001,02,CCX,D7
play,4,1,segud001,12,BFFS,K
play,5,0,stews002,21,BBCX,S
play,5,0,grebc001,32,CCBFBBFX,16(1)/FO
play,5,0,mondr002,01,CX,S7.1-2
play,5,0,delgc001,20,BBX,7/F7D
play,5,0,batit001,32,BSBFFBFX,6/P6
play,5,1,curtc001,21,BCBX,43/G
play,5,1,alicl001,11,BSX,S9
play,5,1,evant001,12,CBFFC,K/C
play,5,1,clayr001,12,CBFS,K
play,6,0,cordm001,02,CFX,63/G
play,6,0,cruzj004,00,X,43/G
play,6,0,gonza001,20,BBX,7/L7
play,6,1,greer001,31,FBBBB,W
play,6,1,rodri001,00,X,46(1)/FO
play,6,1,palmr001,12,CBFX,S7.1-2
play,6,1,mater001,00,B,CS3(25)
play,6,1,mater001,12,BFSX,5/L5
play,7,0,casta001,00,X,63/G
play,7,0,stews002,20,BBX,S7
play,7,0,grebc001,32,CFBFBBX,HR/7.1-H
play,7,0,mondr002,30,BBBX,53/G
play,7,0,delgc001,12,FCBX,3/G
play,7,1,segud001,01,CX,63/G
play,7,1,curtc001,00,X,43/G
play,7,1,alicl001,10,BX,S9/9S
play,7,1,evant001,00,X,9/F9S
play,8,0,batit001,00,,NP
sub,crabt001,"Tim Crabtree",1,0,1
play,8,0,batit001,02,CFS,K
play,8,0,cordm001,22,FBFFBX,S9
play,8,0,cruzj004,32,CBFFFFFFBBS,K+CS2(26)/DP
play,8,1,clayr001,01,FX,8/F8
play,8,1,greer001,02,CCS,K
play,8,1,rodri001,10,BX,S7
play,8,1,palmr001,00,X,S9/9S.1-2
play,8,1,mater001,02,CCS,K
play,9,0,gonza001,00,,NP
sub,perim001,"Matt Perisho",1,0,1
play,9,0,gonza001,30,BBBB,W
play,9,0,casta001,12,CLBX,8/F8D
play,9,0,stews002,01,CX,8/L8
play,9,0,grebc001,10,BX,9/L9
play,9,1,segud001,00,X,63/G
play,9,1,curtc001,21,BBCX,8/F8
play,9,1,alicl001,01,CX,S7
play,9,1,evant001,00,X,8/F8D
data,er,welld001,0
data,er,rogek001,3
data,er,crabt001,0
data,er,perim001,0
