version,2
info,visteam,BOS
info,hometeam,TEX
info,site,ARL02
info,date,2000/04/26
info,number,0
info,starttime,2:05PM
info,daynight,day
info,usedh,true
info,umphome,wegnm901
info,ump1b,spiep901
info,ump2b,reynj901
info,ump3b,willc901
info,pitches,pitches
info,temp,80
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,197
info,attendance,28698
info,wp,fassj001
info,lp,clarm002
info,save,
start,offej001,"Jose Offerman",0,1,10
start,nixot001,"Trot Nixon",0,2,9
start,daubb001,"Brian Daubach",0,3,3
start,garcn001,"Nomar Garciaparra",0,4,6
start,oleat001,"Troy O'Leary",0,5,7
start,everc001,"Carl Everett",0,6,8
start,fryej001,"Jeff Frye",0,7,4
start,varij001,"Jason Varitek",0,8,2
start,veraw001,"Wilton Veras",0,9,5
start,fassj001,"Jeff Fassero",0,0,1
start,alicl001,"Luis Alicea",1,1,4
start,curtc001,"Chad Curtis",1,2,7
start,rodri001,"Ivan Rodriguez",1,3,2
start,palmr001,"Rafael Palmeiro",1,4,10
start,segud001,"David Segui",1,5,3
start,mater001,"Ruben Mateo",1,6,8
start,kaplg001,"Gabe Kapler",1,7,9
start,clayr001,"Royce Clayton",1,8,6
start,evant001,"Tom Evans",1,9,5
start,clarm002,"Mark Clark",1,0,1
play,1,0,offej001,12,FBFFX,43/G
play,1,0,nixot001,11,BSX,8/F8
play,1,0,daubb001,00,X,D9
play,1,0,garcn001,01,SX,D/78.2-H
play,1,0,oleat001,31,BBBCB,W
play,1,0,everc001,12,BCFX,HR/9.2-H;1-H
play,1,0,fryej001,00,X,S9
play,1,0,varij001,31,CBBBB,W.1-2
play,1,0,veraw001,10,BX,S7.2-H;1-2
play,1,0,offej001,12,FCBC,K/C
play,1,1,alicl001,21,BBFX,63/G
play,1,1,curtc001,00,X,S8
play,1,1,rodri001,00,X,54(1)3/GDP
play,2,0,nixot001,20,BBX,9/F9
play,2,0,daubb001,32,CBBFBX,S/78
play,2,0,garcn001,12,CBSX,E5/G.1-2
play,2,0,oleat001,00,X,S/78.2-H(UR);1-2
play,2,0,everc001,00,,NP
sub,perim001,"Matt Perisho",1,0,1
play,2,0,everc001,01,CX,8/F8
play,2,0,fryej001,21,BSBX,8/F8
play,2,1,palmr001,31,BCBBB,W
play,2,1,segud001,00,X,D/78D.1-3
play,2,1,mater001,11,BCX,53/G
play,2,1,kaplg001,22,BBFSS,K
play,2,1,clayr001,11,SBX,8/F8D
play,3,0,varij001,00,X,HR/8
play,3,0,veraw001,00,X,43/G
play,3,0,offej001,21,BBFX,63/G
play,3,0,nixot001,01,CX,63/G
play,3,1,evant001,31,BCBBX,63/G
play,3,1,alicl001,32,CBBFBFX,53/G
play,3,1,curtc001,32,CBCFBBX,D7/7D
play,3,1,rodri001,00,X,6/F6
play,4,0,daubb001,22,BFBCC,K/C
play,4,0,garcn001,10,BX,HR/7
play,4,0,oleat001,22,BSFBX,S/78
play,4,0,everc001,01,CX,S8.1-2
play,4,0,fryej001,02,CCX,64(1)/FO.2-H(E4/TH1)(UR);B-2
play,4,0,varij001,00,X,7/F7
play,4,1,palmr001,20,BBX,8/F8
play,4,1,segud001,01,CX,D7/7D
play,4,1,mater001,00,X,S7/7S.2-3
play,4,1,kaplg001,22,SBBCX,54(1)/FO.3-H
play,4,1,clayr001,31,BBBCX,3/P3
play,5,0,veraw001,00,,NP
sub,munom001,"Mike Munoz",1,0,1
play,5,0,veraw001,11,SBX,S9
play,5,0,offej001,01,FX,S9.1-2
play,5,0,nixot001,31,BSBBX,3/G.2-3;1-2
play,5,0,daubb001,31,BBBCB,W
play,5,0,garcn001,00,,NP
sub,cordf002,"Francisco Cordero",1,0,1
play,5,0,garcn001,00,X,9/F9S
play,5,0,oleat001,32,BBCFFBFX,2/FL
play,5,1,evant001,22,CBFFBFC,K/C
play,5,1,alicl001,30,BBBB,W
play,5,1,curtc001,00,X,8/F8D
play,5,1,rodri001,01,CX,HR/9.1-H
play,5,1,palmr001,11,BCX,7/F7
play,6,0,everc001,31,BBBCB,W
play,6,0,fryej001,31,CBBBB,W.1-2
play,6,0,varij001,22,BCCBS,K
play,6,0,veraw001,00,X,54(1)3/GDP.2-3
play,6,1,segud001,00,X,S7
play,6,1,mater001,00,,NP
