version,2
info,visteam,CLE
info,hometeam,TEX
info,site,ARL02
info,date,2000/08/28
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,buckc901
info,ump1b,reedr901
info,ump2b,wendh902
info,ump3b,fichm901
info,pitches,pitches
info,temp,98
info,winddir,fromcf
info,windspeed,13
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,175
info,attendance,22134
info,wp,colob001
info,lp,rogek001
info,save,wickb001
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,9
start,segud001,"David Segui",0,5,3
start,frymt001,"Travis Fryman",0,6,5
start,thomj002,"Jim Thome",0,7,10
start,cordw001,"Wil Cordero",0,8,7
start,diaze002,"Einar Diaz",0,9,2
start,colob001,"Bartolo Colon",0,0,1
start,cataf001,"Frank Catalanotto",1,1,10
start,alicl001,"Luis Alicea",1,2,4
start,greer001,"Rusty Greer",1,3,7
start,palmr001,"Rafael Palmeiro",1,4,3
start,kaplg001,"Gabe Kapler",1,5,8
start,leder001,"Ricky Ledee",1,6,9
start,haseb001,"Bill Haselman",1,7,2
start,lambm001,"Mike Lamb",1,8,5
start,clayr001,"Royce Clayton",1,9,6
start,rogek001,"Kenny Rogers",1,0,1
play,1,0,loftk001,22,CBBFX,S9
play,1,0,vizqo001,31,BBCBX,S.1-2
play,1,0,alomr001,01,FX,46(1)/FO.2-3
play,1,0,ramim002,11,BFX,S9.3-H;1-2
play,1,0,segud001,12,CBFH,HP.2-3;1-2
play,1,0,frymt001,00,X,46(1)/FO.3-H;2-3
play,1,0,thomj002,00,X,8/F8D
play,1,1,cataf001,32,CBSBBB,W
play,1,1,alicl001,12,CFBS,K
play,1,1,greer001,22,CBFBS,K
play,1,1,palmr001,32,BCFBFFBC,K/C
play,2,0,cordw001,12,BFFC,K/C
play,2,0,diaze002,11,CBX,S
play,2,0,loftk001,21,CBBX,46(1)/FO
play,2,0,vizqo001,22,BCBSFB,SB2
play,2,0,vizqo001,32,BCBSFBFX,8/F8
play,2,1,kaplg001,02,FCS,K
play,2,1,leder001,32,CBBBCFB,W
play,2,1,haseb001,32,CCBBBX,63/G.1-2
play,2,1,lambm001,12,CBCFFFX,8/F8
play,3,0,alomr001,11,BCX,HR/78
play,3,0,ramim002,12,CBCC,K/C
play,3,0,segud001,02,FCX,S9
play,3,0,frymt001,00,X,E5/G.1-2
play,3,0,thomj002,10,BX,8/F8
play,3,0,cordw001,32,BCFBBX,S.2-3;1-2
play,3,0,diaze002,11,CBX,S.3-H(UR);2-3;1-2
play,3,0,loftk001,00,X,31/G
play,3,1,clayr001,11,BCX,43/G
play,3,1,cataf001,11,FBX,7/F7
play,3,1,alicl001,32,BBFFBX,31/G
play,4,0,vizqo001,12,BCFS,K
play,4,0,alomr001,22,CFBBH,HP
play,4,0,ramim002,12,FBCFC,K/C
play,4,0,segud001,00,X,64(1)/FO
play,4,1,greer001,10,BX,31/G
play,4,1,palmr001,20,BBX,S9
play,4,1,kaplg001,00,X,64(1)3/GDP
play,5,0,frymt001,10,BX,6/L6
play,5,0,thomj002,32,BBBCFFB,W
play,5,0,cordw001,11,BFX,64(1)/FO
play,5,0,diaze002,00,X,9/F9
play,5,1,leder001,10,BX,8/F8
play,5,1,haseb001,12,CCBX,63/G
play,5,1,lambm001,21,FBBX,6/P6
play,6,0,loftk001,11,BCX,S
play,6,0,vizqo001,00,X,63/G.1-2
play,6,0,alomr001,22,BCBFX,7/F7
play,6,0,ramim002,32,BBFBCX,8/F8
play,6,1,clayr001,11,BCX,7/F7D
play,6,1,cataf001,00,X,8/F8
play,6,1,alicl001,00,X,8/F8
play,7,0,segud001,00,X,53/G
play,7,0,frymt001,32,SBFBBB,W
play,7,0,thomj002,31,BFBBX,2/FL
play,7,0,cordw001,11,CBX,9/F9
play,7,1,greer001,01,CX,S
play,7,1,palmr001,01,CX,6/P6
play,7,1,kaplg001,22,BCBFS,K
play,7,1,leder001,12,CCBX,63/G
play,8,0,diaze002,00,,NP
sub,cubid001,"Darwin Cubillan",1,0,1
play,8,0,diaze002,01,CX,31/G
play,8,0,loftk001,00,X,D9
play,8,0,vizqo001,20,BBX,S8/8S.2-H(E8/TH)(UR);B-2
play,8,0,alomr001,12,CFBS,K
play,8,0,ramim002,32,CFBFBBS,K
play,8,1,haseb001,11,BFX,S9
play,8,1,lambm001,20,BBX,HR/9.1-H
play,8,1,clayr001,11,BCX,31/G
play,8,1,cataf001,22,CSBBX,S
play,8,1,alicl001,02,CFFFS,K
play,8,1,greer001,10,BX,53/G
play,9,0,segud001,11,BFX,9/F9
play,9,0,frymt001,31,BCBBB,W
play,9,0,thomj002,32,CBSBBX,8/F8
play,9,0,cordw001,12,CSB1,POCS2(14)
play,9,1,palmr001,00,,NP
sub,cabrj002,"Jolbert Cabrera",0,8,7
play,9,1,palmr001,00,,NP
sub,wickb001,"Bob Wickman",0,0,1
play,9,1,palmr001,01,CX,2/FL
play,9,1,kaplg001,21,BBCX,S8
play,9,1,leder001,32,CBSBFBFX,3/L3
play,9,1,haseb001,21,BCBX,8/F8
data,er,colob001,2
data,er,wickb001,0
data,er,rogek001,3
data,er,cubid001,0
