version,2
info,visteam,CLE
info,hometeam,TEX
info,site,ARL02
info,date,2000/08/31
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,fichm901
info,ump1b,buckc901
info,ump2b,reedr901
info,ump3b,wendh902
info,pitches,pitches
info,temp,100
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,261
info,attendance,27333
info,wp,venam002
info,lp,karss001
info,save,
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,9
start,thomj002,"Jim Thome",0,5,10
start,segud001,"David Segui",0,6,3
start,frymt001,"Travis Fryman",0,7,5
start,cordw001,"Wil Cordero",0,8,7
start,diaze002,"Einar Diaz",0,9,2
start,berej002,"Jason Bere",0,0,1
start,alicl001,"Luis Alicea",1,1,4
start,curtc001,"Chad Curtis",1,2,10
start,greer001,"Rusty Greer",1,3,7
start,palmr001,"Rafael Palmeiro",1,4,3
start,leder001,"Ricky Ledee",1,5,8
start,kaplg001,"Gabe Kapler",1,6,9
start,lambm001,"Mike Lamb",1,7,5
start,shels001,"Scott Sheldon",1,8,6
start,waszb001,"B.J. Waszgis",1,9,2
start,sikob001,"Brian Sikorski",1,0,1
play,1,0,loftk001,12,CCBX,S9/9S
play,1,0,vizqo001,00,X,9/F9
play,1,0,alomr001,00,X,S9/9S.1-2
play,1,0,ramim002,22,BSBCFC,K/C
play,1,0,thomj002,02,SCS,K
play,1,1,alicl001,11,BFX,D7
play,1,1,curtc001,22,BBFFX,63/G.2-3
play,1,1,greer001,20,BBX,S.3-H
play,1,1,palmr001,01,SX,S9/9S.1-3
play,1,1,leder001,00,X,54(1)/FO.3-H
play,1,1,kaplg001,21,BFBS,CS2(24)
play,2,0,segud001,22,BFFBFFX,D/89
play,2,0,frymt001,12,CCBFX,HR/89.2-H
play,2,0,cordw001,01,CX,9/F9
play,2,0,diaze002,12,BFFX,D7
play,2,0,loftk001,32,BFBBFX,7/F7
play,2,0,vizqo001,10,BX,D7.2-H
play,2,0,alomr001,31,BBCBB,W
play,2,0,ramim002,22,CSBFBX,S7/7S.2-H;1-2
play,2,0,thomj002,22,FCBBS,K
play,2,1,kaplg001,20,BBX,2/FL
play,2,1,lambm001,01,CX,31/G
play,2,1,shels001,32,SFBFBBFB,W
play,2,1,waszb001,02,CSX,64(1)/FO
play,3,0,segud001,00,X,5/FL
play,3,0,frymt001,10,BX,9/F9
play,3,0,cordw001,32,BFBBSFB,W
play,3,0,diaze002,22,BBFFFX,46(1)/FO
