version,2
info,visteam,BAL
info,hometeam,TEX
info,site,ARL02
info,date,2000/09/13
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,nelsj901
info,ump1b,brinj901
info,ump2b,cousd901
info,ump3b,marqa901
info,pitches,pitches
info,temp,88
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,190
info,attendance,24819
info,wp,rappp001
info,lp,glynr001
info,save,
start,andeb001,"Brady Anderson",0,1,7
start,moram002,"Melvin Mora",0,2,6
start,deshd001,"Delino DeShields",0,3,10
start,ripkc001,"Cal Ripken",0,4,5
start,richc001,"Chris Richard",0,5,3
start,fordb001,"Brook Fordyce",0,6,2
start,hairj002,"Jerry Hairston",0,7,4
start,matol001,"Luis Matos",0,8,9
start,kingg001,"Eugene Kingsale",0,9,8
start,rappp001,"Pat Rapp",0,0,1
start,alicl001,"Luis Alicea",1,1,4
start,cataf001,"Frank Catalanotto",1,2,10
start,greer001,"Rusty Greer",1,3,7
start,palmr001,"Rafael Palmeiro",1,4,3
start,kaplg001,"Gabe Kapler",1,5,8
start,leder001,"Ricky Ledee",1,6,9
start,haseb001,"Bill Haselman",1,7,2
start,lambm001,"Mike Lamb",1,8,5
start,clayr001,"Royce Clayton",1,9,6
start,glynr001,"Ryan Glynn",1,0,1
play,1,0,andeb001,30,BBBB,W
play,1,0,moram002,22,CCFBBX,8/F8
play,1,0,deshd001,02,FCS,K
play,1,0,ripkc001,12,SFBX,S9/9S.1-3
play,1,0,richc001,01,CX,D7.3-H;1-H
play,1,0,fordb001,00,X,S7.2-H
play,1,0,hairj002,11,BFX,E3/G.1-2
play,1,0,matol001,10,BX,4/L4
play,1,1,alicl001,12,CCBX,13/G
play,1,1,cataf001,22,CBCBX,3/G
play,1,1,greer001,10,BX,3/G
play,2,0,kingg001,00,X,13/G
play,2,0,andeb001,12,FBFX,3/L3
play,2,0,moram002,20,BBX,9/F9
play,2,1,palmr001,12,CSFBS,K
play,2,1,kaplg001,12,CBCX,43/G
play,2,1,leder001,30,BBBB,W
play,2,1,haseb001,32,BCBSBFX,D8.1-H
play,2,1,lambm001,11,BCX,53/G
play,3,0,deshd001,22,CBBFX,S8
play,3,0,ripkc001,00,X,D8.1-3
play,3,0,richc001,32,BFSBBX,S8.3-H;2-H
play,3,0,fordb001,02,FFFX,64(1)/FO
play,3,0,hairj002,32,CCBFBBFB,W.1-2
play,3,0,matol001,02,CFFB,WP.2-3;1-2
play,3,0,matol001,12,CFFBC,K/C
play,3,0,kingg001,11,BFX,7/F7
play,3,1,clayr001,00,X,7/F7
play,3,1,alicl001,30,BBBB,W
