id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
clayr001,TBA200005020,1,6,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
alicl001,TBA200005020,2,4,5,4,1,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,TBA,0,1,0
rodri001,TBA200005020,3,2,5,5,3,0,3,1,0,0,2,0,1,0,0,0,0,1,0,0,0,TBA,0,1,0
palmr001,TBA200005020,4,10,4,2,2,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
shels001,TBA200005020,4,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
segud001,TBA200005020,5,3,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
mater001,TBA200005020,6,8,4,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
curtc001,TBA200005020,7,7,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,TBA,0,1,0
kaplg001,TBA200005020,8,9,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,TBA,0,1,0
mcdoj002,TBA200005020,8,9,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lambm001,TBA200005020,9,5,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
clayr001,TBA200005030,1,6,5,5,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
alicl001,TBA200005030,2,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
shels001,TBA200005030,2,4,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
rodri001,TBA200005030,3,2,5,5,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
segud001,TBA200005030,4,3,5,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
mater001,TBA200005030,5,8,5,4,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,TBA,0,1,0
curtc001,TBA200005030,6,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lambm001,TBA200005030,7,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
mcdoj002,TBA200005030,8,9,4,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,TBA,0,1,0
evant001,TBA200005030,9,5,4,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
