id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
hellr001,TBA200005020,22,1,6,1,0,136,6,0,1,0,0,0,1,30,23,0,0,0,0,TBA,0,1,1
venam002,TBA200005020,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,TBA,0,1,0
crabt001,TBA200005020,4,1,0,0,0,19,2,0,1,0,0,1,0,5,5,0,0,0,0,TBA,0,1,0
clarm002,TBA200005030,18,6,1,0,0,84,0,0,6,0,0,0,0,24,23,0,0,0,0,TBA,0,1,1
zimmj001,TBA200005030,4,3,0,1,1,23,0,0,3,0,0,0,0,6,6,0,0,0,0,TBA,0,1,0
david002,TBA200005030,0,1,0,0,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,TBA,0,1,0
wettj001,TBA200005030,5,1,0,0,0,30,0,0,1,0,0,0,0,6,6,0,0,0,0,TBA,0,1,0
loaie001,TBA200005040,18,8,3,4,4,93,2,2,6,0,0,0,0,28,24,0,1,0,0,TBA,0,1,1
venam002,TBA200005040,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,TBA,0,1,0
crabt001,TBA200005040,2,2,2,2,2,23,0,0,1,1,0,1,0,6,4,0,0,0,1,TBA,0,1,0
cordf002,TBA200005040,9,1,0,1,0,43,3,0,0,1,0,0,0,11,10,0,1,0,0,TBA,0,1,0
zimmj001,TBA200005040,1,1,0,1,1,7,1,1,0,0,0,0,0,2,2,0,0,0,0,TBA,0,1,0
olivd001,TBA200006160,10,7,2,7,7,66,1,0,4,3,0,0,0,19,15,0,2,0,0,TBA,0,1,1
clarm002,TBA200006160,11,5,3,2,2,58,0,1,3,0,1,0,1,20,16,0,0,0,0,TBA,0,1,0
cordf002,TBA200006160,3,1,0,0,0,13,1,0,1,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
perim001,TBA200006170,18,2,3,0,0,93,6,0,2,0,0,0,0,24,20,0,1,0,0,TBA,0,1,1
crabt001,TBA200006170,6,1,0,0,0,21,2,0,1,0,0,0,0,6,6,0,0,0,0,TBA,0,1,0
wettj001,TBA200006170,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
hellr001,TBA200006180,20,8,2,6,2,103,4,0,7,1,0,0,0,30,28,0,0,0,0,TBA,0,1,1
venam002,TBA200006180,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,TBA,0,1,0
cordf002,TBA200006180,3,1,0,0,0,14,1,0,0,1,0,0,0,3,3,0,0,0,0,TBA,0,1,0
hellr001,KCA200005230,21,6,2,3,3,104,4,2,3,1,0,0,0,29,27,0,0,0,0,KCA,0,1,1
zimmj001,KCA200005230,3,1,0,0,0,16,1,0,0,1,0,0,0,4,4,0,0,0,0,KCA,0,1,0
wettj001,KCA200005230,3,2,0,0,0,26,1,0,2,0,0,0,0,5,5,0,0,0,0,KCA,0,1,0
rogek001,KCA200005240,19,7,1,3,1,84,2,0,5,1,1,0,1,28,25,1,1,0,0,KCA,0,1,1
cordf002,KCA200005240,2,1,0,0,0,10,0,0,0,1,0,0,0,3,3,0,0,0,0,KCA,0,1,0
crabt001,KCA200005240,3,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,KCA,0,1,0
loaie001,KCA200005250,20,10,1,3,3,114,5,0,8,2,0,0,0,31,29,0,0,1,0,KCA,0,1,1
zimmj001,KCA200005250,4,0,0,0,0,11,1,0,0,0,0,0,0,4,4,0,0,0,0,KCA,0,1,0
wettj001,KCA200005250,3,0,1,0,0,19,1,0,0,0,0,0,0,4,3,0,0,0,0,KCA,0,1,0
glynr001,KCA200009080,17,8,1,3,2,81,3,0,5,2,1,0,0,26,25,0,0,0,0,KCA,0,1,1
crabt001,KCA200009080,7,3,0,1,1,34,1,1,2,0,0,0,0,10,10,0,0,0,0,KCA,0,1,0
wettj001,KCA200009080,3,1,0,1,1,24,1,0,0,0,1,0,0,4,3,0,0,1,0,KCA,0,1,0
david002,KCA200009090,13,5,2,3,3,74,1,0,4,1,0,0,0,19,17,0,0,0,0,KCA,0,1,1
johnj008,KCA200009090,5,3,1,1,1,29,1,0,3,0,0,0,0,9,8,0,0,0,0,KCA,0,1,0
zimmj001,KCA200009090,6,1,1,0,0,34,2,0,1,0,0,0,0,8,7,0,0,0,0,KCA,0,1,0
venam002,KCA200009090,1,0,1,1,1,7,0,0,0,0,0,0,0,2,1,0,0,0,0,KCA,0,1,0
wettj001,KCA200009090,2,1,0,0,0,10,0,0,1,0,0,0,0,3,3,0,0,0,0,KCA,0,1,0
olivd001,KCA200009100,15,9,2,8,7,79,3,1,5,3,0,0,0,25,23,0,0,0,0,KCA,0,1,1
cordf002,KCA200009100,6,1,0,3,0,29,1,1,0,0,0,0,1,9,8,0,0,0,0,KCA,0,1,0
cubid001,KCA200009100,3,4,1,2,2,24,2,0,3,1,0,0,0,8,7,0,0,0,0,KCA,0,1,0
rogek001,TOR200008030,18,7,3,2,2,119,5,0,5,2,0,0,0,28,24,0,1,0,0,TOR,0,1,1
venam002,TOR200008030,1,1,1,0,0,13,1,0,0,1,0,0,0,3,2,0,0,0,1,TOR,0,1,0
zimmj001,TOR200008030,5,4,0,1,1,28,4,0,4,0,0,1,0,8,8,0,0,0,0,TOR,0,1,0
perim001,TOR200008040,18,8,3,5,3,122,2,1,6,1,0,0,1,31,27,0,0,0,0,TOR,0,1,1
cordf002,TOR200008040,3,4,0,3,3,23,0,0,3,1,0,0,0,7,7,0,0,0,0,TOR,0,1,0
venam002,TOR200008040,2,2,0,2,2,20,1,0,1,1,0,0,1,5,4,0,0,0,0,TOR,0,1,0
crabt001,TOR200008040,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,TOR,0,1,0
david002,TOR200008050,15,9,1,6,6,114,2,1,5,2,1,0,2,25,21,0,1,0,0,TOR,0,1,1
johnj008,TOR200008050,9,3,2,2,2,71,4,0,0,3,0,0,0,14,12,0,0,0,0,TOR,0,1,0
glynr001,TOR200008060,20,7,2,4,3,103,3,2,5,0,0,0,0,30,28,0,0,0,0,TOR,0,1,1
venam002,TOR200008060,4,0,1,0,0,22,1,0,0,0,0,0,0,5,4,0,0,0,0,TOR,0,1,0
crabt001,TOR200008060,3,3,0,2,2,20,0,0,2,1,0,0,0,6,6,0,0,0,0,TOR,0,1,0
loaie001,SFN200007160,15,8,2,5,5,95,4,1,6,1,0,0,0,24,22,0,0,0,0,SFN,0,1,1
cordf002,SFN200007160,1,1,1,0,0,9,0,0,1,0,0,0,0,3,2,0,0,0,0,SFN,0,1,0
venam002,SFN200007160,5,1,0,0,0,19,0,0,1,0,0,0,0,6,6,0,0,0,0,SFN,0,1,0
crabt001,SFN200007160,3,1,0,1,1,13,1,1,0,0,0,0,0,4,4,0,0,0,0,SFN,0,1,0
glynr001,SFN200007170,17,6,5,4,4,92,1,2,1,3,0,0,0,27,22,0,0,0,0,SFN,0,1,1
venam002,SFN200007170,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,SFN,0,1,0
david002,SFN200007170,2,3,1,3,3,20,0,1,2,0,0,0,0,7,6,0,0,0,0,SFN,0,1,0
cordf002,SFN200007170,2,3,1,3,3,27,0,0,2,1,0,0,0,6,5,0,0,0,1,SFN,0,1,0
crabt001,SFN200007170,2,1,0,0,0,6,0,0,1,0,0,0,0,3,2,0,0,1,0,SFN,0,1,0
hellr001,SFN200007180,22,5,0,2,2,107,8,0,2,3,0,0,0,26,26,0,0,0,0,SFN,0,1,1
venam002,SFN200007180,1,2,0,0,0,14,0,0,2,0,0,0,0,3,3,0,0,0,0,SFN,0,1,0
wettj001,SFN200007180,3,3,0,3,3,19,2,1,2,0,0,0,0,6,6,0,0,0,0,SFN,0,1,0
hellr001,CLE200004140,24,4,2,2,2,132,9,1,3,0,0,0,1,30,27,0,0,0,0,CLE,0,1,1
wettj001,CLE200004140,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,CLE,0,1,0
clarm002,CLE200004150,16,4,3,4,4,78,4,1,3,0,0,0,0,23,20,0,0,0,0,CLE,0,1,1
cordf002,CLE200004150,2,1,0,0,0,11,1,0,0,1,0,0,0,3,3,0,0,0,0,CLE,0,1,0
crabt001,CLE200004150,6,0,0,0,0,25,2,0,0,0,0,0,0,6,6,0,0,0,0,CLE,0,1,0
