version,2
info,visteam,MIN
info,hometeam,TOR
info,site,TOR02
info,date,2000/05/31
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,willc901
info,ump1b,reynj901
info,ump2b,wegnm901
info,ump3b,vanvm901
info,pitches,pitches
info,temp,68
info,winddir,fromlf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,135
info,attendance,17305
info,wp,welld001
info,lp,radkb001
info,save,kochb001
start,canij001,"Jay Canizaro",0,1,4
start,guzmc001,"Cristian Guzman",0,2,6
start,lawtm002,"Matt Lawton",0,3,7
start,coomr001,"Ron Coomer",0,4,3
start,huskb001,"Butch Huskey",0,5,10
start,buchb002,"Brian Buchanan",0,6,9
start,lecrm001,"Matt LeCroy",0,7,2
start,maxwj001,"Jason Maxwell",0,8,5
start,hockd001,"Denny Hocking",0,9,8
start,radkb001,"Brad Radke",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,grebc001,"Craig Grebeck",1,2,4
start,mondr002,"Raul Mondesi",1,3,9
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,cruzj004,"Jose Cruz",1,6,8
start,fletd001,"Darrin Fletcher",1,7,2
start,gonza001,"Alex S. Gonzalez",1,8,6
start,woodc001,"Chris Woodward",1,9,5
start,welld001,"David Wells",1,0,1
play,1,0,canij001,12,BFFFC,K/C
play,1,0,guzmc001,10,BX,3/FL
play,1,0,lawtm002,00,X,43/G
play,1,1,stews002,22,SBBFX,S
play,1,1,grebc001,11,CBB,SB2
play,1,1,grebc001,22,CBBFX,53/G
play,1,1,mondr002,11,BSX,3/G.2-3
play,1,1,delgc001,32,BBFCBFFFX,HR/8.3-H
play,1,1,fullb001,10,BX,6/P6
play,2,0,coomr001,00,X,63/G
play,2,0,huskb001,11,BCX,63/G
play,2,0,buchb002,20,BBX,S9
play,2,0,lecrm001,12,FCBB,WP.1-2
play,2,0,lecrm001,22,FCBBS,K
play,2,1,cruzj004,01,FX,31/G
play,2,1,fletd001,01,CX,63/G
play,2,1,gonza001,11,BFX,9/L9
play,3,0,maxwj001,12,SBFC,K/C
play,3,0,hockd001,12,CFBFX,9/F9S
play,3,0,canij001,00,X,S8/8S
play,3,0,guzmc001,10,BX,8/L8
play,3,1,woodc001,11,FBX,9/F9
play,3,1,stews002,02,CFX,9/F9
play,3,1,grebc001,11,FBX,5/FL
play,4,0,lawtm002,00,X,S7
play,4,0,coomr001,10,BX,8/F8
play,4,0,huskb001,11,FBX,S8.1-2
play,4,0,buchb002,22,CBBFC,K/C
play,4,0,lecrm001,22,CBBFC,K/C
play,4,1,mondr002,10,BX,63/G
play,4,1,delgc001,32,CBBBCX,S9
play,4,1,fullb001,12,CFBFS,K
play,4,1,cruzj004,01,CX,8/F8
play,5,0,maxwj001,12,CBFS,K
play,5,0,hockd001,00,X,S9
play,5,0,canij001,00,X,7/F7
play,5,0,guzmc001,02,CCFX,3/G
play,5,1,fletd001,00,X,7/F7D
play,5,1,gonza001,01,CX,53/G
play,5,1,woodc001,32,BFFBBFX,8/F8D
play,6,0,lawtm002,00,X,5/FL
play,6,0,coomr001,22,BCFBX,53/G
play,6,0,huskb001,02,CSX,63/G
play,6,1,stews002,12,CBFC,K/C
play,6,1,grebc001,02,FFX,63/G
play,6,1,mondr002,00,X,63/G
play,7,0,buchb002,00,X,43/G
play,7,0,lecrm001,12,BSCC,K/C
play,7,0,maxwj001,12,SCFBS,K
play,7,1,delgc001,32,BBCBFS,K
play,7,1,fullb001,12,SBSX,43/G
play,7,1,cruzj004,22,BBFFX,8/F8
play,8,0,hockd001,12,FBCFC,K/C
play,8,0,canij001,00,X,7/F7
play,8,0,guzmc001,00,X,HR/78
play,8,0,lawtm002,00,X,3/G
play,8,1,fletd001,01,CX,D9/9D
play,8,1,gonza001,00,X,53/SH.2-3
play,8,1,woodc001,12,FFBX,HR/7.3-H
play,8,1,stews002,11,BFX,S7
play,8,1,grebc001,00,X,8/F8
play,8,1,mondr002,00,X,6/FL
play,9,0,coomr001,02,SSX,S7
play,9,0,huskb001,22,CCFBFBX,S8/8S.1-2
play,9,0,buchb002,00,,NP
sub,kochb001,"Billy Koch",1,0,1
play,9,0,buchb002,00,,NP
sub,jonej003,"Jacque Jones",0,6,11
play,9,0,jonej003,01,FX,46(1)/FO.2-3
play,9,0,lecrm001,00,,NP
sub,ortid001,"David Ortiz",0,7,11
play,9,0,ortid001,12,CBCS,K
play,9,0,maxwj001,00,,NP
sub,cummm001,"Midre Cummings",0,8,11
play,9,0,cummm001,02,FFX,S9.3-H;1-3
play,9,0,hockd001,10,BX,46(1)/FO
data,er,radkb001,4
data,er,welld001,2
data,er,kochb001,0
