version,2
info,visteam,BOS
info,hometeam,TOR
info,site,TOR02
info,date,2000/06/25
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,cedeg901
info,ump1b,welkt901
info,ump2b,scotd901
info,ump3b,hudsm901
info,pitches,pitches
info,temp,72
info,winddir,fromlf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,265
info,attendance,31022
info,wp,dewim001
info,lp,florb001
info,save,
start,offej001,"Jose Offerman",0,1,3
start,fryej001,"Jeff Frye",0,2,4
start,everc001,"Carl Everett",0,3,8
start,garcn001,"Nomar Garciaparra",0,4,6
start,daubb001,"Brian Daubach",0,5,10
start,alcai001,"Israel Alcantara",0,6,9
start,hatts001,"Scott Hatteberg",0,7,2
start,veraw001,"Wilton Veras",0,8,5
start,pridc001,"Curtis Pride",0,9,7
start,martp001,"Pedro Martinez",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,woodc001,"Chris Woodward",1,2,6
start,batit001,"Tony Batista",1,3,5
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,cruzj004,"Jose Cruz",1,6,8
start,cordm001,"Marty Cordova",1,7,9
start,casta001,"Alberto Castillo",1,8,2
start,bushh001,"Homer Bush",1,9,4
start,carpc002,"Chris Carpenter",1,0,1
play,1,0,offej001,30,BBBB,W
play,1,0,fryej001,12,CCFBX,7/L7
play,1,0,everc001,12,CSBX,S8/8S.1-2
play,1,0,garcn001,00,X,D/78.2-H;1-H
play,1,0,daubb001,10,BX,7/F7
play,1,0,alcai001,32,BSSBBS,K
com,"Debut game for Israel Alcantara"
play,1,1,stews002,01,FX,HR/7
play,1,1,woodc001,31,BBBCX,3/G
play,1,1,batit001,32,BBSSBFS,K
play,1,1,delgc001,02,CSX,3/G
play,2,0,hatts001,20,BBX,7/F7D
play,2,0,veraw001,00,X,63/G
play,2,0,pridc001,22,BCBCFX,S8
play,2,0,offej001,01,CX,S/78S.1-3
play,2,0,fryej001,22,BFFBX,53/G
play,2,1,fullb001,22,BBFSX,2/FL
play,2,1,cruzj004,12,CSBX,4/P4
play,2,1,cordm001,11,CBX,E6/G
play,2,1,casta001,30,BBBB,W.1-2
play,2,1,bushh001,01,CX,63/G
play,3,0,everc001,30,BBBB,W
play,3,0,garcn001,21,BBCX,9/F9D
play,3,0,daubb001,32,CBFFFBFFBB,W.1-2
play,3,0,alcai001,00,X,65(2)/FO.1-2
play,3,0,hatts001,12,CCBFFX,D8/8D.2-H;1-H
play,3,0,veraw001,00,X,9/F9
play,3,1,stews002,32,CBFBBH,HP
play,3,1,woodc001,22,BBFFS,K
play,3,1,batit001,00,X,7/F7
play,3,1,delgc001,01,CX,E5/TH.1-2
play,3,1,fullb001,11,BSX,D9/9S.2-H(UR);1-3
play,3,1,cruzj004,22,CBSBX,43/G
play,4,0,pridc001,11,BFX,D8/8D
play,4,0,offej001,01,CX,8/F8.2-3
play,4,0,fryej001,20,BBX,S7/7S.3-H
play,4,0,everc001,00,,NP
sub,painl001,"Lance Painter",1,0,1
play,4,0,everc001,01,SX,3/FL
play,4,0,garcn001,00,X,53/G
play,4,1,cordm001,02,CSC,K/C
play,4,1,casta001,11,BCX,63/G
play,4,1,bushh001,22,CBBFFS,K
play,5,0,daubb001,22,FBBFX,D9
play,5,0,alcai001,01,CX,63/G
play,5,0,hatts001,12,CBSB,WP.2-3
play,5,0,hatts001,22,CBSBX,6/L6
play,5,0,veraw001,32,CBBSBC,K/C
play,5,1,stews002,02,FSC,K/C
play,5,1,woodc001,02,CCC,K/C
play,5,1,batit001,32,BCFBBX,HR/78
play,5,1,delgc001,32,CSBFBBFX,7/F7
play,6,0,pridc001,00,,NP
sub,frasj001,"John Frascatore",1,0,1
play,6,0,pridc001,32,BFBBCFX,S7
play,6,0,offej001,22,BBCFX,8/F8
play,6,0,fryej001,22,CBCBX,43/G.1-2
play,6,0,everc001,32,BFFBBFFX,8/F8S
play,6,1,fullb001,11,CBX,E3/TH
play,6,1,cruzj004,22,SBBFS,K
play,6,1,cordm001,00,H,HP.1-2
play,6,1,casta001,22,BBSFFS,K
play,6,1,bushh001,12,BFFFS,K
play,7,0,garcn001,01,FX,53/G
play,7,0,daubb001,12,FSBFFS,K
play,7,0,alcai001,21,BBFX,53/G
play,7,1,stews002,12,CCBFX,13/G
play,7,1,woodc001,12,FBFX,S7
play,7,1,batit001,22,BCBFS,K
play,7,1,delgc001,32,CBBSBX,HR/8.1-H
play,7,1,fullb001,12,FBFFX,S
play,7,1,cruzj004,00,,NP
sub,garcr001,"Rich Garces",0,0,1
play,7,1,cruzj004,32,SBSBBB,W.1-2
play,7,1,cordm001,10,BX,53/G
play,8,0,hatts001,00,,NP
sub,borbp001,"Pedro Borbon",1,0,1
play,8,0,hatts001,11,CBX,8/F8
play,8,0,veraw001,12,CFBS,K
play,8,0,pridc001,02,CFS,K
play,8,1,casta001,32,CBBBFFX,8/F8
play,8,1,bushh001,01,CX,53/G
play,8,1,stews002,12,SBFX,7/F7
play,9,0,offej001,00,,NP
sub,kochb001,"Billy Koch",1,0,1
play,9,0,offej001,20,BBX,S8/8S
play,9,0,fryej001,00,X,34/SH.1-2
play,9,0,everc001,30,IIII,IW
play,9,0,garcn001,10,BX,64(1)3/GDP
play,9,1,woodc001,00,,NP
sub,lowed001,"Derek Lowe",0,0,1
play,9,1,woodc001,32,BCBFFBS,K
play,9,1,batit001,01,CX,D7
play,9,1,delgc001,30,IIII,IW
play,9,1,fullb001,10,BX,6(B)6(2)/LDP
play,10,0,daubb001,00,,NP
sub,quanp001,"Paul Quantrill",1,0,1
play,10,0,daubb001,00,X,63/G
play,10,0,alcai001,12,CBCX,53/G
play,10,0,hatts001,10,BX,S8/8S
play,10,0,veraw001,01,CX,D9.1-3
play,10,0,pridc001,02,CCS,K
play,10,1,cruzj004,32,BSBBCB,W
play,10,1,cordm001,20,BBX,S.1-2
play,10,1,casta001,10,BX,54/SH.2-3;1-2
play,10,1,bushh001,22,BFBFFFFFFX,FC5.3XH(52);2-3;B-1#
play,10,1,stews002,12,BCFS,K
play,11,0,offej001,02,CCX,53/G
play,11,0,fryej001,10,BX,3/P3
play,11,0,everc001,00,X,5/FL
play,11,1,woodc001,00,,NP
sub,beckr001,"Rod Beck",0,0,1
play,11,1,woodc001,22,CBFBX,8/F8
play,11,1,batit001,22,BFBFX,53/G
play,11,1,delgc001,00,,NP
sub,cormr001,"Rheal Cormier",0,0,1
play,11,1,delgc001,12,CFBFS,K
play,12,0,garcn001,22,FFBBX,43/G
play,12,0,daubb001,22,FBBSFFC,K/C
play,12,0,alcai001,01,CX,S
play,12,0,hatts001,11,BCX,S9.1-3
play,12,0,veraw001,00,,NP
sub,varij001,"Jason Varitek",0,8,11
play,12,0,varij001,21,CBBX,7/F7S
play,12,1,fullb001,00,,NP
sub,alexm001,"Manny Alexander",0,8,5
play,12,1,fullb001,00,X,S9
play,12,1,cruzj004,20,BBX,54(1)/FO
play,12,1,cordm001,10,BX,9/L9
play,12,1,casta001,00,X,9/F9
play,13,0,pridc001,00,,NP
sub,dewim001,"Matt DeWitt",1,0,1
play,13,0,pridc001,11,BSX,31/G
play,13,0,offej001,30,BBBB,W
play,13,0,fryej001,22,CBBFFS,K
play,13,0,everc001,10,BX,S9/9S.1-2
play,13,0,garcn001,22,CBCBX,8/F8
play,13,1,bushh001,00,,NP
sub,florb001,"Bryce Florie",0,0,1
play,13,1,bushh001,22,CFFBFBFFX,53/G
play,13,1,stews002,01,SX,63/G
play,13,1,woodc001,10,BX,E8/F.B-3
play,13,1,batit001,00,X,S9/9S.3-H(UR)
data,er,martp001,4
data,er,garcr001,0
data,er,lowed001,0
data,er,beckr001,0
data,er,cormr001,0
data,er,florb001,0
data,er,carpc002,5
data,er,painl001,0
data,er,frasj001,0
data,er,borbp001,0
data,er,kochb001,0
data,er,quanp001,0
data,er,dewim001,0
