id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
martp001,0,20,6,1,5,4,134,10,3,2,1,0,0,2,32,29,0,0,0,0
garcr001,0,4,0,1,0,0,21,0,0,0,0,0,0,0,5,4,0,0,0,0
lowed001,0,6,2,2,0,0,40,2,0,1,1,0,0,0,9,6,0,1,0,1
beckr001,0,2,0,0,0,0,10,0,0,0,0,0,0,0,2,2,0,0,0,0
cormr001,0,4,1,0,0,0,12,1,0,1,0,0,0,0,5,5,0,0,0,0
florb001,0,2,1,0,1,0,14,0,0,1,0,0,0,0,4,4,0,0,0,0
carpc002,1,10,7,3,5,5,73,1,0,4,3,0,0,0,20,17,0,0,0,0
painl001,1,5,1,0,0,0,25,1,0,0,1,0,1,0,6,6,0,0,0,0
frasj001,1,6,1,0,0,0,37,1,0,1,0,0,0,0,7,7,0,0,0,0
borbp001,1,3,0,0,0,0,10,2,0,0,0,0,0,0,3,3,0,0,0,0
kochb001,1,3,1,1,0,0,10,0,0,1,0,0,0,0,4,2,0,1,0,1
quanp001,1,9,4,0,0,0,39,2,0,3,1,0,0,0,13,13,0,0,0,0
dewim001,1,3,1,1,0,0,20,1,0,1,0,0,0,0,5,4,0,0,0,0
