version,2
info,visteam,NYN
info,hometeam,TOR
info,site,TOR02
info,date,2000/07/18
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,craft901
info,ump1b,cuzzp901
info,ump2b,schrp901
info,ump3b,mcclt901
info,pitches,pitches
info,temp,68
info,winddir,tolf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,207
info,attendance,24633
info,wp,joneb003
info,lp,carpc002
info,save,
start,harrl001,"Lenny Harris",0,1,5
start,belld001,"Derek Bell",0,2,9
start,alfoe001,"Edgardo Alfonzo",0,3,10
start,piazm001,"Mike Piazza",0,4,2
start,zeilt001,"Todd Zeile",0,5,3
start,paytj001,"Jay Payton",0,6,8
start,agbab001,"Benny Agbayani",0,7,7
start,mcewj001,"Joe McEwing",0,8,4
start,lambd001,"David Lamb",0,9,6
start,joneb003,"Bobby J. Jones",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,grebc001,"Craig Grebeck",1,2,6
start,mondr002,"Raul Mondesi",1,3,9
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,batit001,"Tony Batista",1,6,5
start,fletd001,"Darrin Fletcher",1,7,2
start,cruzj004,"Jose Cruz",1,8,8
start,bushh001,"Homer Bush",1,9,4
start,carpc002,"Chris Carpenter",1,0,1
play,1,0,harrl001,11,CBX,HR/9
play,1,0,belld001,11,CBX,53/G
play,1,0,alfoe001,32,BFBBSB,W
play,1,0,piazm001,21,CBBX,9/F9
play,1,0,zeilt001,32,CBCBFBC,K/C
play,1,1,stews002,01,CX,D9
play,1,1,grebc001,00,X,D9.2-H
play,1,1,mondr002,10,BX,6/L6
play,1,1,delgc001,32,BBCBFFFS,K
play,1,1,fullb001,32,BBFFFBFFB,W
play,1,1,batit001,20,BBX,4/P4
play,2,0,paytj001,22,BCBCFFS,K
play,2,0,agbab001,32,CBBFBS,K
play,2,0,mcewj001,02,CCX,6/L6
play,2,1,fletd001,20,BBX,D9
play,2,1,cruzj004,02,FCX,43/G.2-3
play,2,1,bushh001,02,FSS,K
play,2,1,stews002,10,BX,D8/8D.3-H
play,2,1,grebc001,12,CCBX,53/G
play,3,0,lambd001,00,X,7/F7S
play,3,0,harrl001,01,CX,63/G
play,3,0,belld001,00,X,S8/8S
play,3,0,alfoe001,11,CBB,WP.1-2
play,3,0,alfoe001,32,CBBBCFFX,S8/8S.2-H
play,3,0,piazm001,11,CBX,64(1)/FO
play,3,1,mondr002,11,FBX,7/F7
play,3,1,delgc001,32,CBBBSB,W
play,3,1,fullb001,32,BFBBFX,3/G.1-2
play,3,1,batit001,01,CX,S8.2-H
play,3,1,fletd001,10,BX,9/F9
