advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,,,,0,3,CBX,carpc002,0,1,harrl001 homers. ,harrl001,0,
,11,1,,,,,1,6,CBX,carpc002,1,0,belld001 grounds out. ,belld001,0,G
,32,1,alfoe001,,,,2,12,BFBBSB,carpc002,0,0,alfoe001 walks. ,alfoe001,0,
,21,1,alfoe001,,,,3,16,CBBX,carpc002,1,0,,piazm001,0,F
,32,1,alfoe001,,,,4,23,CBCBFBC,carpc002,1,0,zeilt001 strikes out. ,zeilt001,0,
,01,1,,stews002,,,5,2,CX,joneb003,0,0,stews002 doubles. ,stews002,1,
stews002 scores. ,00,1,,grebc001,,,6,3,X,joneb003,0,1,grebc001 doubles. ,grebc001,1,
,10,1,,grebc001,,,7,5,BX,joneb003,1,0,,mondr002,1,L
,32,1,,grebc001,,,8,13,BBCBFFFS,joneb003,1,0,delgc001 strikes out. ,delgc001,1,
,32,1,fullb001,grebc001,,,9,22,BBFFFBFFB,joneb003,0,0,fullb001 walks. ,fullb001,1,
,20,1,fullb001,grebc001,,,10,25,BBX,joneb003,1,0,,batit001,1,P
,22,2,,,,,11,30,BCBCFFS,carpc002,1,0,paytj001 strikes out. ,paytj001,0,
,32,2,,,,,12,36,CBBFBS,carpc002,1,0,agbab001 strikes out. ,agbab001,0,
,02,2,,,,,13,39,CCX,carpc002,1,0,,mcewj001,0,L
,20,2,,fletd001,,,14,28,BBX,joneb003,0,0,fletd001 doubles. ,fletd001,1,
fletd001 to 3B. ,02,2,,,fletd001,,15,31,FCX,joneb003,1,0,cruzj004 grounds out. ,cruzj004,1,G
,02,2,,,fletd001,,16,34,FSS,joneb003,1,0,bushh001 strikes out. ,bushh001,1,
fletd001 scores. ,10,2,,stews002,,,17,36,BX,joneb003,0,1,stews002 doubles. ,stews002,1,
,12,2,,stews002,,,18,40,CCBX,joneb003,1,0,grebc001 grounds out. ,grebc001,1,G
,00,3,,,,,19,40,X,carpc002,1,0,,lambd001,0,F
,01,3,,,,,20,42,CX,carpc002,1,0,harrl001 grounds out. ,harrl001,0,G
,00,3,belld001,,,,21,43,X,carpc002,0,0,belld001 singles. ,belld001,0,
belld001 to 2B. ,11,3,,belld001,,alfoe001,22,46,CBB,carpc002,0,0,Wild Pitch. ,alfoe001,0,
belld001 scores. ,32,3,alfoe001,,,,23,54,CBBBCFFX,carpc002,0,1,alfoe001 singles. ,alfoe001,0,
alfoe001 out. ,11,3,piazm001,,,,24,57,CBX,carpc002,1,0,piazm001 reaches on fielder's choice. ,piazm001,0,
,11,3,,,,,25,43,FBX,joneb003,1,0,,mondr002,1,F
,32,3,delgc001,,,,26,49,CBBBSB,joneb003,0,0,delgc001 walks. ,delgc001,1,
delgc001 to 2B. ,32,3,,delgc001,,,27,55,BFBBFX,joneb003,1,0,fullb001 grounds out. ,fullb001,1,G
delgc001 scores. ,01,3,batit001,,,,28,57,CX,joneb003,0,1,batit001 singles. ,batit001,1,
,10,3,batit001,,,,29,59,BX,joneb003,1,0,,fletd001,1,F
,30,4,zeilt001,,,,30,61,BBBB,carpc002,0,0,zeilt001 walks. ,zeilt001,0,
zeilt001 to 2B. ,01,4,paytj001,zeilt001,,,31,63,CX,carpc002,0,0,paytj001 singles. ,paytj001,0,
zeilt001 to 3B. paytj001 to 2B. ,31,4,agbab001,paytj001,zeilt001,,32,68,BBBCB,carpc002,0,0,agbab001 walks. ,agbab001,0,
zeilt001 scores. paytj001 to 3B. agbab001 out. ,00,4,mcewj001,,paytj001,,33,69,X,carpc002,1,1,mcewj001 reaches on fielder's choice. ,mcewj001,0,
,11,4,,,paytj001,lambd001,34,72,BFB,carpc002,1,0,mcewj001 caught stealing. ,lambd001,0,
