version,2
info,visteam,TBA
info,hometeam,TOR
info,site,TOR02
info,date,2000/07/19
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,kulpr901
info,ump1b,vanvm901
info,ump2b,herna901
info,ump3b,fostm901
info,pitches,pitches
info,temp,65
info,winddir,tolf
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,141
info,attendance,18751
info,wp,escok001
info,lp,lopea002
info,save,kochb001
start,willg001,"Gerald Williams",0,1,8
start,cox-s001,"Steve Cox",0,2,9
start,vaugg001,"Greg Vaughn",0,3,7
start,mcgrf001,"Fred McGriff",0,4,3
start,cansj001,"Jose Canseco",0,5,10
start,castv001,"Vinny Castilla",0,6,5
start,flahj001,"John Flaherty",0,7,2
start,cairm001,"Miguel Cairo",0,8,4
start,martf001,"Felix Martinez",0,9,6
start,lopea002,"Albie Lopez",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,grebc001,"Craig Grebeck",1,2,4
start,mondr002,"Raul Mondesi",1,3,9
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,batit001,"Tony Batista",1,6,5
start,fletd001,"Darrin Fletcher",1,7,2
start,cruzj004,"Jose Cruz",1,8,8
start,woodc001,"Chris Woodward",1,9,6
start,escok001,"Kelvim Escobar",1,0,1
play,1,0,willg001,02,FCS,K
play,1,0,cox-s001,32,FCBBBX,3/G
play,1,0,vaugg001,22,BSBFS,K
play,1,1,stews002,01,CX,S8
play,1,1,grebc001,11,CBB,SB2
play,1,1,grebc001,32,CBBFBX,63/G
play,1,1,mondr002,32,CBBBFFFB,W
play,1,1,delgc001,00,X,D/78D.2-H;1-H
play,1,1,fullb001,00,X,D7.2-H
play,1,1,batit001,01,CX,2/FL
play,1,1,fletd001,20,BBX,3/G
play,2,0,mcgrf001,01,CX,7/F7
play,2,0,cansj001,32,FBSBBC,K/C
play,2,0,castv001,00,X,63/G
play,2,1,cruzj004,12,BCFS,K
play,2,1,woodc001,11,CBX,53/G
play,2,1,stews002,11,BCX,53/G
play,3,0,flahj001,12,SFFBS,K
play,3,0,cairm001,10,BX,S8
play,3,0,martf001,22,BBFFS,K
play,3,0,willg001,00,B,SB2
play,3,0,willg001,12,BSSFFS,K
play,3,1,grebc001,11,FBX,6/P6
play,3,1,mondr002,22,FBBSS,K
play,3,1,delgc001,11,BSX,43/G
play,4,0,cox-s001,21,BBFX,43/G
play,4,0,vaugg001,00,X,5/P5
play,4,0,mcgrf001,31,BCBBB,W
play,4,0,cansj001,12,CBSX,HR/7.1-H
play,4,0,castv001,11,BSX,8/F8
play,4,1,fullb001,10,BX,43/G
play,4,1,batit001,10,BX,8/F8
play,4,1,fletd001,10,BX,S8
play,4,1,cruzj004,01,SB,WP.1-2
play,4,1,cruzj004,32,SBBFBB,W
play,4,1,woodc001,02,CSS,K
play,5,0,flahj001,00,X,7/F7
play,5,0,cairm001,31,CBBBX,3/P3
play,5,0,martf001,30,BBBB,W
play,5,0,willg001,21,BBSS,SB2
play,5,0,willg001,22,BBSSS,K
play,5,1,stews002,32,BFFBBB,W
play,5,1,grebc001,12,CBFFX,S8.1-2
play,5,1,mondr002,11,FBX,3/P3
play,5,1,delgc001,21,BBCX,S8/8S.2-3;1-2
play,5,1,fullb001,11,BFX,8/SF.3-H
play,5,1,batit001,00,X,2/FL
play,6,0,cox-s001,20,BBX,7/F7
play,6,0,vaugg001,12,FSBS,K
play,6,0,mcgrf001,00,X,43/G
play,6,1,fletd001,12,CFBX,4/L4
play,6,1,cruzj004,12,FSBX,43/G
play,6,1,woodc001,02,SFX,S
play,6,1,stews002,12,FBFX,7/F7
play,7,0,cansj001,32,CCBBBB,W
play,7,0,castv001,11,BSX,64(1)3/GDP
play,7,0,flahj001,22,FBSFBFX,7/F7
play,7,1,grebc001,12,CFBX,S9
play,7,1,mondr002,00,X,6(1)3/GDP
play,7,1,delgc001,32,CBBFBX,53/G
play,8,0,cairm001,02,CFX,3/FL
play,8,0,martf001,30,BBBB,W
play,8,0,willg001,00,X,54(1)3/GDP
play,8,1,fullb001,10,BX,HR/9
play,8,1,batit001,02,FCX,8/F8
play,8,1,fletd001,10,BX,163/G
play,8,1,cruzj004,11,BSX,31/G
play,9,0,cox-s001,00,,NP
sub,kochb001,"Billy Koch",1,0,1
play,9,0,cox-s001,12,CFBX,43/G
play,9,0,vaugg001,02,SFC,K/C
play,9,0,mcgrf001,12,BSFX,7/F7
data,er,lopea002,5
data,er,escok001,2
data,er,kochb001,0
