version,2
info,visteam,CLE
info,hometeam,TOR
info,site,TOR02
info,date,2000/07/26
info,number,0
info,starttime,12:35PM
info,daynight,day
info,usedh,true
info,umphome,willc901
info,ump1b,katzt901
info,ump2b,higgs901
info,ump3b,reynj901
info,pitches,pitches
info,temp,81
info,winddir,fromlf
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,170
info,attendance,31183
info,wp,welld001
info,lp,colob001
info,save,
start,cabrj002,"Jolbert Cabrera",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,10
start,frymt001,"Travis Fryman",0,5,5
start,sexsr001,"Richie Sexson",0,6,7
start,thomj002,"Jim Thome",0,7,3
start,ramia002,"Alex Ramirez",0,8,9
start,diaze002,"Einar Diaz",0,9,2
start,colob001,"Bartolo Colon",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,bushh001,"Homer Bush",1,2,4
start,batit001,"Tony Batista",1,3,5
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,cruzj004,"Jose Cruz",1,6,8
start,fletd001,"Darrin Fletcher",1,7,2
start,cordm001,"Marty Cordova",1,8,9
start,gonza001,"Alex S. Gonzalez",1,9,6
start,welld001,"David Wells",1,0,1
play,1,0,cabrj002,20,BBX,63/G
play,1,0,vizqo001,21,CBBX,8/F8
play,1,0,alomr001,12,LBCX,9/F9
play,1,1,stews002,22,CBBCS,K
play,1,1,bushh001,22,BFCBS,K
play,1,1,batit001,12,SBFS,K
play,2,0,ramim002,02,CCS,K
play,2,0,frymt001,00,X,8/F8
play,2,0,sexsr001,01,FX,63/G
play,2,1,delgc001,02,CFC,K/C
play,2,1,fullb001,32,BSBBFFFS,K
play,2,1,cruzj004,22,CCBBC,K/C
play,3,0,thomj002,02,CCX,D7
play,3,0,ramia002,02,SCS,K
play,3,0,diaze002,30,BBBB,W
play,3,0,cabrj002,01,CX,6(B)4(2)/LDP
play,3,1,fletd001,11,SBX,S8
play,3,1,cordm001,10,BX,6(1)3/GDP
play,3,1,gonza001,20,BBX,8/F8
play,4,0,vizqo001,01,CX,4/P4
play,4,0,alomr001,02,SFFS,K
play,4,0,ramim002,31,BBSBX,7/L7
play,4,1,stews002,00,X,HR/78
play,4,1,bushh001,32,BBCCBB,W
play,4,1,batit001,22,BBSFS,K
play,4,1,delgc001,31,SBBBX,8/F8D
play,4,1,fullb001,10,BX,HR/9.1-H
play,4,1,cruzj004,12,BCFS,K
play,5,0,frymt001,02,CCX,63/G
play,5,0,sexsr001,12,BCSFS,K
play,5,0,thomj002,02,SSC,K/C
play,5,1,fletd001,01,FX,HR/9
play,5,1,cordm001,32,CSFBFBBFB,W
play,5,1,gonza001,22,CFBBF1,POCS2(163)
play,5,1,gonza001,22,CFBBF1FS,K
play,5,1,stews002,32,SBBFBB,W
play,5,1,bushh001,32,FBBSFBB,W.1-2
play,5,1,batit001,22,BFFBS,K
play,6,0,ramia002,02,CFX,S
play,6,0,diaze002,21,BBCX,D/78.1-H
play,6,0,cabrj002,32,BSBLFBFS,K
play,6,0,vizqo001,12,CCBX,7/F7
play,6,0,alomr001,11,BLX,9/L9
play,6,1,delgc001,01,CX,D7
play,6,1,fullb001,00,X,HR/9.2-H
play,6,1,cruzj004,22,BSBCX,31/G
play,6,1,fletd001,31,BSBBB,W
play,6,1,cordm001,00,,NP
sub,navaj001,"Jaime Navarro",0,0,1
play,6,1,cordm001,01,CX,64(1)/FO
play,6,1,gonza001,01,CX,D9.1-H
play,6,1,stews002,32,BSBBFFFX,S9.2-H
play,6,1,bushh001,00,X,43/G
play,7,0,ramim002,21,BFBX,7/L7
play,7,0,frymt001,02,FFC,K/C
play,7,0,sexsr001,32,SBBBFX,D9
play,7,0,thomj002,12,CCBC,K/C
play,7,1,batit001,01,CX,7/F7
play,7,1,delgc001,22,BCSBFS,K
play,7,1,fullb001,02,CCX,43/G
play,8,0,ramia002,10,BX,63/G
play,8,0,diaze002,00,X,6/L6
play,8,0,cabrj002,02,FFC,K/C
play,8,1,cruzj004,00,,NP
sub,karss001,"Steve Karsay",0,0,1
play,8,1,cruzj004,12,CBFC,K/C
play,8,1,fletd001,20,BBX,S/78
play,8,1,cordm001,12,CBFS,K
play,8,1,gonza001,32,CCBBBS,K
play,9,0,vizqo001,00,X,63/G
play,9,0,alomr001,12,FBSX,S7
play,9,0,ramim002,12,FBFC,K/C
play,9,0,frymt001,22,FBFBS,K
data,er,colob001,7
data,er,navaj001,1
data,er,karss001,0
data,er,welld001,1
