version,2
info,visteam,KCA
info,hometeam,TOR
info,site,TOR02
info,date,2000/08/23
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,wendh902
info,ump1b,clara901
info,ump2b,buckc901
info,ump3b,reedr901
info,pitches,pitches
info,temp,73
info,winddir,tolf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,197
info,attendance,22616
info,wp,escok001
info,lp,larka001
info,save,kochb001
start,damoj001,"Johnny Damon",0,1,8
start,sancr001,"Rey Sanchez",0,2,6
start,sweem002,"Mike Sweeney",0,3,3
start,dye-j001,"Jermaine Dye",0,4,9
start,randj002,"Joe Randa",0,5,5
start,quinm001,"Mark Quinn",0,6,7
start,dunwt001,"Todd Dunwoody",0,7,10
start,zaung001,"Gregg Zaun",0,8,2
start,reboj001,"Jeff Reboulet",0,9,4
start,steib002,"Blake Stein",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,gonza001,"Alex S. Gonzalez",1,2,6
start,martd002,"Dave Martinez",1,3,9
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,batit001,"Tony Batista",1,6,5
start,fletd001,"Darrin Fletcher",1,7,2
start,cruzj004,"Jose Cruz",1,8,8
start,moram001,"Mickey Morandini",1,9,4
start,loaie001,"Esteban Loaiza",1,0,1
play,1,0,damoj001,10,BX,4/L4
play,1,0,sancr001,11,BCX,63/G
play,1,0,sweem002,12,CBFFX,4/P4
play,1,1,stews002,11,BFH,HP
play,1,1,gonza001,00,X,HR/8.1-H
play,1,1,martd002,31,BBCBX,S8
play,1,1,delgc001,22,SBSBFFX,8/F8D
play,1,1,fullb001,11,CBB,SB2
play,1,1,fullb001,21,CBBX,43/G
play,1,1,batit001,32,BBSBFFB,W
play,1,1,fletd001,01,FX,43/G
play,2,0,dye-j001,01,CX,3/FL
play,2,0,randj002,32,BCBSBX,8/F8
play,2,0,quinm001,00,H,HP
play,2,0,dunwt001,11,FBS,SB2
play,2,0,dunwt001,12,FBSX,D/78D.2-H
play,2,0,zaung001,20,BBX,D/89.2-H
play,2,0,reboj001,22,FSBBFX,63/G
play,2,1,cruzj004,01,SX,43/G
play,2,1,moram001,32,BBFBFFB,W
play,2,1,stews002,10,BX,54(1)/FO.B-2(E4/TH1)
play,2,1,gonza001,32,BBCCFBFS,K
play,3,0,damoj001,21,BCBX,HR/9
play,3,0,sancr001,10,BX,9/F9
play,3,0,sweem002,11,CBX,S7
play,3,0,dye-j001,02,FFC,K/C
play,3,0,randj002,22,CFBBC,K/C
play,3,1,martd002,32,CBBFBB,W
play,3,1,delgc001,31,BBBCX,6/P6
play,3,1,fullb001,12,BFFFS,K
play,3,1,batit001,01,SX,8/F8
play,4,0,quinm001,10,BX,9/F9D
play,4,0,dunwt001,32,BBFFBB,W
play,4,0,zaung001,10,BX,D/78D.1-3
play,4,0,reboj001,32,BBBCSX,S9.3-H;2-3
play,4,0,damoj001,00,X,S8.3-H;1-2
play,4,0,sancr001,00,,NP
sub,carpc002,"Chris Carpenter",1,0,1
play,4,0,sancr001,00,X,S8.2-3;1-2
play,4,0,sweem002,12,CFBX,63/G.3-H;2-3;1-2
play,4,0,dye-j001,11,SBX,S7.3-H;2-H
play,4,0,randj002,00,X,46(1)/FO
play,4,1,fletd001,12,SFFBFX,8/F8D
play,4,1,cruzj004,32,BFBBCB,W
play,4,1,moram001,01,FX,S/78S.1-2
play,4,1,stews002,21,BBFX,7/L7
play,4,1,gonza001,01,FX,D7.2-H;1-3
play,4,1,martd002,22,CFBBX,8/F8
play,5,0,quinm001,10,BX,S8
play,5,0,dunwt001,00,X,9/L9
play,5,0,zaung001,32,BBSBFX,13/G.1-2
play,5,0,reboj001,01,CX,53/G
play,5,1,delgc001,22,CFBBX,S7/7S
play,5,1,fullb001,00,X,7/F7
play,5,1,batit001,12,BCFS,K
play,5,1,fletd001,10,BX,1/P1
play,6,0,damoj001,00,,NP
sub,painl001,"Lance Painter",1,0,1
play,6,0,damoj001,00,X,43/G
play,6,0,sancr001,10,BX,63/G
play,6,0,sweem002,22,CBFBX,6/L6
play,6,1,cruzj004,32,BCBFBB,W
play,6,1,moram001,22,BCCBX,S7/7S.1-2
play,6,1,stews002,00,X,3/L3
play,6,1,gonza001,21,BFBX,8/F8.2-3
play,6,1,martd002,22,FBFBC,K/C
play,7,0,dye-j001,32,BBBCSB,W
play,7,0,randj002,20,BBX,13/G.1-2
play,7,0,quinm001,31,BCBBB,W
play,7,0,dunwt001,12,CBFS,K
play,7,0,zaung001,32,CBBBFB,W.2-3;1-2
play,7,0,reboj001,22,FBSBC,K/C
play,7,1,delgc001,00,,NP
sub,wilsk001,"Kris Wilson",0,0,1
play,7,1,delgc001,31,BCBBX,HR/7
play,7,1,fullb001,22,CFBBFC,K/C
play,7,1,batit001,31,FBBBX,D7/7D
play,7,1,fletd001,21,CBBX,63/G
play,7,1,cruzj004,11,BSX,HR/9.2-H
play,7,1,moram001,32,BBBCCB,W
play,7,1,stews002,10,BX,S8/8S.1-2
play,7,1,gonza001,00,,NP
sub,larka001,"Andy Larkin",0,0,1
play,7,1,gonza001,00,X,D/89.2-H;1-H
play,7,1,martd002,22,SSBBS,K
play,8,0,damoj001,00,,NP
sub,escok001,"Kelvim Escobar",1,0,1
play,8,0,damoj001,12,CBFFS,K
play,8,0,sancr001,12,CCBX,6/L6
play,8,0,sweem002,12,SBFX,S8
play,8,0,dye-j001,31,BCBBB,W.1-2
play,8,0,randj002,21,FBBX,43/G
play,8,1,delgc001,22,BFBCFX,HR/9
play,8,1,fullb001,20,BBX,D8/8D
play,8,1,batit001,01,CX,3/FL
play,8,1,fletd001,00,B,WP.2-3
play,8,1,fletd001,10,BX,6/P6
play,8,1,cruzj004,12,FBFFS,K
play,9,0,quinm001,00,,NP
sub,kochb001,"Billy Koch",1,0,1
play,9,0,quinm001,01,SX,7/F7
play,9,0,dunwt001,11,BSX,7/F7
play,9,0,zaung001,11,SBX,3/G
data,er,steib002,3
data,er,wilsk001,5
data,er,larka001,1
data,er,loaie001,7
data,er,carpc002,1
data,er,painl001,0
data,er,escok001,0
data,er,kochb001,0
