version,2
info,visteam,DET
info,hometeam,TOR
info,site,TOR02
info,date,2000/09/10
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,vanvm901
info,ump1b,diazl901
info,ump2b,coope901
info,ump3b,reilm901
info,pitches,pitches
info,temp,72
info,winddir,tocf
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,144
info,attendance,21666
info,wp,carpc002
info,lp,spars001
info,save,escok001
start,beckr002,"Rich Becker",0,1,8
start,macij001,"Jose Macias",0,2,5
start,higgb001,"Bobby Higginson",0,3,7
start,gonzj002,"Juan Gonzalez",0,4,9
start,clart002,"Tony Clark",0,5,10
start,morrh001,"Hal Morris",0,6,3
start,cruzd001,"Deivi Cruz",0,7,6
start,easld001,"Damion Easley",0,8,4
start,cardj001,"Javier Cardona",0,9,2
start,spars001,"Steve Sparks",0,0,1
start,stews002,"Shannon Stewart",1,1,7
start,gonza001,"Alex S. Gonzalez",1,2,6
start,martd002,"Dave Martinez",1,3,9
start,delgc001,"Carlos Delgado",1,4,3
start,fullb001,"Brad Fullmer",1,5,10
start,batit001,"Tony Batista",1,6,5
start,fletd001,"Darrin Fletcher",1,7,2
start,cruzj004,"Jose Cruz",1,8,8
start,moram001,"Mickey Morandini",1,9,4
start,carpc002,"Chris Carpenter",1,0,1
play,1,0,beckr002,32,BBBCFFB,W
play,1,0,macij001,12,CBFC,K/C
play,1,0,higgb001,31,CBBBX,7/F7S
play,1,0,gonzj002,12,CFBS,K
play,1,1,stews002,11,BCX,63/G
play,1,1,gonza001,12,CFBC,K/C
play,1,1,martd002,31,BBFBX,7/F7
play,2,0,clart002,11,CBX,E5/G.B-2(E5/TH1)
play,2,0,morrh001,00,X,8/L8.2-3
play,2,0,cruzd001,12,BFCX,43/G.3-H(UR)
play,2,0,easld001,00,X,8/F8
play,2,1,delgc001,02,CFC,K/C
play,2,1,fullb001,22,FCBBX,S8
play,2,1,batit001,00,B,WP.1-3(E2/TH2)
play,2,1,batit001,10,BX,D7/7S.3-H
play,2,1,fletd001,02,SCX,43/G.2-3
play,2,1,cruzj004,32,BBCCBS,K
play,3,0,cardj001,12,CBCX,D7/7S
play,3,0,beckr002,31,BFBBB,W
play,3,0,macij001,12,LBCX,E3/G.2-3;1-2
play,3,0,higgb001,01,FX,5/FL
play,3,0,gonzj002,00,X,6/P6
play,3,0,clart002,32,BCFBBX,3/FL
play,3,1,moram001,22,BBCCX,S8
play,3,1,stews002,00,X,S.1-2
play,3,1,gonza001,21,BCBX,D/89.2-H;1-H
play,3,1,martd002,02,CCS,K
play,3,1,delgc001,01,SX,9/F9.2-3
play,3,1,fullb001,01,CX,7/F7
play,4,0,morrh001,21,BBCX,43/G
play,4,0,cruzd001,02,CCX,D/78
play,4,0,easld001,00,X,9/F9.2-3
play,4,0,cardj001,32,BBCBFFS,K
play,4,1,batit001,20,BBX,3/FL
play,4,1,fletd001,31,BBFBX,3/L3
play,4,1,cruzj004,20,BBX,9/F9D
play,5,0,beckr002,22,FBBCX,S7/7S
play,5,0,macij001,12,SSBS,K+SB2
play,5,0,higgb001,21,FBBX,3/G.2-3
play,5,0,gonzj002,12,CBFFS,K
play,5,1,moram001,10,BX,8/F8
play,5,1,stews002,31,BBBCX,63/G
play,5,1,gonza001,22,CBBFC,K/C
play,6,0,clart002,01,FX,63/G
play,6,0,morrh001,00,X,S5/BG5
play,6,0,cruzd001,10,BX,D9.1-H(E9/TH)
play,6,0,easld001,01,CX,S.2-2
play,6,0,cardj001,11,BSX,64(1)3/GDP
play,6,1,martd002,31,BBCBB,W
play,6,1,delgc001,22,BSBCFX,8/F8D
play,6,1,fullb001,00,X,D9.1-H(E9)(UR)
play,6,1,batit001,12,SCBS,K
play,6,1,fletd001,31,BBCBX,9/F9D
play,7,0,beckr002,30,BBBB,W
play,7,0,macij001,11,BCX,8/F8
play,7,0,higgb001,00,X,8/F8D
play,7,0,gonzj002,22,BBFFX,8/F8
play,7,1,cruzj004,01,SX,7/L7
play,7,1,moram001,21,CBBX,8/F8
play,7,1,stews002,12,CSFBS,K
play,8,0,clart002,00,,NP
sub,escok001,"Kelvim Escobar",1,0,1
play,8,0,clart002,22,BFBFS,K
play,8,0,morrh001,11,FBX,S7
play,8,0,cruzd001,02,FCX,64(1)3/GDP
play,8,1,gonza001,22,CSBBX,E4/G
play,8,1,martd002,21,BBCX,8/F8
play,8,1,delgc001,11,BSX,3/G.1-2
play,8,1,fullb001,00,,NP
sub,jonet003,"Todd Jones",0,0,1
play,8,1,fullb001,10,BX,HR/8.2-H(UR);B-H(TUR)
play,8,1,batit001,32,BFBFBS,K
play,9,0,easld001,11,BFX,8/F8
play,9,0,cardj001,00,,NP
sub,mcmib001,"Billy McMillon",0,9,11
play,9,0,mcmib001,22,BBCCS,K
play,9,0,beckr002,31,BBBCX,S9
play,9,0,macij001,02,CCS,K
data,er,spars001,3
data,er,jonet003,1
data,er,carpc002,1
data,er,escok001,0
