id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
leita001,0,21,5,3,2,2,136,7,0,4,1,0,0,0,28,25,0,0,0,1
franj001,0,3,1,0,0,0,24,0,0,1,0,0,0,0,4,4,0,0,0,0
benia001,0,3,2,1,1,1,30,1,0,2,0,0,0,0,6,4,0,0,1,0
cookd001,0,0,0,2,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0
ruscg001,0,5,1,2,0,0,31,0,0,1,0,0,2,0,7,5,0,0,0,1
wendt001,0,3,3,1,1,1,20,0,0,2,1,0,0,0,7,6,0,0,0,1
petta001,1,20,8,1,3,3,109,4,0,6,2,0,0,1,28,25,0,1,0,0
nelsj001,1,4,1,0,0,0,19,0,0,1,0,0,0,0,5,5,0,0,0,0
rivem002,1,6,1,0,0,0,34,3,0,0,1,0,0,1,8,7,0,0,0,0
stanm003,1,6,0,0,0,0,23,3,0,0,0,0,0,0,6,6,0,0,0,0
