advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,,,0,6,BBBCCX,petta001,1,0,,peret004,0,G
,22,1,,,,,1,14,FFBBFFFX,petta001,1,0,,alfoe001,0,L
,31,1,,,,,2,19,BBFBX,petta001,1,0,,piazm001,0,F
,22,1,,,,,3,6,BCCFBX,leita001,1,0,,knobc001,1,L
,12,1,,,,,4,10,CSBS,leita001,1,0,jeted001 strikes out. ,jeted001,1,
,21,1,,,,,5,14,CBBX,leita001,1,0,,justd001,1,F
,11,2,zeilt001,,,,6,22,BCX,petta001,0,0,zeilt001 singles. ,zeilt001,0,L
,22,2,zeilt001,,,,7,31,SCFFBFB1S,petta001,1,0,ventr001 strikes out. ,ventr001,0,
,02,2,zeilt001,,,,8,35,CFFC,petta001,1,0,agbab001 strikes out. ,agbab001,0,
,00,2,zeilt001,,,,9,37,1X,petta001,1,0,,paytj001,0,F
,12,2,,,,,10,18,CBCX,leita001,1,0,,willb002,1,G
,21,2,martt002,,,,11,22,BBCX,leita001,0,0,martt002 singles. ,martt002,1,G
martt002 out. ,11,2,posaj001,,,,12,25,CBX,leita001,1,0,posaj001 reaches on fielder's choice. ,posaj001,1,G
posaj001 to 3B. ,32,2,oneip001,,posaj001,,13,32,CBFB*B>F>X,leita001,0,0,oneip001 singles. ,oneip001,1,L
,22,2,oneip001,,posaj001,,14,37,BBCFX,leita001,1,0,,bross001,1,G
,02,3,pratt001,,,,15,40,CCH,petta001,0,0,pratt001 hit by pitch. ,pratt001,0,
pratt001 to 2B. ,01,3,,pratt001,,,16,42,CX,petta001,1,0,Sacrifice bunt by bordm001.,bordm001,0,G
,10,3,,pratt001,,,17,44,BX,petta001,1,0,,peret004,0,P
,01,3,,pratt001,,,18,46,CX,petta001,1,0,,alfoe001,0,G
,12,3,,,,,19,41,BCCS,leita001,1,0,vizcj001 strikes out. ,vizcj001,1,
,32,3,knobc001,,,,20,47,BCBBFB,leita001,0,0,knobc001 walks. ,knobc001,1,
,01,3,,,,jeted001,21,49,S1,leita001,1,0,knobc001 picked off. ,jeted001,1,
,22,3,,,,,22,55,S1BBFX,leita001,1,0,,jeted001,1,G
,00,4,piazm001,,,,23,47,X,petta001,0,0,piazm001 singles. ,piazm001,0,G
,11,4,,,,zeilt001,24,50,CB>1,petta001,1,0,piazm001 picked off. ,zeilt001,0,
,11,4,,,,,25,54,CB>1X,petta001,1,0,,zeilt001,0,G
,22,4,,,,,26,59,FBSBX,petta001,1,0,,ventr001,0,G
,32,4,,,,,27,61,BBBCFX,leita001,1,0,,justd001,1,F
,12,4,,,,,28,66,CCBFS,leita001,1,0,willb002 strikes out. ,willb002,1,
,12,4,,,,,29,70,CBFS,leita001,1,0,martt002 strikes out. ,martt002,1,
,00,5,,agbab001,,,30,60,X,petta001,0,0,agbab001 doubles. ,agbab001,0,G
,21,5,,agbab001,,,31,64,BBFX,petta001,1,0,,paytj001,0,G
,02,5,,agbab001,,,32,67,FFC,petta001,1,0,pratt001 strikes out. ,pratt001,0,
,02,5,,agbab001,,,33,70,CFS,petta001,1,0,bordm001 strikes out. ,bordm001,0,
,22,5,,,,,34,75,CBSBS,leita001,1,0,posaj001 strikes out. ,posaj001,1,
,31,5,,,,,35,80,BBFBX,leita001,1,0,,oneip001,1,F
,22,5,,,,,36,85,BFBFX,leita001,1,0,,bross001,1,G
,21,6,peret004,,,,37,74,BBCX,petta001,0,0,peret004 singles. ,peret004,0,G
,21,6,peret004,,,,38,82,F111BB1X,petta001,1,0,,alfoe001,0,P
,12,6,peret004,,,,39,88,1FBS1X,petta001,1,0,,piazm001,0,F
peret004 out. ,02,6,,zeilt001,,,40,92,C1SX,petta001,1,0,zeilt001 doubles. ,zeilt001,0,F
,00,6,vizcj001,,,,41,86,X,leita001,0,0,vizcj001 singles. ,vizcj001,1,G
vizcj001 out. ,00,6,knobc001,,,,42,87,X,leita001,1,0,knobc001 reaches on fielder's choice. ,knobc001,1,G
knobc001 to 2B. ,30,6,jeted001,knobc001,,,43,95,B1B111BB,leita001,0,0,jeted001 walks. ,jeted001,1,
knobc001 scores. jeted001 scores. ,11,6,,justd001,,,44,98,CBX,leita001,0,2,justd001 doubles. ,justd001,1,F
,30,6,willb002,justd001,,,45,102,IIII,leita001,0,0,willb002 intentionally walks. ,willb002,1,
justd001 to 3B. willb002 to 2B. ,22,6,,willb002,justd001,,46,108,CFBFBX,leita001,1,0,,martt002,1,G
,00,6,,willb002,justd001,,47,109,X,leita001,1,0,,posaj001,1,F
,21,7,,,,,48,96,BCBX,petta001,1,0,,ventr001,0,P
,00,7,agbab001,,,,49,97,X,petta001,0,0,agbab001 singles. ,agbab001,0,G
agbab001 to 2B. ,00,7,paytj001,agbab001,,,50,98,X,petta001,0,0,paytj001 singles. ,paytj001,0,G
agbab001 to 3B. paytj001 to 2B. ,32,7,pratt001,paytj001,agbab001,,51,105,BBBCC>F>B,petta001,0,0,pratt001 walks. ,pratt001,0,
agbab001 scores. paytj001 scores. pratt001 to 2B. ,11,7,tramb001,pratt001,,,53,108,BSX,petta001,0,2,tramb001 singles. ,tramb001,0,L
pratt001 to 3B. tramb001 to 2B. ,00,7,,tramb001,pratt001,,54,109,X,petta001,1,0,,peret004,0,G
pratt001 scores. tramb001 to 3B. ,22,7,alfoe001,,tramb001,,56,5,SBBCX,nelsj001,0,1,alfoe001 singles. ,alfoe001,0,G
,02,7,alfoe001,,tramb001,,57,8,CSX,nelsj001,1,0,,piazm001,0,F
,12,7,,,,,59,115,CBFFFC,leita001,1,0,oneip001 strikes out. ,oneip001,1,
,02,7,bross001,,,,60,118,CFX,leita001,0,0,bross001 singles. ,bross001,1,G
bross001 to 2B. ,32,7,,bross001,,,61,129,SB1B1SFB>F1>X,leita001,1,0,,vizcj001,1,G
,22,7,,bross001,,,62,136,BCBCFFS,leita001,1,0,knobc001 strikes out. ,knobc001,1,
,01,8,,,,,63,10,CX,nelsj001,1,0,,zeilt001,0,P
,32,8,,,,,64,17,BBFSBFX,nelsj001,1,0,,ventr001,0,P
,10,8,,,,,65,19,BX,nelsj001,1,0,,agbab001,0,F
,32,8,jeted001,,,,68,6,BBCFBX,franj001,0,0,jeted001 singles. ,jeted001,1,L
,12,8,jeted001,,,,69,12,C1CB1X,franj001,1,0,,justd001,1,F
,10,8,jeted001,,,,70,17,11B1X,franj001,1,0,,willb002,1,F
,11,8,jeted001,,,,71,24,1BC111X,franj001,1,0,,martt002,1,F
,02,9,,,,,73,3,FFX,rivem002,1,0,,paytj001,0,F
,01,9,pratt001,,,,74,5,CH,rivem002,0,0,pratt001 hit by pitch. ,pratt001,0,
pratt001 to 3B. ,01,9,,abbok002,pratt001,,75,7,CX,rivem002,0,0,abbok002 doubles. ,abbok002,0,L
,12,9,,abbok002,pratt001,,76,13,BCFFFX,rivem002,1,0,,peret004,0,G
,12,9,,abbok002,pratt001,,77,17,CBFS,rivem002,1,0,alfoe001 strikes out. ,alfoe001,0,
,22,9,,,,,79,7,BBCSFFX,benia001,1,0,,posaj001,1,F
,32,9,oneip001,,,,80,17,BSCFFBBFFB,benia001,0,0,oneip001 walks. ,oneip001,1,
oneip001 to 2B. ,10,9,polol001,oneip001,,,82,19,BX,benia001,0,0,polol001 singles. ,polol001,1,L
oneip001 to 3B. polol001 to 2B. ,21,9,vizcj001,polol001,oneip001,,83,23,CBBX,benia001,0,0,vizcj001 singles. ,vizcj001,1,L
oneip001 scores. ,11,9,vizcj001,polol001,,,84,26,CBX,benia001,1,1,knobc001 hits sacrifice fly. ,knobc001,1,F
,12,9,vizcj001,polol001,,,85,30,CCBS,benia001,1,0,jeted001 strikes out. ,jeted001,1,
,22,10,,,,,87,23,BCSBFC,rivem002,1,0,piazm001 strikes out. ,piazm001,0,
,22,10,,,,,88,31,CBFFBFFC,rivem002,1,0,zeilt001 strikes out. ,zeilt001,0,
,11,10,,,,,89,34,CBX,rivem002,1,0,,ventr001,0,F
,31,10,justd001,,,,91,5,BSBBB,cookd001,0,0,justd001 walks. ,justd001,1,
justd001 to 2B. ,30,10,willb002,justd001,,,92,11,11BBBB,cookd001,0,0,willb002 walks. ,willb002,1,
bellc001 to 3B. willb002 to 2B. ,01,10,,willb002,bellc001,martt002,95,2,CB,ruscg001,0,0,Wild Pitch. ,martt002,1,
,11,10,,willb002,bellc001,,96,5,CBX,ruscg001,1,0,,martt002,1,F
,30,10,posaj001,willb002,bellc001,,97,9,IIII,ruscg001,0,0,posaj001 intentionally walks. ,posaj001,1,
,00,10,,willb002,bellc001,,98,10,X,ruscg001,2,0,Double Play. ,oneip001,1,G
,01,11,,,,,101,2,CX,stanm003,1,0,,mcewj001,0,F
,12,11,,,,,102,7,BCSFX,stanm003,1,0,,paytj001,0,G
,12,11,,,,,103,11,SBSS,stanm003,1,0,pratt001 strikes out. ,pratt001,0,
,01,11,,,,,104,12,CX,ruscg001,1,0,,sojol001,1,G
,01,11,vizcj001,,,,105,14,LX,ruscg001,0,0,vizcj001 singles. ,vizcj001,1,F
,22,11,vizcj001,,,,106,25,F1B1F1BF1FX,ruscg001,1,0,,knobc001,1,P
vizcj001 to 3B. jeted001 to 2B. ,32,11,,jeted001,vizcj001,,107,31,SBBFBB,ruscg001,0,0,jeted001 walks. Wild Pitch. ,jeted001,1,
,12,11,,jeted001,vizcj001,,110,4,BFFX,wendt001,1,0,,hillg001,1,F
,11,12,,,,,112,14,BSX,stanm003,1,0,,abbok002,0,F
,02,12,,,,,113,18,CCFS,stanm003,1,0,peret004 strikes out. ,peret004,0,
,22,12,,,,,114,23,BSBSS,stanm003,1,0,alfoe001 strikes out. ,alfoe001,0,
,12,12,,,,,115,8,BCFX,wendt001,1,0,,willb002,1,G
,21,12,martt002,,,,116,12,BFBX,wendt001,0,0,martt002 singles. ,martt002,1,L
martt002 to 3B. ,00,12,,posaj001,martt002,,117,13,X,wendt001,0,0,posaj001 doubles. ,posaj001,1,G
,30,12,oneip001,posaj001,martt002,,118,17,IIII,wendt001,0,0,oneip001 intentionally walks. ,oneip001,1,
,01,12,oneip001,posaj001,martt002,,119,19,CX,wendt001,1,0,,sojol001,1,P
martt002 scores. posaj001 to 3B. oneip001 to 2B. ,00,12,vizcj001,oneip001,posaj001,,120,20,X,wendt001,0,1,vizcj001 singles. ,vizcj001,1,L
