id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
vizcj001,0,1,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
polol001,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeted001,0,2,6,5,4,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
justd001,0,3,7,5,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
willb002,0,4,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
martt002,0,5,3,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
posaj001,0,6,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
oneip001,0,7,9,4,4,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
bross001,0,8,5,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
hillg001,0,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sojol001,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herno001,0,9,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
stanm003,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knobc001,0,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
peret004,1,1,9,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alfoe001,1,2,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
piazm001,1,3,2,4,4,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
ventr001,1,4,5,4,3,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
zeilt001,1,5,3,4,4,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
agbab001,1,6,7,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
mcewj001,1,6,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paytj001,1,7,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
bordm001,1,8,6,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
harrl001,1,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tramb001,1,8,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
benia001,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reedr002,1,9,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
hamid001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wendt001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cookd001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
franj001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbok002,1,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
