id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,team,opp,loc,age,rookie,regpost,gs
hernl003,SFN200010040,23,5,5,1,1,125,5,0,4,1,0,0,0,33,27,0,0,1,0,SFN,NYN,1,30,0,3,1
rodrf002,SFN200010040,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,SFN,NYN,1,30,0,3,0
nen-r001,SFN200010040,3,0,0,0,0,17,0,0,0,0,0,0,0,3,3,0,0,0,0,SFN,NYN,1,30,0,3,0
hampm001,SFN200010040,16,6,3,5,5,73,2,1,2,2,1,0,0,25,22,0,0,0,1,NYN,SFN,0,30,0,3,1
wendt001,SFN200010040,2,0,0,0,0,9,2,0,0,0,0,0,0,2,2,0,0,0,0,NYN,SFN,0,30,0,3,0
cookd001,SFN200010040,2,0,1,0,0,14,1,0,0,0,0,0,0,3,2,0,0,0,0,NYN,SFN,0,30,0,3,0
whitr002,SFN200010040,2,4,0,0,0,21,0,0,4,0,0,0,0,6,6,0,0,0,0,NYN,SFN,0,30,0,3,0
ruscg001,SFN200010040,2,0,0,0,0,8,2,0,0,0,0,0,0,2,2,0,0,0,0,NYN,SFN,0,30,0,3,0
estes001,SFN200010050,9,3,3,2,2,44,3,0,3,0,0,0,1,16,12,0,0,0,0,SFN,NYN,1,30,0,3,1
ruetk001,SFN200010050,13,3,1,0,0,71,1,0,2,1,0,0,0,16,15,0,0,0,0,SFN,NYN,1,30,0,3,0
henrd002,SFN200010050,2,0,1,0,0,9,0,0,0,0,0,0,0,2,1,0,0,0,0,SFN,NYN,1,30,0,3,0
rodrf002,SFN200010050,6,4,0,3,3,39,3,1,2,1,0,0,0,10,10,0,0,0,0,SFN,NYN,1,30,0,3,0
leita001,SFN200010050,24,5,3,2,2,126,6,0,3,2,0,0,0,30,27,0,0,0,0,NYN,SFN,0,30,0,3,1
benia001,SFN200010050,3,3,0,2,2,23,0,1,2,0,0,0,0,6,6,0,0,0,0,NYN,SFN,0,30,0,3,0
franj001,SFN200010050,3,0,0,0,0,10,1,0,0,0,0,0,0,3,2,0,1,0,0,NYN,SFN,0,30,0,3,0
reedr002,NYN200010070,18,7,2,2,2,105,6,0,6,1,0,0,0,27,25,0,0,0,1,NYN,SFN,1,30,0,3,1
