advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,10,1,,,,,0,2,BX,mulht001,1,0,,murrc001,0,F
,12,1,muelb001,,,,1,6,FFBX,mulht001,0,0,muelb001 singles. ,muelb001,0,
muelb001 scores. ,00,1,,,,,2,7,X,mulht001,0,2,bondb001 homers. ,bondb001,0,
,00,1,,,,,3,8,X,mulht001,1,0,kentj001 grounds out. ,kentj001,0,G
,00,1,,,,,4,9,X,mulht001,1,0,burke001 grounds out. ,burke001,0,G
,22,1,veraq001,,,,5,5,BCBCX,gardm001,0,0,veraq001 singles. ,veraq001,1,
,11,1,veraq001,,,,6,8,SBX,gardm001,1,0,,sandr002,1,P
veraq001 to 2B. ,00,1,,veraq001,,jonec004,7,9,B,gardm001,0,0,Wild Pitch. ,jonec004,1,
veraq001 to 3B. ,31,1,jonec004,,veraq001,,8,14,BBFBX,gardm001,0,0,jonec004 singles. ,jonec004,1,
,01,1,jonec004,,veraq001,,9,16,CX,gardm001,1,0,,galaa001,1,P
,02,1,jonec004,,veraq001,,10,19,FFS,gardm001,1,0,lopej001 strikes out. ,lopej001,1,
,01,2,,,,,11,11,CX,mulht001,1,0,,davir002,0,L
,22,2,,,,,12,16,BFBFX,mulht001,1,0,,aurir001,0,F
,02,2,,,,,13,19,CSX,mulht001,0,1,estab001 homers. ,estab001,0,
,01,2,,,,,14,21,SX,mulht001,1,0,gardm001 grounds out. ,gardm001,0,G
,20,2,,,,,15,22,BBX,gardm001,1,0,,bonib001,1,F
,01,2,,,,,16,24,FX,gardm001,0,1,jonea002 homers. ,jonea002,1,
,22,2,weisw001,,,,17,29,BCBFX,gardm001,0,0,weisw001 singles. ,weisw001,1,
weisw001 to 2B. ,11,2,,weisw001,,,18,32,BLX,gardm001,1,0,Sacrifice bunt by mulht001.,mulht001,1,
,32,2,,weisw001,,,19,38,BCBFBC,gardm001,1,0,veraq001 strikes out. ,veraq001,1,
