id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
harrl001,0,1,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
belld001,0,2,9,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
paytj001,0,3,8,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
piazm001,0,4,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
zeilt001,0,5,3,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
agbab001,0,6,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
moram002,0,7,6,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mcewj001,0,8,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
franm001,0,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wendt001,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joneb003,0,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cookd001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnm001,0,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lambd001,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
furcr001,1,1,6,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
jonea002,1,2,8,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
jonec004,1,3,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jordb001,1,4,9,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
joynw001,1,5,3,4,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
lopej001,1,6,2,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bonib001,1,7,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hubbt001,1,7,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lockk001,1,8,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashba002,1,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
