id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
jarvk001,0,17,6,1,5,5,81,3,2,2,1,1,0,0,24,23,0,0,0,0
dipoj001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dejem001,0,3,1,0,0,0,16,2,0,1,0,0,0,0,4,4,0,0,0,0
tavaj001,0,3,0,0,0,0,16,0,0,0,0,0,0,0,4,4,0,0,0,0
jimej001,0,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0
burkj001,1,17,10,0,3,3,81,3,0,10,0,0,0,0,25,24,0,1,0,0
millk004,1,7,2,1,0,0,44,4,0,2,0,0,0,0,9,8,0,0,0,0
rockj001,1,2,3,2,6,0,39,2,1,2,0,0,0,0,8,6,0,0,0,0
kamis001,1,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0
mulht001,1,1,2,0,0,0,13,0,0,2,0,0,0,0,3,3,0,0,0,0
