date,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,team,opp,loc,age,rookie,regpost
195404130,5,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195404150,6,7,5,5,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195404170,6,7,4,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195404181,6,9,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195404182,6,9,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195404210,6,9,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195404230,6,9,7,7,3,0,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195404240,6,9,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195404250,6,9,6,6,5,0,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195404270,6,9,4,4,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195404280,6,9,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195404290,6,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195404300,6,9,4,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195405010,6,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195405040,6,7,4,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195405050,6,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195405060,6,7,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195405070,6,9,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195405080,6,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195405090,6,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195405110,6,7,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195405120,6,7,4,4,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,MLN,BRO,0,30,0,1,0
195405130,6,9,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MLN,PIT,0,30,0,1,0
195405140,6,9,5,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195405180,7,7,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195405190,7,9,4,4,2,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195405210,7,7,4,4,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195405221,7,7,5,4,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195405222,7,7,5,5,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195405231,7,7,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MLN,CHN,0,30,0,1,0
195405232,7,7,5,5,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195405250,7,7,3,3,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195405260,7,7,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195405280,7,7,5,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195405290,7,7,4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195405300,7,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195406010,7,7,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195406020,7,7,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,MLN,BRO,1,30,0,1,0
195406040,7,7,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195406062,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195406070,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195406090,6,7,4,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,MLN,NY1,1,30,0,1,0
195406100,6,7,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,MLN,NY1,1,30,0,1,0
195406110,3,7,3,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195406120,3,7,4,4,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195406130,3,9,5,5,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195406150,3,7,5,4,2,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195406160,3,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195406170,3,7,5,3,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195406180,3,7,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195406190,3,7,5,4,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195406201,3,7,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
