id,loc,opp,starter,rs,ra,round
ATL198104100,H,CIN,boggt001,5,3,RS
ATL198104110,H,CIN,perrg101,2,3,RS
ATL198104120,H,CIN,montj001,3,2,RS
HOU198104130,A,HOU,niekp001,2,1,RS
HOU198104140,A,HOU,walkb001,2,8,RS
HOU198104150,A,HOU,boggt001,0,2,RS
ATL198104170,H,SFN,perrg101,2,6,RS
ATL198104180,H,SFN,montj001,1,4,RS
ATL198104190,H,SFN,niekp001,4,3,RS
CIN198104210,A,CIN,boggt001,10,1,RS
CIN198104220,A,CIN,perrg101,7,3,RS
SFN198104230,A,SFN,montj001,7,3,RS
SFN198104240,A,SFN,walkb001,7,1,RS
SFN198104250,A,SFN,niekp001,4,0,RS
SFN198104261,A,SFN,perrg101,1,3,RS
SFN198104262,A,SFN,boggt001,5,8,RS
ATL198104280,H,HOU,montj001,1,2,RS
ATL198104290,H,HOU,walkb001,4,5,RS
ATL198104300,H,HOU,boggt001,1,5,RS
CHN198105010,A,CHN,perrg101,2,1,RS
CHN198105020,A,CHN,niekp001,2,5,RS
CHN198105030,A,CHN,montj001,9,7,RS
SLN198105040,A,SLN,walkb001,9,6,RS
SLN198105050,A,SLN,boggt001,1,4,RS
SLN198105060,A,SLN,perrg101,10,2,RS
SLN198105070,A,SLN,niekp001,4,3,RS
ATL198105080,H,CHN,montj001,4,3,RS
ATL198105090,H,CHN,walkb001,3,7,RS
ATL198105100,H,CHN,boggt001,5,5,RS
ATL198105110,H,PIT,perrg101,3,2,RS
ATL198105120,H,PIT,niekp001,2,0,RS
ATL198105130,H,PIT,montj001,5,7,RS
ATL198105150,H,SLN,walkb001,11,3,RS
ATL198105160,H,SLN,boggt001,2,6,RS
ATL198105170,H,SLN,perrg101,3,4,RS
PIT198105190,A,PIT,niekp001,0,5,RS
PIT198105200,A,PIT,walkb001,1,6,RS
ATL198105220,H,SDN,boggt001,2,5,RS
ATL198105230,H,SDN,perrg101,7,6,RS
ATL198105240,H,SDN,niekp001,5,7,RS
ATL198105250,H,LAN,walkb001,1,7,RS
ATL198105270,H,LAN,boggt001,3,2,RS
ATL198105280,H,LAN,perrg101,9,4,RS
SDN198105290,A,SDN,niekp001,7,1,RS
SDN198105300,A,SDN,hannp101,1,11,RS
SDN198105310,A,SDN,mahlr001,1,5,RS
LAN198106010,A,LAN,boggt001,2,5,RS
LAN198106020,A,LAN,perrg101,3,1,RS
LAN198106030,A,LAN,niekp001,4,2,RS
ATL198106050,H,PHI,mahlr001,4,1,RS
ATL198106060,H,PHI,boggt001,0,3,RS
ATL198106070,H,PHI,perrg101,5,7,RS
MON198106090,A,MON,niekp001,1,12,RS
MON198106100,A,MON,mahlr001,2,11,RS
MON198106110,A,MON,boggt001,0,7,RS
SDN198108100,A,SDN,niekp001,3,2,RS
SDN198108110,A,SDN,perrg101,5,1,RS
SDN198108120,A,SDN,mahlr001,4,3,RS
LAN198108130,A,LAN,boggt001,9,1,RS
LAN198108140,A,LAN,montj001,0,5,RS
LAN198108150,A,LAN,niekp001,6,4,RS
LAN198108160,A,LAN,perrg101,5,6,RS
ATL198108180,H,NYN,mahlr001,0,4,RS
ATL198108190,H,NYN,boggt001,5,2,RS
ATL198108200,H,NYN,niekp001,6,4,RS
ATL198108210,H,MON,perrg101,1,4,RS
ATL198108221,H,MON,bedrs001,4,5,RS
ATL198108222,H,MON,montj001,9,1,RS
ATL198108230,H,MON,mahlr001,2,1,RS
PHI198108240,A,PHI,boggt001,5,7,RS
PHI198108250,A,PHI,niekp001,12,2,RS
PHI198108260,A,PHI,perrg101,5,3,RS
MON198108280,A,MON,mahlr001,0,3,RS
MON198108290,A,MON,boggt001,3,4,RS
MON198108300,A,MON,niekp001,5,4,RS
ATL198108310,H,PHI,perrg101,8,11,RS
ATL198109010,H,PHI,mahlr001,0,3,RS
ATL198109020,H,PHI,boggt001,3,2,RS
NYN198109040,A,NYN,niekp001,1,4,RS
NYN198109050,A,NYN,perrg101,2,4,RS
NYN198109060,A,NYN,mahlr001,5,2,RS
ATL198109070,H,HOU,boggt001,2,3,RS
ATL198109080,H,HOU,mcwil001,3,2,RS
ATL198109090,H,HOU,niekp001,9,0,RS
ATL198109110,H,SDN,perrg101,4,1,RS
ATL198109120,H,SDN,mahlr001,5,4,RS
ATL198109130,H,SDN,mcwil001,4,6,RS
SFN198109140,A,SFN,boggt001,2,4,RS
SFN198109150,A,SFN,niekp001,5,6,RS
LAN198109160,A,LAN,perrg101,2,3,RS
LAN198109170,A,LAN,mahlr001,0,2,RS
SDN198109180,A,SDN,mcwil001,3,0,RS
SDN198109190,A,SDN,boggt001,3,6,RS
SDN198109200,A,SDN,niekp001,3,1,RS
HOU198109220,A,HOU,perrg101,0,3,RS
HOU198109230,A,HOU,mahlr001,3,1,RS
HOU198109240,A,HOU,mcwil001,3,5,RS
ATL198109250,H,CIN,boggt001,2,10,RS
ATL198109260,H,CIN,niekp001,0,2,RS
ATL198109270,H,CIN,perrg101,2,4,RS
ATL198109280,H,LAN,mahlr001,2,1,RS
ATL198109290,H,LAN,boggt001,3,5,RS
ATL198109300,H,SFN,mcwil001,9,2,RS
ATL198110010,H,SFN,niekp001,2,6,RS
CIN198110020,A,CIN,perrg101,11,5,RS
CIN198110030,A,CIN,mahlr001,4,3,RS
CIN198110040,A,CIN,boggt001,0,3,RS
